date,frequency,sector,primary_agriculture,mining_quarrying,manufacturing_agro_based,electricity_gas_water,wholesale_retail_restaurants_hotels,construction,transport_storage_communication,finance_insurance_business,education_health_others,household_sector,other_sector_nec,impaired_loans
2004-12-01,Monthly,,759.879,78.444,8675.975,1230.703,5082.06,6365.792,638.439,5247.15,1142.227,19699.44,4051.064,55064.668
2005-12-01,Monthly,,628.407,64.562,6950.32,1219.551,3785.367,6186.131,637.363,5103.698,864.483,22360.056,2675.577,52162.29
2006-01-01,Monthly,,638.936,68.32,7177.158,1154.816,3993.491,6104.821,661.291,5662.543,1015.83,23388.36,3457.111,53556.379
2006-02-01,Monthly,,630.003,56.062,7201.203,1229.749,4001.734,5585.388,564.055,6001.443,997.326,23790.96,3696.854,53988.388
2006-03-01,Monthly,,705.712,51.965,7167.299,1156.991,3732.575,6315.204,531.727,4753.076,951.915,23232.965,3202.109,51992.63
2006-04-01,Monthly,,646.195,62.754,7380.02,1203.474,3995.571,6439.322,570.099,4346.261,1179.875,23928.714,2997.39,52939.354
2006-05-01,Monthly,,608.066,57.617,7345.32,952.385,4454.893,6101.056,532.871,4930.371,1143.407,24137.964,2462.231,52819.925
2006-06-01,Monthly,,661.164,55.605,7421.343,1226.798,4101.806,6368.308,526.792,4541.856,1124.949,23497.81,2443.185,52061.565
2006-07-01,Monthly,,657.116,55.268,7597.522,1228.527,4521.245,6315.829,511.276,4428.08,1133.658,23630.718,2506.344,52674.861
2006-08-01,Monthly,,660.208,55.559,7567.674,1230.811,4391.735,6342.816,545.217,4530.502,1136.429,23626.207,2376.551,52552.051
2006-09-01,Monthly,,685.061,56.817,7105.894,1246.389,4050.222,6541.305,534.221,4614.842,1108.396,23145.85,2275.232,51364.229
2006-10-01,Monthly,,604.433,57.125,7030.162,1204.222,4420.388,6430.37,542.069,4323.986,1130.683,23621.983,2079.739,51445.16
