date,frequency,industry,total_loan_financing,stage_1_ecl,stage_2_ecl_not_impaired,stage_3_ecl_impaired,total_provisions,gross_impaired_ratio,net_impaired_ratio
2021-07-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1175989.4995178294,1027315.9475204195,125754.46396227003,22919.088035139976,22426.254688,1.9489194456699734,1.2836261195573433
2021-07-01,Monthly,Bank-bank Islam / Islamic Banks,680175.7650235601,606797.0749537502,62792.93355185997,10585.756517949994,11980.13106,1.5563266235431545,0.9857609846093592
2021-07-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,7990.167233989997,7418.522772049997,297.96289079,273.68157114999997,134.497662,3.425229574492065,2.248920729015409
2021-07-01,Monthly,Jumlah / Total,1864155.4317753797,1641531.5452462197,188845.36040491998,33778.52612423997,34540.883409999995,1.8120015932400049,1.1789875154206992
2021-08-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1173124.9285792299,1015526.1697672802,134611.29950564977,22987.459306299992,22870.067994,1.9595065066207462,1.2784816709432343
2021-08-01,Monthly,Bank-bank Islam / Islamic Banks,680472.6508640404,604633.2356030304,65149.09009286992,10690.32516814,12121.045907,1.571014669666121,0.9822994097057253
2021-08-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,7935.47452125,7371.66071102,298.9571485,264.8566617299999,131.952546,3.337628531485469,2.1834014992718522
2021-08-01,Monthly,Jumlah / Total,1861533.0539645203,1627531.0660813306,200059.34674701968,33942.641136169994,35123.066447,1.823370316411095,1.1739830438247905
2021-09-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1183115.2149911406,1020224.4884479205,140242.03894356993,22648.687599650017,23047.573973,1.9143264588833482,1.28438449961457
2021-09-01,Monthly,Bank-bank Islam / Islamic Banks,687724.2016501506,611499.7994283605,66649.39460889003,9575.007612899995,12444.810614,1.3922743433959968,0.8442242293074631
2021-09-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,7943.688742519997,7342.456565859996,336.07745269000014,265.15472397,142.084447,3.3379294250379243,2.1869830284884593
2021-09-01,Monthly,Jumlah / Total,1878783.1053838108,1639066.744442141,207227.51100514995,32488.84993652001,35634.469033999994,1.7292496320315252,1.1269678633451778
2021-10-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1184798.1681529284,1019771.3554544083,142870.28240262007,22156.5302959,23109.080087,1.8700679062022434,1.2549167768097276
2021-10-01,Monthly,Bank-bank Islam / Islamic Banks,696030.1249805599,619860.10648446,66747.07703988999,9422.941456210006,12338.286482,1.3538123017984585,0.8442315228135893
2021-10-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,7948.787307039999,7416.215850929999,263.05956983000004,269.51188628,146.78975400000002,3.3906038225642483,2.2396110275952275
2021-10-01,Monthly,Jumlah / Total,1888777.0804405282,1647047.6777897982,209880.41901234005,31848.983638390007,35594.156323,1.6862224752834105,1.1075867775884243
2021-11-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1191483.5008999486,1028015.5625299086,141596.39587053997,21871.542499500014,23177.808315,1.835656346309458,1.2265738546615372
2021-11-01,Monthly,Bank-bank Islam / Islamic Banks,705623.86263854,632041.9446238499,64570.55290585005,9011.365108840004,12197.155064000002,1.27707771604319,0.801187806680624
2021-11-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,8129.9908733699995,7471.33493338,390.44478412000007,268.21115586999997,151.336356,3.2990339109547184,2.1119751680057233
2021-11-01,Monthly,Jumlah / Total,1905237.3544118586,1667528.8420871384,206557.39356051,31151.11876421002,35526.299735,1.6350256146340507,1.0726409123840437
2021-12-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1193302.7888873,1027605.9945351302,143446.27068416984,22250.523668000016,22606.812018999997,1.8646167490103334,1.1940319514355662
2021-12-01,Monthly,Bank-bank Islam / Islamic Banks,714605.63152086,638949.9214186,66088.41558166004,9567.294520599991,12255.347203000001,1.338821595939342,0.8448974918282426
2021-12-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,7523.096804069999,6902.898026229999,356.3139460300001,263.88483181000004,199.736921,3.5076623188902505,1.5011841576165263
2021-12-01,Monthly,Jumlah / Total,1915431.51721223,1673458.8139799603,209891.00021185988,32081.70302041001,35061.896143,1.6749073371781296,1.06481130505719
2022-01-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1196562.9394610587,1033242.1063442588,140990.61024047004,22330.22287633,22711.820656,1.866197100036184,1.197351846619021
2022-01-01,Monthly,Bank-bank Islam / Islamic Banks,721691.9570019707,648652.2581267208,63342.04383782997,9697.655037420001,12452.116605,1.3437388269789903,0.8309385989986706
2022-01-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,7512.2596703699965,6856.512212029997,390.94753419000006,264.79992415,208.022222,3.5249037675631616,1.4048864155366372
2022-01-01,Monthly,Jumlah / Total,1925767.1561333993,1688750.8766830096,204723.60161249,32292.677837900002,35371.959483,1.6768734337923803,1.0606875306170058
2022-02-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1197442.2880175489,1033686.8412786887,141215.32383638006,22540.122902479987,22402.271152,1.8823556782679496,1.230939159890026
