date,frequency,industry,bank,total_financing,stage_1_ecl,stage_2_ecl_not_impaired,stage_3_ecl_impaired,total_provisions,gross_impaired_ratio,net_impaired_ratio
2007-01-01,Monthly,Jumlah / Total,,78665.099,,,,,,4.615046051502479
2007-01-01,Monthly,Bank-Bank Pelaburan/Saudagar (SPI) / IBS of Investment/Merchant banks,,198.077,,,,,,4.926045508492962
2007-01-01,Monthly,Bank-Bank Islam / Islamic banks,,39792.307,,,,,,5.817302527590065
2007-01-01,Monthly,Bank-Bank Perdagangan (SPI) / IBS of Commercial banks,,39013.642,,,,,,3.4778706399095896
2007-02-01,Monthly,Bank-Bank Perdagangan (SPI) / IBS of Commercial banks,,37184.751,,,,,,3.8822367722435684
2007-02-01,Monthly,Jumlah / Total,,79004.026,,,,,,4.645994756391187
2007-02-01,Monthly,Bank-Bank Pelaburan/Saudagar (SPI) / IBS of Investment/Merchant banks,,198.341,,,,,,4.700592683425306
2007-02-01,Monthly,Bank-Bank Islam / Islamic banks,,42163.084,,,,,,6.101719249218732
2007-03-01,Monthly,Bank-Bank Perdagangan (SPI) / IBS of Commercial banks,,37212.97,,,,,,3.1965458057558434
2007-03-01,Monthly,Jumlah / Total,,79546.17599999999,,,,,,5.046798530183199
2007-03-01,Monthly,Bank-Bank Islam / Islamic banks,,42631.242,,,,,,5.431869137981273
2007-03-01,Monthly,Bank-Bank Pelaburan/Saudagar (SPI) / IBS of Investment/Merchant banks,,193.134,,,,,,4.842710601983143
2007-04-01,Monthly,Bank-Bank Perdagangan (SPI) / IBS of Commercial banks,,37508.795,,,,,,3.2704376842744702
2007-04-01,Monthly,Bank-Bank Islam / Islamic banks,,42841.43,,,,,,5.330470987421975
2007-04-01,Monthly,Bank-Bank Pelaburan/Saudagar (SPI) / IBS of Investment/Merchant banks,,110.245,,,,,,23.573471333242544
2007-04-01,Monthly,Jumlah / Total,,80037.346,,,,,,4.374344278615631
2007-05-01,Monthly,Bank-Bank Pelaburan/Saudagar (SPI) / IBS of Investment/Merchant banks,,109.898,,,,,,10.746878878586562
2007-05-01,Monthly,Jumlah / Total,,80460.47,,,,,,4.372970027795543
2007-05-01,Monthly,Bank-Bank Islam / Islamic banks,,43344.006,,,,,,5.070312475668058
2007-05-01,Monthly,Bank-Bank Perdagangan (SPI) / IBS of Commercial banks,,38078.15,,,,,,3.0067538075975615
2007-06-01,Monthly,Bank-Bank Islam / Islamic banks,,43813.446,,,,,,5.0531771604012485
2007-06-01,Monthly,Jumlah / Total,,81532.054,,,,,,4.09690008721167
2007-06-01,Monthly,Bank-Bank Perdagangan (SPI) / IBS of Commercial banks,,38350.729,,,,,,2.7231410735319184
2007-06-01,Monthly,Bank-Bank Pelaburan/Saudagar (SPI) / IBS of Investment/Merchant banks,,105.579,,,,,,11.47293105329613
2007-07-01,Monthly,Bank-Bank Pelaburan/Saudagar (SPI) / IBS of Investment/Merchant banks,,105.676,,,,,,11.458284682328397
2007-07-01,Monthly,Bank-Bank Islam / Islamic banks,,44421.2,,,,,,4.892537599502289
2007-07-01,Monthly,Jumlah / Total,,82269.754,,,,,,3.957343855138461
2007-07-01,Monthly,Bank-Bank Perdagangan (SPI) / IBS of Commercial banks,,38985.389,,,,,,2.6418637289948315
2007-08-01,Monthly,Bank-Bank Perdagangan (SPI) / IBS of Commercial banks,,39375.025,,,,,,2.5357283644026256
2007-08-01,Monthly,Jumlah / Total,,83512.26500000001,,,,,,3.8332594550567167
2007-08-01,Monthly,Bank-Bank Pelaburan/Saudagar (SPI) / IBS of Investment/Merchant banks,,105.212,,,,,,11.676238220642826
2007-08-01,Monthly,Bank-Bank Islam / Islamic banks,,45288.547,,,,,,4.642410175778349
2007-09-01,Monthly,Bank-Bank Perdagangan (SPI) / IBS of Commercial banks,,40061.714,,,,,,2.438743989248649
2007-09-01,Monthly,Bank-Bank Pelaburan/Saudagar (SPI) / IBS of Investment/Merchant banks,,105.246,,,,,,11.677720305905499
2007-09-01,Monthly,Jumlah / Total,,84768.784,,,,,,3.657064538281159
2007-09-01,Monthly,Bank-Bank Islam / Islamic banks,,45998.626,,,,,,4.48999611364347
2007-10-01,Monthly,Bank-Bank Islam / Islamic banks,,46870.232,,,,,,4.291371004816762
2007-10-01,Monthly,Bank-Bank Pelaburan/Saudagar (SPI) / IBS of Investment/Merchant banks,,94.275,,,,,,14.153319617758472
2007-10-01,Monthly,Jumlah / Total,,86165.586,,,,,,3.530221310354747
2007-10-01,Monthly,Bank-Bank Perdagangan (SPI) / IBS of Commercial banks,,40546.283,,,,,,2.388945885094389
2007-11-01,Monthly,Jumlah / Total,,87510.79,,,,,,3.4056773936748788
2007-11-01,Monthly,Bank-Bank Perdagangan (SPI) / IBS of Commercial banks,,40654.92,,,,,,2.3770156951466808
2007-11-01,Monthly,Bank-Bank Islam / Islamic banks,,49118.312,,,,,,4.061886782157742
2007-11-01,Monthly,Bank-Bank Pelaburan/Saudagar (SPI) / IBS of Investment/Merchant banks,,94.414,,,,,,10.413246306010478
2007-12-01,Monthly,Bank-Bank Perdagangan (SPI) / IBS of Commercial banks,,19276.495,,,,,,1.0466680211444626
2007-12-01,Monthly,Bank-Bank Islam / Islamic banks,,71415.103,,,,,,3.793617337699055
2007-12-01,Monthly,Jumlah / Total,,89867.646,,,,,,3.296783810350338
2007-12-01,Monthly,Bank-Bank Pelaburan/Saudagar (SPI) / IBS of Investment/Merchant banks,,89.341,,,,,,11.595398403709817
2008-01-01,Monthly,Bank-Bank Perdagangan (SPI) / IBS of Commercial banks,,19370.806,,,,,,1.018108655255921
2008-01-01,Monthly,Jumlah / Total,,90780.939,,,,,,3.1997177712930647
2008-01-01,Monthly,Bank-Bank Pelaburan/Saudagar (SPI) / IBS of Investment/Merchant banks,,71.167,,,,,,19.56072059874384
2008-01-01,Monthly,Bank-Bank Islam / Islamic banks,,72473.695,,,,,,3.747062812557511
2008-02-01,Monthly,Bank-Bank Perdagangan (SPI) / IBS of Commercial banks,,19409.071,,,,,,0.986414104541682
2008-02-01,Monthly,Bank-Bank Islam / Islamic banks,,73707.445,,,,,,3.5603863381027794
2008-02-01,Monthly,Jumlah / Total,,91915.668,,,,,,3.1624749828403123
2008-02-01,Monthly,Bank-Bank Pelaburan/Saudagar (SPI) / IBS of Investment/Merchant banks,,71.313,,,,,,19.529226264218963
2008-03-01,Monthly,Bank-Bank Islam / Islamic banks,,77162.008,,,,,,3.322725544185301
2008-03-01,Monthly,Bank-Bank Perdagangan (SPI) / IBS of Commercial banks,,17500.821,,,,,,0.9293269142468823
2008-03-01,Monthly,Jumlah / Total,,93187.829,,,,,,3.0154595107330615
2008-03-01,Monthly,Bank-Bank Pelaburan/Saudagar (SPI) / IBS of Investment/Merchant banks,,23.236,,,,,,69.32409012131714
2008-04-01,Monthly,Bank-Bank Islam / Islamic banks,,78244.14,,,,,,3.2262867815058804
2008-04-01,Monthly,Bank-Bank Pelaburan/Saudagar (SPI) / IBS of Investment/Merchant banks,,23.277,,,,,,69.32409012131714
2008-04-01,Monthly,Jumlah / Total,,94686.065,,,,,,2.8744813751960816
2008-04-01,Monthly,Bank-Bank Perdagangan (SPI) / IBS of Commercial banks,,18001.151,,,,,,0.9388886851757624
2008-05-01,Monthly,Bank-Bank Perdagangan (SPI) / IBS of Commercial banks,,18722.875,,,,,,0.8268075522288683
2008-05-01,Monthly,Bank-Bank Pelaburan/Saudagar (SPI) / IBS of Investment/Merchant banks,,23.318,,,,,,69.32409012131714
2008-05-01,Monthly,Bank-Bank Islam / Islamic banks,,78772.608,,,,,,2.9878818072246225
2008-05-01,Monthly,Jumlah / Total,,96268.568,,,,,,2.7933091669966976
2008-06-01,Monthly,Bank-Bank Islam / Islamic banks,,80791.928,,,,,,2.979177160095288
2008-06-01,Monthly,Bank-Bank Pelaburan/Saudagar (SPI) / IBS of Investment/Merchant banks,,23.287,,,,,,69.9865410497981
2008-06-01,Monthly,Jumlah / Total,,97518.80099999999,,,,,,2.5676314169080294
2008-06-01,Monthly,Bank-Bank Perdagangan (SPI) / IBS of Commercial banks,,19056.611,,,,,,0.81971101391801
2008-07-01,Monthly,Bank-Bank Perdagangan (SPI) / IBS of Commercial banks,,15813.127,,,,,,0.9400336912566266
2008-07-01,Monthly,Bank-Bank Islam / Islamic banks,,86142.477,,,,,,2.828510436361496
2008-07-01,Monthly,Jumlah / Total,,99871.826,,,,,,2.562090955264601
2008-07-01,Monthly,Bank-Bank Pelaburan/Saudagar (SPI) / IBS of Investment/Merchant banks,,23.358,,,,,,68.56862470208888
2008-08-01,Monthly,Jumlah / Total,,101978.96199999998,,,,,,2.5332003613962444
