date,frequency,equities_and_liabilities,total_equities,deposits_under_the_new_investment_fund,special_account,domestic_banks_deposits_others,residents_bank_negara_malaysia,residents_commercial_banks,residents_islamic_banks,residents_investment_banks,residents_other_banking_institutions,non_residents,investment_account_of_customers,investment_account_due_to_designated_financial_institutions,acceptances_payable,residents,bills_payable_non_residents,other_liabilities,bank_domestic_banks_total_equities_and_liabilities,bank_foreign_banks_total_equities,total_deposits_under_the_new_investment_fund,total_deposits_special_account,foreign_banks_deposits_others,amount_due_to_designated_financial_institutions_residents_bank_negara_malaysia,amount_due_to_designated_financial_institutions_residents_commercial_banks,amount_due_to_designated_financial_institutions_residents_islamic_banks,amount_due_to_designated_financial_institutions_residents_investment_banks,amount_due_to_designated_financial_institutions_residents_other_banking_institutions,amount_due_to_designated_financial_institutions_non_residents,total_investment_account_investment_account_of_customers,total_investment_account_investment_account_due_to_designated_financial_institutions,total_investment_account_acceptances_payable,bills_payable_residents,total_liabilities_bills_payable_non_residents,bills_payable_other_liabilities,bank_foreign_banks_total_equities_and_liabilities,rm_million_total_equities_and_liabilities
2007-01-01,Monthly,Bank Perdagangan/Commercial Banks,73838.473,11046.865,2.794,,,,,,,28532.079,0.0,0.0,18715.199,4629.046,30.487,73334.826,,,,,,,,,,,,,,,,,,,
2007-02-01,Monthly,Bank Perdagangan/Commercial Banks,75036.407,11141.635,3.262,,,,,,,31485.98844,0.0,0.0,19055.018,5656.959,33.304,75968.22428,,,,,,,,,,,,,,,,,,,
2007-03-01,Monthly,Bank Perdagangan/Commercial Banks,74570.82,11246.494,4.455,,,,,,,32523.305,0.0,0.0,19323.458,5091.599,37.828,82935.789,,,,,,,,,,,,,,,,,,,
2007-04-01,Monthly,Bank Perdagangan/Commercial Banks,73286.158,11256.937,6.003,,,,,,,31052.662,0.0,0.0,20174.85,5365.715,41.16,85561.695,,,,,,,,,,,,,,,,,,,
2007-05-01,Monthly,Bank Perdagangan/Commercial Banks,74135.94,11944.433,7.34,,,,,,,40595.137,0.0,0.0,20161.097,5116.397,30.075,91039.522,,,,,,,,,,,,,,,,,,,
2007-06-01,Monthly,Bank Perdagangan/Commercial Banks,74865.554,12063.643,10.497,,,,,,,39311.385,0.0,0.0,20630.325,5200.27,33.607,95232.172,,,,,,,,,,,,,,,,,,,
2007-07-01,Monthly,Bank Perdagangan/Commercial Banks,75557.165,12248.877,2.55,,,,,,,42783.262,0.0,0.0,24468.936,5271.854,40.999,92053.219,,,,,,,,,,,,,,,,,,,
2007-08-01,Monthly,Bank Perdagangan/Commercial Banks,75185.704,12323.348,3.114,,,,,,,49148.524,0.0,0.0,24598.986,5011.155,37.457,87864.357,,,,,,,,,,,,,,,,,,,
2007-09-01,Monthly,Bank Perdagangan/Commercial Banks,75762.6,12389.619,5.733,,,,,,,53414.996,0.0,0.0,24000.977,5236.009,44.483,85830.875,,,,,,,,,,,,,,,,,,,
2007-10-01,Monthly,Bank Perdagangan/Commercial Banks,76637.86,12460.252,6.296,,,,,,,54822.171,0.0,0.0,22333.488,6003.549,44.945,93815.773,,,,,,,,,,,,,,,,,,,
2007-11-01,Monthly,Bank Perdagangan/Commercial Banks,75818.313,12787.895,7.845,,,,,,,53153.084,0.0,0.0,20963.439,6015.755,34.564,85850.521,,,,,,,,,,,,,,,,,,,
2007-12-01,Monthly,Bank Perdagangan/Commercial Banks,76902.839,12558.626,11.143,,,,,,,48717.116,0.0,0.0,18583.809,6714.3,56.991,83865.702,,,,,,,,,,,,,,,,,,,
2008-01-01,Monthly,Bank Perdagangan/Commercial Banks,77977.141,11981.07,4.04,,,,,,,51191.446,0.0,0.0,20769.539,6539.656,41.843,78023.028,,,,,,,,,,,,,,,,,,,
2008-02-01,Monthly,Bank Perdagangan/Commercial Banks,79256.523,12461.11,3.031,,,,,,,58247.493,0.0,0.0,21545.004,5484.085,56.544,75781.313,,,,,,,,,,,,,,,,,,,
2008-03-01,Monthly,Bank Perdagangan/Commercial Banks,78750.91,12555.703,4.653,,,,,,,53554.661,0.0,0.0,21821.381,5759.577,33.6,79219.654,,,,,,,,,,,,,,,,,,,
2008-04-01,Monthly,Bank Perdagangan/Commercial Banks,78793.726,12791.702,6.233,,,,,,,51009.778,0.0,0.0,21209.157,5214.85,35.402,76929.516,,,,,,,,,,,,,,,,,,,
2008-05-01,Monthly,Bank Perdagangan/Commercial Banks,79800.037,12873.702,7.773,,,,,,,54056.155,0.0,0.0,22276.18,5419.951,33.442,75806.458,,,,,,,,,,,,,,,,,,,
2008-06-01,Monthly,Bank Perdagangan/Commercial Banks,83117.606,12954.588,10.898,,,,,,,60044.241,0.0,0.0,22741.946,5496.326,43.68,82902.161,,,,,,,,,,,,,,,,,,,
2008-07-01,Monthly,Bank Perdagangan/Commercial Banks,83931.368,13041.924,1.482,,,,,,,53899.098,0.0,0.0,25672.281,5207.699,43.02,77424.032,,,,,,,,,,,,,,,,,,,
2008-08-01,Monthly,Bank Perdagangan/Commercial Banks,85885.746,13086.274,2.941,,,,,,,61287.675,0.0,0.0,27644.909,5190.216,43.571,80826.556,,,,,,,,,,,,,,,,,,,
2008-09-01,Monthly,Bank Perdagangan/Commercial Banks,87800.88,12858.781,3.869,,,,,,,64203.575,0.0,0.0,25769.532,4913.168,44.381,77297.296,,,,,,,,,,,,,,,,,,,
2008-10-01,Monthly,Bank Perdagangan/Commercial Banks,87642.38,12854.105,3.666,,,,,,,52356.298,0.0,0.0,24543.063,5056.633,40.31,84370.49,,,,,,,,,,,,,,,,,,,
2008-11-01,Monthly,Bank Perdagangan/Commercial Banks,89113.006,12758.82,3.746,,,,,,,50518.722,0.0,0.0,23525.796,4974.233,47.784,85307.774,,,,,,,,,,,,,,,,,,,
2008-12-01,Monthly,Bank Perdagangan/Commercial Banks,89290.123,12650.91,2.962,,,,,,,49153.198,0.0,0.0,20630.653,5722.315,51.208,90045.146,,,,,,,,,,,,,,,,,,,
2009-01-01,Monthly,Bank Perdagangan/Commercial Banks,91337.182,12262.408,0.836,,,,,,,42469.427,0.0,0.0,17061.027,4317.342,25.325,87493.77,,,,,,,,,,,,,,,,,,,
2009-02-01,Monthly,Bank Perdagangan/Commercial Banks,89940.129,12118.719,0.665,,,,,,,44645.776,0.0,0.0,16289.11,4590.321,33.899,90232.462,,,,,,,,,,,,,,,,,,,
2009-03-01,Monthly,Bank Perdagangan/Commercial Banks,91007.27,11852.822,0.638,,,,,,,42719.422,0.0,0.0,14088.852,4536.544,35.786,84871.846,,,,,,,,,,,,,,,,,,,
2009-04-01,Monthly,Bank Perdagangan/Commercial Banks,97751.196,11712.377,0.617,,,,,,,39536.995,0.0,0.0,11804.655,8660.514,37.462,80255.369,,,,,,,,,,,,,,,,,,,
2009-05-01,Monthly,Bank Perdagangan/Commercial Banks,98666.671,11434.938,0.836,,,,,,,38430.448,0.0,0.0,12786.304,4300.575,28.526,78617.075,,,,,,,,,,,,,,,,,,,
2009-06-01,Monthly,Bank Perdagangan/Commercial Banks,98736.132,11462.724,0.816,,,,,,,44577.211,0.0,0.0,12649.125,4319.598,32.801,78249.038,,,,,,,,,,,,,,,,,,,
2009-07-01,Monthly,Bank Perdagangan/Commercial Banks,102561.559,11604.398,0.788,,,,,,,37494.081,0.0,0.0,14124.048,4276.911,30.474,76713.046,,,,,,,,,,,,,,,,,,,
2009-08-01,Monthly,Bank Perdagangan/Commercial Banks,100996.187,11500.978,0.578,,,,,,,35199.214,0.0,0.0,12747.579,4148.001,29.527,78286.88,,,,,,,,,,,,,,,,,,,
2009-09-01,Monthly,Bank Perdagangan/Commercial Banks,101198.681,11501.505,0.566,,,,,,,38820.756,0.0,0.0,12833.082,4488.439,36.792,78545.022,,,,,,,,,,,,,,,,,,,
2009-10-01,Monthly,Bank Perdagangan/Commercial Banks,101788.749,11696.273,0.571,,,,,,,39819.202,0.0,0.0,12633.301,4609.491,22.153,78814.506,,,,,,,,,,,,,,,,,,,
2009-11-01,Monthly,Bank Perdagangan/Commercial Banks,104004.18,11873.259,0.562,,,,,,,42924.361,0.0,0.0,12097.594,4932.07,33.952,82897.068,,,,,,,,,,,,,,,,,,,
2009-12-01,Monthly,Bank Perdagangan/Commercial Banks,105454.893,12367.023,0.569,,,,,,,38362.687,0.0,0.0,11970.188,4822.607,47.913,83646.501,,,,,,,,,,,,,,,,,,,
2010-01-01,Monthly,Bank Perdagangan/Commercial Banks,105745.918,12364.752,0.553,,,,,,,38033.705,0.0,0.0,13775.251,5294.008,39.903,81071.036,,,,,,,,,,,,,,,,,,,
2010-02-01,Monthly,Bank Perdagangan/Commercial Banks,106882.741,12238.844,0.552,,,,,,,41195.562,0.0,0.0,11887.269,5350.372,47.319,81196.29,,,,,,,,,,,,,,,,,,,
2010-03-01,Monthly,Bank Perdagangan/Commercial Banks,107340.584,12475.88,0.53,,,,,,,33915.565,0.0,0.0,10396.365,4975.839,43.597,86093.936,,,,,,,,,,,,,,,,,,,
2010-04-01,Monthly,Bank Perdagangan/Commercial Banks,109194.822,13104.665,0.662,,,,,,,34413.586,0.0,0.0,8412.191,5046.06,33.487,86938.256,,,,,,,,,,,,,,,,,,,
2010-05-01,Monthly,Bank Perdagangan/Commercial Banks,109843.407,13113.885,0.56,,,,,,,31107.073,0.0,0.0,8047.854,5464.68,44.275,87275.231,,,,,,,,,,,,,,,,,,,
2010-06-01,Monthly,Bank Perdagangan/Commercial Banks,111152.307,13541.864,0.534,,,,,,,34008.117,0.0,0.0,10851.021,5154.171,38.676,94765.396,,,,,,,,,,,,,,,,,,,
2010-07-01,Monthly,Bank Perdagangan/Commercial Banks,113534.872,13459.538,0.534,,,,,,,30343.387,0.0,0.0,12280.312,4979.301,40.603,88101.246,,,,,,,,,,,,,,,,,,,
2010-08-01,Monthly,Bank Perdagangan/Commercial Banks,114160.427,13363.613,0.409,,,,,,,29900.974,0.0,0.0,13345.588,5190.762,40.988,90665.245,,,,,,,,,,,,,,,,,,,
2010-09-01,Monthly,Bank Perdagangan/Commercial Banks,113890.566,13574.529,0.439,,,,,,,34387.813,0.0,0.0,13258.663,5433.025,44.798,95400.641,,,,,,,,,,,,,,,,,,,
2010-10-01,Monthly,Bank Perdagangan/Commercial Banks,114842.396,12433.818,0.589,,,,,,,31080.288,0.0,0.0,14151.618,6572.655,45.238,89527.582,,,,,,,,,,,,,,,,,,,
2010-11-01,Monthly,Bank Perdagangan/Commercial Banks,115449.739,12450.095,0.588,,,,,,,29840.012,0.0,0.0,14312.416,5341.879,105.462,89185.875,,,,,,,,,,,,,,,,,,,
2010-12-01,Monthly,Bank Perdagangan/Commercial Banks,115200.853,13124.115,0.583,,,,,,,35001.365,0.0,0.0,13913.032,5591.256,51.894,94865.685,,,,,,,,,,,,,,,,,,,
2011-01-01,Monthly,Bank Perdagangan/Commercial Banks,115981.214,12653.999,0.531,,,,,,,34603.822,0.0,0.0,13224.607,6791.835,50.034,98492.219,,,,,,,,,,,,,,,,,,,
2011-02-01,Monthly,Bank Perdagangan/Commercial Banks,117176.323,12724.642,0.541,,,,,,,37563.269,0.0,0.0,11922.132,5789.448,73.562,98441.331,,,,,,,,,,,,,,,,,,,
2011-03-01,Monthly,Bank Perdagangan/Commercial Banks,116848.847,12767.57,0.533,,,,,,,44969.989,0.0,0.0,12454.182,5651.689,36.367,99791.389,,,,,,,,,,,,,,,,,,,
2011-04-01,Monthly,Bank Perdagangan/Commercial Banks,118024.647,13186.138,0.57,,,,,,,49721.413,0.0,0.0,11694.56,6082.283,44.137,101989.665,,,,,,,,,,,,,,,,,,,
2011-05-01,Monthly,Bank Perdagangan/Commercial Banks,118647.673,13220.047,0.57,,,,,,,48047.287,0.0,0.0,14266.041,5964.541,42.453,106912.568,,,,,,,,,,,,,,,,,,,
2011-06-01,Monthly,Bank Perdagangan/Commercial Banks,121563.739,13536.299,0.538,,,,,,,46946.399,0.0,0.0,16445.063,6022.079,35.799,105481.505,,,,,,,,,,,,,,,,,,,
2011-07-01,Monthly,Bank Perdagangan/Commercial Banks,119105.014,13651.405,0.532,,,,,,,49673.369,0.0,0.0,14946.147,6060.287,36.303,111449.862,,,,,,,,,,,,,,,,,,,
2011-08-01,Monthly,Bank Perdagangan/Commercial Banks,120214.396,13802.995,0.534,,,,,,,56383.726,0.0,0.0,13996.43,5684.017,32.95,117592.086,,,,,,,,,,,,,,,,,,,
2011-09-01,Monthly,Bank Perdagangan/Commercial Banks,120742.072,13861.825,0.481,,,,,,,60500.67,0.0,0.0,14275.723,6166.09,33.588,115673.34,,,,,,,,,,,,,,,,,,,
2011-10-01,Monthly,Bank Perdagangan/Commercial Banks,124641.062,13908.783,0.514,,,,,,,53597.124,0.0,0.0,14477.452,6047.15,32.421,111632.72,,,,,,,,,,,,,,,,,,,
2011-11-01,Monthly,Bank Perdagangan/Commercial Banks,125500.251,13939.798,0.523,,,,,,,51777.551,0.0,0.0,14506.053,6071.727,39.891,113019.316,,,,,,,,,,,,,,,,,,,
2011-12-01,Monthly,Bank Perdagangan/Commercial Banks,126720.585,13647.636,0.504,,,,,,,55656.056,0.0,0.0,14584.157,6269.765,28.15,113529.58,,,,,,,,,,,,,,,,,,,
2012-01-01,Monthly,Bank Perdagangan/Commercial Banks,128717.183,13102.274,0.523,,,,,,,52108.928,0.0,0.0,14211.406,5989.918,28.08,118514.617,,,,,,,,,,,,,,,,,,,
2012-02-01,Monthly,Bank Perdagangan/Commercial Banks,129721.3,13204.218,0.507,,,,,,,52241.884,0.0,0.0,13968.756,5975.4,26.025,127804.345,,,,,,,,,,,,,,,,,,,
2012-03-01,Monthly,Bank Perdagangan/Commercial Banks,130876.267,13204.626,0.504,,,,,,,51107.905,0.0,0.0,13644.313,6678.801,17.851,113571.335,,,,,,,,,,,,,,,,,,,
2012-04-01,Monthly,Bank Perdagangan/Commercial Banks,131270.064,13268.031,0.515,,,,,,,48223.379,0.0,0.0,15070.004,6311.728,39.428,113091.925,,,,,,,,,,,,,,,,,,,
2012-05-01,Monthly,Bank Perdagangan/Commercial Banks,132986.341,13273.108,0.501,,,,,,,49485.438,0.0,0.0,13921.1,5726.594,26.516,120713.189,,,,,,,,,,,,,,,,,,,
2012-06-01,Monthly,Bank Perdagangan/Commercial Banks,135256.878,13448.501,0.494,,,,,,,57121.341,0.0,0.0,12331.271,6437.334,29.583,118282.119,,,,,,,,,,,,,,,,,,,
2012-07-01,Monthly,Bank Perdagangan/Commercial Banks,137078.789,13480.565,0.502,,,,,,,56446.349,0.0,0.0,12138.931,5852.255,30.362,119642.262,,,,,,,,,,,,,,,,,,,
2012-08-01,Monthly,Bank Perdagangan/Commercial Banks,137364.702,13378.596,1.063,,,,,,,59525.777,0.0,0.0,10500.429,6000.412,26.306,117354.308,,,,,,,,,,,,,,,,,,,
