date,frequency,outstanding_total_abs,outstanding_household_abs,outstanding_business_abs,outstanding_private_non_financial_abs,credit_total_abs,credit_business_abs,outstanding_total_yoy,outstanding_household_yoy,outstanding_business_yoy,outstanding_private_non_financial_yoy,credit_total_yoy,credit_business_yoy
2021-01-01,Annual,1966777.7446791157,1243403.1135644088,723374.6311147085,526548.29291832,2493326.0375974355,1249922.9240330285,,,,,,
2021-07-01,Monthly,1911998.0063500355,1206033.9907476294,705964.0156024072,518114.56232122,2430112.5686712554,1224078.577923627,,,,,,
2021-08-01,Monthly,1910055.7124694225,1209005.524196672,701050.1882727494,518778.42860601,2428834.1410754323,1219828.6168787593,,,,,,
2021-09-01,Monthly,1926976.2508747526,1215920.7525361294,711055.4983386183,521755.7158567,2448731.9667314524,1232811.2141953183,,,,,,
2021-10-01,Monthly,1938833.1162963784,1224811.9652616512,714021.1510347297,523608.90912523,2462442.0254216082,1237630.0601599596,,,,,,
2021-11-01,Monthly,1955139.48881551,1234137.4778776807,721002.0109378299,528170.55388814,2483310.04270365,1249172.5648259697,,,,,,
2021-12-01,Monthly,1966777.7446791157,1243403.1135644088,723374.6311147085,526548.29291832,2493326.0375974355,1249922.9240330285,,,,,,
2022-01-01,Annual,2060082.6491468274,1311913.964967502,748168.6841793286,550573.57529614,2610656.224442967,1298742.2594754687,4.744049230785596,5.509946907459162,3.427553579866749,4.562788010319663,4.705769926446957,3.905787669284333
2022-01-01,Monthly,1977326.8687657195,1249846.3812349516,727480.4875307697,525207.80738202,2502534.6761477394,1252688.2949127897,,,,,,
2022-02-01,Monthly,1980168.577865605,1251806.824661744,728361.7532038587,524735.31358172,2504903.8914473252,1253097.0667855786,,,,,,
2022-03-01,Monthly,1990454.3614807473,1258031.981341668,732422.3801390791,531577.8865237401,2522032.2480044877,1264000.2666628193,,,,,,
2022-04-01,Monthly,1999870.1359556408,1262705.304037922,737164.8319177199,532530.44283664,2532400.578792281,1269695.2747543599,,,,,,
2022-05-01,Monthly,2004808.9157764118,1266098.8995003095,738710.0162761004,531404.68374078,2536213.5995171918,1270114.7000168804,,,,,,
2022-06-01,Monthly,2016703.909769107,1272763.206872329,743940.7028967802,535501.76219007,2552205.6719591767,1279442.4650868503,,,,,,
2022-07-01,Monthly,2021047.1970061334,1278120.8142513672,742926.3827547696,538182.85331829,2559230.0503244232,1281109.2360730595,5.703415500117104,5.97718008420729,5.235729631463171,3.8733308145521894,5.313230478198272,4.659068394626442
2022-08-01,Monthly,2028625.9453066867,1284892.6280053165,743733.3173013695,542045.28296463,2570671.2282713167,1285778.6002659996,6.207684522666113,6.2768202700370646,6.088455540363369,4.484930960051581,5.839718933343141,5.4064958367668
2022-09-01,Monthly,2036338.1852189153,1291900.153667051,744438.0315518593,542867.10932106,2579205.2945399755,1287305.1408729195,5.675313034839835,6.248713246520898,4.694785891008424,4.046221789769189,5.328199638879938,4.420297775533344
2022-10-01,Monthly,2046455.511039438,1297637.143831909,748818.3672075302,545649.29971778,2592104.810757218,1294467.6669253102,5.550884902803976,5.945825207112532,4.873415321433239,4.209323066976056,5.265617789048638,4.592455257430039
2022-11-01,Monthly,2046467.0095087348,1304051.4150659465,742415.5944427901,546813.31523742,2593280.3247461547,1289228.90968021,4.671151148839736,5.6650039757722315,2.9699755590288923,3.5296858584866087,4.428375037809484,3.2066302112407463
2022-12-01,Monthly,2060082.6491468274,1311913.964967502,748168.6841793286,550573.57529614,2610656.224442967,1298742.2594754687,4.744049230785596,5.509946907459162,3.427553579866749,4.562788010319663,4.705769926446957,3.905787669284333
2023-01-01,Annual,2162637.0670844773,1386502.9388491886,776134.1282352903,573441.0174794199,2736078.084563897,1349575.1457147102,4.978170073910504,5.6855080343271025,3.737852792734464,4.153385343817129,4.804227341257494,3.9140087933822842
2023-01-01,Monthly,2056454.1564662065,1314799.15035883,741655.0061073817,551819.92857864,2608274.0850448464,1293474.9346860216,4.001730262729897,5.196860198106901,1.9484396928257874,5.06696983985675,4.225292456681418,3.2559288642568074
2023-02-01,Monthly,2061928.375717258,1317627.3553332193,744301.0203840401,553359.35680899,2615287.7325262483,1297660.37719303,4.128931181191686,5.258042165512311,2.1883723452074344,5.454948902121526,4.406709632885097,3.556253668501852
2023-03-01,Monthly,2070142.9418219326,1321772.693222281,748370.2485996493,554819.7768985999,2624962.7187205325,1303190.025498249,4.003537176401428,5.066700435757987,2.1774141387571833,4.372245528656293,4.08125117343312,3.100454949973841
2023-04-01,Monthly,2069221.5517293692,1325925.9647756908,743295.5869536784,556139.5618420399,2625361.113571409,1299435.1487957183,3.4677959596905783,5.006762903077977,0.8316667820424062,4.433383916915767,3.6708463723168716,2.342284375840653
2023-05-01,Monthly,2079855.2680049792,1331225.0558738795,748630.2121311005,555587.0269545501,2635442.2949595293,1304217.2390856505,3.743316963427601,5.143844323636437,1.3429079931809529,4.550645478609727,3.9124739123403307,2.684996801337469
