date,frequency,bank,less_than_500k,500k_to_1m,1m_to_5m,more_than_5m,total_outstanding
2021-07-01,Monthly,Bank-bank perdagangan / Commercial banks,33594.350759870016,26080.66247435,72393.59575299003,81327.54721698999,213396.15620420006
2021-07-01,Monthly,Bank-bank Islam / Islamic banks,11860.2471301,11160.998416679999,30157.255996559987,38162.580310469995,91341.08185380998
2021-07-01,Monthly,Bank-bank pelaburan / Investment banks,0.93566875,5.25454179,99.01300743,1253.2285939599997,1358.4318119299999
2021-07-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,3463.1197561599984,1403.0385196300008,3683.213293750001,10450.33030546,18999.701875
2021-07-01,Monthly,Jumlah / Total,48918.653314880015,38649.95395245,106333.07805073001,131193.68642688,325095.3717449392
2021-08-01,Monthly,Bank-bank perdagangan / Commercial banks,33430.210623980005,26093.181502280004,72537.44949603999,81688.58490204002,213749.42652434
2021-08-01,Monthly,Bank-bank Islam / Islamic banks,12118.926775449994,11304.86499567,30376.70592294001,37764.67283899999,91565.17053306
2021-08-01,Monthly,Bank-bank pelaburan / Investment banks,0.71719052,5.414837949999999,101.88368096,1528.3499295699999,1636.365639
2021-08-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,3538.075764970001,1412.6818356799995,3688.596331280001,10479.286174280001,19118.64010621001
2021-08-01,Monthly,Jumlah / Total,49087.93035492001,38816.14317157999,106704.63543122001,131460.89384489003,326069.6028026094
2021-09-01,Monthly,Bank-bank perdagangan / Commercial banks,33555.564401439995,26279.853000290008,73207.88425621999,82252.53243256002,215295.83409050998
2021-09-01,Monthly,Bank-bank Islam / Islamic banks,12512.024556560005,11610.625020599997,30830.63631218001,38108.28868878999,93061.57457812999
2021-09-01,Monthly,Bank-bank pelaburan / Investment banks,1.0787581199999998,5.330301249999999,98.76055296999999,1523.4058793599997,1628.5754917000004
2021-09-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,3615.53151082,1435.6822786599998,3655.84028964,10441.263195660002,19148.31727478
2021-09-01,Monthly,Jumlah / Total,49684.19922694,39331.4906008,107793.12141101001,132325.49019637,329134.30143511936
2021-10-01,Monthly,Bank-bank perdagangan / Commercial banks,33703.82025468,26398.576267979995,73163.19542531997,81496.53361952,214762.12556749993
2021-10-01,Monthly,Bank-bank Islam / Islamic banks,12736.575599509993,11831.107456300002,31081.42397642,38549.531912419996,94198.63894465
2021-10-01,Monthly,Bank-bank pelaburan / Investment banks,1.21448271,5.58083491,98.79232419000003,1479.30455211,1584.8921939200002
2021-10-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,3676.6458573000014,1465.4256283599993,3679.52809992,10304.283264799999,19125.882850379996
