date,frequency,sme_size,individual_for_business,micro,small,medium,financing
2021-07-01,Monthly,Bank-bank perdagangan / Commercial banks,459.19431069999973,56846.349255020024,101622.04075548997,54468.57188298998,213396.15620419997
2021-07-01,Monthly,Bank-bank Islam / Islamic banks,236.0824579999999,28979.740215279995,39140.61558634002,22984.643594189994,91341.08185381001
2021-07-01,Monthly,Bank-bank pelaburan / Investment banks,37.84921149,946.3710990499999,203.59863211000004,170.61286928,1358.4318119299999
2021-07-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,212.03633545999998,5828.494033250003,6169.177563800003,6789.993942489997,18999.701875000002
2021-07-01,Monthly,Jumlah / Total,945.1623156499996,92600.95460260003,147135.43253773998,84413.82228894996,325095.37174494
2021-08-01,Monthly,Bank-bank perdagangan / Commercial banks,456.37207109999986,56542.12559194999,102077.47010992002,54673.45875137001,213749.42652434
2021-08-01,Monthly,Bank-bank Islam / Islamic banks,235.02883531000012,28650.96321449,39528.67511519,23150.503368070007,91565.17053306001
2021-08-01,Monthly,Bank-bank pelaburan / Investment banks,37.83429906,1086.44416463,202.31164258,309.77553272999995,1636.3656389999994
2021-08-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,212.1911285199999,5878.172339570005,6226.6992564,6801.577381720001,19118.64010621001
2021-08-01,Monthly,Jumlah / Total,941.4263339899998,92157.70531063998,148035.15612409002,84935.31503389002,326069.6028026099
2021-09-01,Monthly,Bank-bank perdagangan / Commercial banks,448.35638475000025,56940.18348728005,102779.66550458013,55127.628713900034,215295.83409051027
2021-09-01,Monthly,Bank-bank Islam / Islamic banks,236.11943031000004,29114.054231510003,40477.76988348,23233.631032829984,93061.57457813
2021-09-01,Monthly,Bank-bank pelaburan / Investment banks,37.87638089,1103.82489701,179.70827728,307.16593651999995,1628.5754917000002
2021-09-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,214.32646282000007,5943.999188979998,6215.58969848,6774.401924499999,19148.31727478
