date,frequency,purpose,purchase_of_securities,fixed_assets_non_property_total,transport_vehicles_total,purchase_of_passenger_cars,transport_vehicles_others,fixed_assets_non_property_others,purchase_of_residential_property,purchase_of_non_residential_property,construction,working_capital,other_purposes,financing,memo_item_credit_card
2021-07-01,Monthly,Bank-bank perdagangan / Commercial banks,2208.92381425,17868.594589400018,15251.596657460019,9910.143282700017,5341.45337476,2616.9979319400004,5259.852303790001,75955.56732701002,13108.04637178,90412.02694826003,8583.14484971,213396.15620419921,395.7377227000002
2021-07-01,Monthly,Bank-bank Islam / Islamic banks,841.4742320900001,4990.52770531,3668.8107010100002,2489.8887478,1178.92195321,1321.7170042999996,1616.5309795500004,30129.33100583,4880.4877416,45004.82614501,3877.904044419999,91341.08185381001,2.3867628500000007
2021-07-01,Monthly,Bank-bank pelaburan / Investment banks,819.04507954,0.288058,0.288058,0.0,0.288058,0.0,43.172274390000005,137.88416386000006,124.2794748,94.25780458999999,139.50495675,1358.43181193,0.0
2021-07-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,10.35884364,1143.77420822,304.74639475000004,10.520496290000004,294.22589846000005,839.02781347,69.13320134,1880.0918091299995,3816.1966790799997,5539.990991339995,6539.977294509999,18999.701875,0.0
2021-07-01,Monthly,Jumlah / Total,3879.80196952,24003.184560930018,19225.441811220022,12410.55252679002,6814.88928443,4777.74274971,6988.688759070001,108102.87430583002,21929.010267259997,141051.10188920007,19140.53114539,325095.3717449392,398.12448555000014
2021-08-01,Monthly,Bank-bank perdagangan / Commercial banks,2543.45034787,17760.153952570006,15112.55032641001,9796.56832283001,5315.982003579999,2647.6036261599993,5258.618868189999,76065.63722033,12661.653083550005,90737.42964899007,8722.483402840002,213749.4265243393,396.43112037999987
2021-08-01,Monthly,Bank-bank Islam / Islamic banks,842.81205072,5011.00988252,3674.4096859800006,2489.0229486900007,1185.38673729,1336.6001965399996,1639.60197973,30314.515783220002,4794.12558354,45136.98747400998,3826.11777932,91565.17053306,2.8037046799999996
2021-08-01,Monthly,Bank-bank pelaburan / Investment banks,911.7976165599999,0.27992534999999996,0.27992534999999996,0.0,0.27992534999999996,0.0,43.31896092,130.56412871,124.48854413,144.24791128000004,281.66855205,1636.3656389999992,0.0
2021-08-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,14.957175889999998,1149.2081877700002,305.23526368,10.454869670000003,294.78039401,843.9729240900001,68.29152702,1891.3998949500003,3822.2402096299998,5628.220717579999,6544.148975340001,19118.640106209987,0.0
2021-08-01,Monthly,Jumlah / Total,4313.01719104,23920.651948210016,19092.475201420013,12296.046141190014,6796.429060229999,4828.176746789999,7009.831335860001,108402.11702721003,21402.507420850005,141646.88575186004,19374.418709550006,326069.6028026093,399.2348250599999
