date,frequency,sector,agriculture_forestry_and_fishing,mining_and_quarrying,manufacturing,electricity_gas_steam_and_air_conditioning_supply,water_supply_sewerage_waste_management_and_remediation_activities,construction,wholesale_retail_motor_trade_total,wholesale_trade_except_of_motor_vehicles_and_motorcycles,retail_trade_except_of_motor_vehicles_and_motorcycles,wholesale_retail_motor_trade_others,accommodation_and_food_service_activities,transportation_storage,information_communication,financial_and_insurance_takaful_activities,real_estate_activities,professional_scientific_and_technical_activities,administrative_and_support_service_activities,education_health_and_others,other_sector,total_outstanding_loan_financing
2021-07-01,Monthly,Bank-bank perdagangan / Commercial banks,6152.7311300599995,1062.5459438799999,32119.220795560006,1087.79716437,1218.6925110499997,28659.98355631,61738.106113979986,36621.00544882,15766.374368949993,9350.726296209992,8053.62508746,6476.812144910002,2023.81542403,4328.1549342299995,39115.26752439001,11475.064583150002,2817.2053246499995,6602.00862372,465.12534244917333,213396.15620419921
2021-07-01,Monthly,Bank-bank Islam / Islamic banks,4264.14235507,592.5465590999997,13058.684839169997,1398.5565946099998,449.63237376,10839.766696560002,24222.104947980006,13286.802199780004,6654.914787940002,4280.387960259999,1784.71100485,3785.373880169999,1119.2944382199996,1360.82170756,15207.507657459993,7351.87343765,1641.6502209500002,3997.5704553100004,266.8446853900241,91341.08185381004
2021-07-01,Monthly,Bank-bank pelaburan / Investment banks,2.06871053,59.84501769,39.403287240000004,9.377295279999998,16.297240119999998,87.23775902,25.08059939,24.0831425,0.99745689,0.0,4.389951519999999,2.41139668,12.989314460000001,333.03509491,320.0685151100001,346.73011292,36.58831351,25.059992059999995,37.84921149000024,1358.4318119300003
2021-07-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,2893.570724429999,58.42797978000001,2286.22576976,68.91280719,36.81289491999999,4996.260185330001,2771.0752471299998,1378.4189854799997,981.3875102499999,411.2687514000004,1436.8489361,865.1261224000001,312.13968578999993,263.82846923,675.69497859,459.31607257999985,259.02307806999994,1402.9979094500002,213.44101424999099,18999.701874999995
2021-07-01,Monthly,Jumlah / Total,13312.512920089997,1773.36550045,47503.53469172998,2564.6438614500003,1721.4350198499997,44583.248197220004,88756.36690847999,51310.30977658,23403.674124029996,14042.383007869998,11279.574979930001,11129.72354416,3468.2388625,6285.840205930001,55318.53867555,19632.984206300007,4754.466937180001,12027.636980540003,983.2602535791812,325095.3717449392
2021-08-01,Monthly,Bank-bank perdagangan / Commercial banks,6182.447990080002,1241.88632239,32278.22589143001,1082.8508689599998,1215.12418897,28239.575078759994,61821.03423405002,36763.257471170014,15725.110406060005,9332.666356820002,8052.4940830299975,6487.01985462,2001.4807278199999,4479.891373570001,39343.64490864,11471.386509450002,2848.453386409999,6542.463088599999,461.4480175593053,213749.42652433933
2021-08-01,Monthly,Bank-bank Islam / Islamic banks,4233.210649820002,570.3482212299999,13051.43811651,1427.0796839099999,465.41226228999994,10899.39897851,24584.784162879998,13476.036596109996,6763.047815690001,4345.699751080003,1807.5004257199996,3901.068181599999,1155.9621224499997,1366.7103521200002,15208.309181769997,6956.3023725500025,1654.73985147,4017.30377708,265.6021931500145,91565.17053306001
2021-08-01,Monthly,Bank-bank pelaburan / Investment banks,2.07044673,59.127517659999995,39.313489270000005,9.433045369999999,16.161941629999998,82.67434662,13.93095387,13.93095387,0.0,0.0,4.60350201,2.42163691,12.93362551,332.40300779,317.72437014999997,496.10715354,36.494369240000005,173.13193364,37.834299059999694,1636.3656389999994
2021-08-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,2888.0323756999996,58.335665330000005,2289.65943817,69.74210961,41.463211890000004,5025.649537270001,2813.4716678,1399.2179354599998,991.4147865900004,422.83894574999977,1456.5990640999999,870.5599223800002,310.49491948,261.05714625,676.75847671,463.9468844,265.35819840000005,1414.94362898,212.56785973998922,19118.64010620999
2021-08-01,Monthly,Jumlah / Total,13305.761462330003,1929.6977266100002,47658.636935380004,2589.10570785,1738.1616047799998,44247.297941159995,89233.22101860002,51652.44295661001,23479.573008340005,14101.205053650003,11321.197074859996,11261.069595509998,3480.8713952599996,6440.061879729999,55546.436937269995,19387.742919940003,4805.045805520001,12147.842428299999,977.4523695093812,326069.6028026094
