date,frequency,federal_government,state_government,statutory_agency,financial_institution,business_enterprises,individuals,others,total
2007-01-01,Monthly,10942.827,10825.17,21397.92,150464.443,297913.875,301482.638,35858.16,828885.033
2007-02-01,Monthly,11010.737,10957.609,21504.27599,151797.93469,300412.17442,305976.74653,36367.48787,838026.9655
2007-03-01,Monthly,11011.342,11950.557,22157.448,158430.41717,292906.481,307904.654,37464.155,841825.05417
2007-04-01,Monthly,11394.564,12314.278,21831.491,151278.24772,299863.566,311242.747,38195.02,846119.91372
2007-05-01,Monthly,10902.709,12213.848,24773.732,154471.518,299094.127,314197.865,37461.957,853115.756
2007-06-01,Monthly,15019.102,11949.073,21726.45,139493.079,301624.686,315788.017,34174.519,839774.926
2007-07-01,Monthly,13286.915,12591.795,22517.194,127756.148,307422.979,316954.508,33624.322,834153.861
2007-08-01,Monthly,12906.327,13371.279,22226.506,117616.312,309827.061,319460.067,33742.115,829149.667
2007-09-01,Monthly,14089.073,12912.878,22598.121,124383.155,304584.937,322153.92,33287.253,834009.337
2007-10-01,Monthly,13693.605,14309.208,23075.439,126063.204,306416.449,324322.538,34074.812,841955.255
2007-11-01,Monthly,13094.664,13110.113,23373.707,121310.499,306334.058,326616.177,34889.867,838729.085
2007-12-01,Monthly,13268.385,12129.751,26200.108,137717.785,316937.359,329332.807,33236.312,868822.507
2008-01-01,Monthly,13213.217,11939.435,24947.136,140052.659,333754.886,335448.56,35204.393,894560.286
2008-02-01,Monthly,13936.93,13301.724,24325.76,143813.799,332168.534,340635.519,33612.22,901794.486
2008-03-01,Monthly,13692.773,13430.511,25688.084,146608.537,337185.702,341219.083,35064.493,912889.183
2008-04-01,Monthly,13563.738,13299.155,25836.243,153456.148,341377.687,343612.515,36066.449,927211.935
2008-05-01,Monthly,15463.707,13231.799,27621.366,146703.345,341433.411,345392.486,37497.057,927343.171
2008-06-01,Monthly,14292.984,13090.925,27818.734,143941.642,340345.555,349194.421,41610.694,930294.955
2008-07-01,Monthly,12492.148,13047.678,26993.332,144663.322,349977.216,351987.668,41042.377,940203.741
2008-08-01,Monthly,14927.642,13846.82,25822.39,143222.677,340449.719,353495.092,41287.385,933051.725
2008-09-01,Monthly,13394.318,13010.149,25517.019,154220.466,334921.999,358195.596,42909.9,942169.447
2008-10-01,Monthly,12510.662,12898.785,26134.125,147140.609,333872.054,358551.595,42379.833,933487.663
2008-11-01,Monthly,14357.551,12544.628,28651.313,146498.266,336669.304,361365.966,43003.206,943090.234
2008-12-01,Monthly,14701.188,12815.849,27864.971,161729.062,350053.667,364579.597,40506.816,972251.15
2009-01-01,Monthly,14356.284,12210.141,26218.874,157415.147,356699.048,369052.744,40862.74,976814.978
2009-02-01,Monthly,17061.93,13739.348,26385.777,154269.918,351624.15,371719.442,41729.536,976530.101
2009-03-01,Monthly,14421.124,14022.516,26349.54,161814.971,355035.904,373112.443,41098.8,985855.298
2009-04-01,Monthly,14721.375,14835.733,28342.777,158151.853,355169.145,371322.379,42208.142,984751.404
2009-05-01,Monthly,16234.301,13768.971,25876.503,155145.663,357040.008,369317.252,42122.103,979504.801
2009-06-01,Monthly,17945.274,14270.593,27952.03,167601.322,355992.935,371042.699,42851.126,997655.979
2009-07-01,Monthly,18017.173,13744.898,27936.653,162013.134,360265.002,372498.249,44040.293,998515.402
2009-08-01,Monthly,18626.647,14926.469,28810.369,165377.701,364105.423,371518.658,45202.598,1008567.865
