date,frequency,demand_deposits,fixed_investment_deposits,saving_deposits,nids_issued,foreign_currency_deposit,tawarruq_fixed_deposits,others_deposit_accepted,total_deposits,repurchase_agreements,total_deposits_repos
2007-01-01,Monthly,117922.875,409443.177,76859.224,108327.493,21393.523,0.0,21330.008,755276.3,73608.733,828885.033
2007-02-01,Monthly,120631.794,415752.173,78747.754,102846.5967,20212.448,0.0,24553.86773,762744.63343,75282.33207,838026.9655
2007-03-01,Monthly,116666.782,417599.279,78693.6,98823.47317,20785.139,0.0,27459.138,760027.41117,81797.643,841825.05417
2007-04-01,Monthly,119560.12,421295.294,79523.735,97349.01372,21775.194,0.0,38101.437,777604.79372,68515.12,846119.91372
2007-05-01,Monthly,121832.554,427992.972,79407.111,100135.986,19853.081,0.0,39822.134,789043.838,64071.918,853115.756
2007-06-01,Monthly,124423.984,426702.124,80435.591,83428.935,21945.185,0.0,68074.027,805009.846,34765.08,839774.926
2007-07-01,Monthly,126090.598,431896.508,81318.001,64104.328,21364.64,0.0,106112.835,830886.91,3266.951,834153.861
2007-08-01,Monthly,126782.31,429442.39,81546.42,56086.037,21767.119,0.0,112753.202,828377.478,772.189,829149.667
2007-09-01,Monthly,127988.339,424992.288,81809.676,53872.925,21270.252,0.0,122347.925,832281.405,1727.932,834009.337
2007-10-01,Monthly,132859.68,422351.498,82627.124,56084.246,22398.9,0.0,122500.668,838822.116,3133.139,841955.255
2007-11-01,Monthly,130351.941,419083.144,82846.63,52076.92,23824.969,0.0,127335.761,835519.365,3209.72,838729.085
2007-12-01,Monthly,140949.144,418351.478,84432.763,63038.9,22757.004,0.0,135418.129,864947.418,3875.089,868822.507
2008-01-01,Monthly,144681.616,417315.458,86071.033,57755.019,25893.245,3296.663,156381.671,891394.705,3165.581,894560.286
2008-02-01,Monthly,142499.906,416041.952,88106.407,54342.94,27259.913,3299.619,164446.817,895997.554,5796.932,901794.486
2008-03-01,Monthly,142810.112,423671.895,86978.857,54270.968,26573.695,4860.427,169035.166,908201.12,4688.063,912889.183
2008-04-01,Monthly,140479.465,426248.074,87600.55,53707.764,27083.567,5349.958,177706.114,918175.492,9036.443,927211.935
2008-05-01,Monthly,141117.672,426122.911,87562.968,54788.432,30234.81,5342.532,178157.364,923326.689,4016.482,927343.171
2008-06-01,Monthly,146097.688,428942.914,88421.257,59457.764,32431.209,6150.673,164531.551,926033.056,4261.899,930294.955
2008-07-01,Monthly,144099.504,427461.298,89422.593,58069.304,32799.117,6351.6,177880.189,936083.605,4120.136,940203.741
2008-08-01,Monthly,145493.913,428406.94,89385.791,56817.252,34732.661,6873.354,168480.511,930190.422,2861.303,933051.725
2008-09-01,Monthly,144679.87,428797.48,90836.168,62030.207,36539.009,6865.318,168781.576,938529.628,3639.819,942169.447
2008-10-01,Monthly,139589.974,435899.267,89926.771,61176.623,37180.973,6815.652,161919.219,932508.479,979.184,933487.663
2008-11-01,Monthly,143629.385,438616.703,89562.702,64099.997,37364.002,6366.811,163279.525,942919.125,171.109,943090.234
2008-12-01,Monthly,149509.05,444189.933,92217.729,70956.313,36301.957,7189.927,171727.539,972092.448,158.702,972251.15
2009-01-01,Monthly,145782.385,453757.152,92953.442,67278.39,38828.258,6474.249,171540.962,976614.838,200.14,976814.978
2009-02-01,Monthly,148499.412,457666.146,95359.622,60193.788,39268.871,5957.981,169414.484,976360.304,169.797,976530.101
2009-03-01,Monthly,146910.451,458616.613,95984.098,66488.594,38669.071,7048.263,171408.898,985125.988,729.31,985855.298
2009-04-01,Monthly,150221.43,453482.519,98575.476,65986.989,41832.55,5981.032,168480.351,984560.347,191.057,984751.404
2009-05-01,Monthly,153035.746,456946.969,96398.932,63772.094,42580.637,6111.054,160512.195,979357.627,147.174,979504.801
2009-06-01,Monthly,154730.661,465657.962,97903.017,71555.797,38331.182,6142.594,163213.879,997535.092,120.887,997655.979
2009-07-01,Monthly,153143.218,465063.748,99230.732,61024.82,38993.912,6258.018,174663.076,998377.524,137.878,998515.402
2009-08-01,Monthly,155356.897,464453.198,98580.204,58675.24,46147.209,6358.563,178994.634,1008565.945,1.92,1008567.865
2009-09-01,Monthly,157999.843,464528.905,99266.672,65434.573,45933.25,6903.057,177883.894,1017950.194,556.527,1018506.721
2009-10-01,Monthly,155842.417,465090.647,98908.594,58350.515,45895.574,7821.735,185527.794,1017437.276,208.719,1017645.995
2009-11-01,Monthly,165852.894,469933.667,99585.616,59405.883,48286.75,8494.803,190928.041,1042487.654,577.085,1043064.739
2009-12-01,Monthly,165891.006,473667.518,102268.014,62972.659,50338.323,8387.202,198338.578,1061863.3,1056.596,1062919.896
2010-01-01,Monthly,167582.295,475941.169,102914.417,54723.583,50491.05,8013.977,196988.677,1056655.168,1885.506,1058540.674
2010-02-01,Monthly,168488.95,477231.84,102575.488,47194.982,50487.574,8547.595,192933.495,1047459.924,1245.811,1048705.735
2010-03-01,Monthly,163514.513,479122.416,103265.883,52899.804,54795.656,7837.803,205408.365,1066844.44,1889.332,1068733.772
2010-04-01,Monthly,161660.075,481149.151,102992.825,52338.007,48590.78,8123.075,207133.067,1061986.98,2808.726,1064795.706
2010-05-01,Monthly,169605.875,473853.601,99489.144,47261.787,50820.477,14248.199,207683.544,1062962.627,1714.013,1064676.64
2010-06-01,Monthly,172464.512,478622.128,99186.773,55248.858,53624.376,14706.707,208480.813,1082334.167,1550.338,1083884.505
2010-07-01,Monthly,167217.689,481884.762,99545.479,53349.128,55923.493,15678.305,207904.571,1081503.427,1059.586,1082563.013
2010-08-01,Monthly,177780.189,484666.484,100680.539,50436.731,59246.477,15115.187,203308.537,1091234.144,1703.413,1092937.557
2010-09-01,Monthly,175181.76,492144.878,101937.208,52522.096,52403.462,16128.819,212424.203,1102742.426,3486.501,1106228.927
2010-10-01,Monthly,173492.87,494901.003,102118.497,51039.472,51853.969,18253.551,214970.409,1106629.771,3808.675,1110438.446
2010-11-01,Monthly,181641.245,500848.249,102640.828,47606.255,51425.551,19568.483,222131.294,1125861.905,2635.712,1128497.617
2010-12-01,Monthly,184638.26,502599.108,104942.723,51625.833,53506.055,19022.175,219877.753,1136211.907,1711.212,1137923.119
2011-01-01,Monthly,194434.754,505290.131,107320.081,49156.117,56059.587,18784.579,219397.177,1150442.426,2669.791,1153112.217
2011-02-01,Monthly,195871.384,505443.729,107406.23,48892.552,55420.987,20821.394,213183.252,1147039.528,3759.758,1150799.286
2011-03-01,Monthly,188744.801,516231.646,107784.287,56831.036,56481.221,23178.6,218460.141,1167711.732,2886.644,1170598.376
2011-04-01,Monthly,189563.746,513182.735,109123.967,53799.329,52751.946,25010.836,230468.579,1173901.138,6811.06,1180712.198
2011-05-01,Monthly,192507.533,516547.907,108470.761,48727.606,58198.784,27481.98,232881.798,1184816.369,3734.796,1188551.165
2011-06-01,Monthly,197414.114,530176.451,109596.979,50537.807,57482.906,28540.073,232593.567,1206341.897,1673.299,1208015.196
2011-07-01,Monthly,191992.86,533886.858,108830.755,51525.657,54962.304,29018.034,232915.664,1203132.132,1760.305,1204892.437
2011-08-01,Monthly,198616.607,535170.6,111278.893,54656.707,56404.275,29457.634,225208.865,1210793.581,1170.77,1211964.351
2011-09-01,Monthly,198410.182,544610.26,111078.409,61583.266,62136.221,29710.485,235893.915,1243422.738,362.63,1243785.368
2011-10-01,Monthly,205859.959,538323.343,112093.985,56076.892,59368.602,30433.192,234673.47,1236829.443,1318.292,1238147.735
2011-11-01,Monthly,206496.796,547945.98,112567.633,53398.185,67184.286,31721.397,238338.72,1257652.997,1290.455,1258943.452
2011-12-01,Monthly,214197.767,560242.801,115670.632,59401.448,64612.459,34381.023,248038.516,1296544.646,2367.927,1298912.573
2012-01-01,Monthly,216824.552,558283.922,115777.717,58207.326,71999.293,34740.862,259021.703,1314855.375,1924.445,1316779.82
2012-02-01,Monthly,217012.462,570560.996,115772.108,55822.175,76875.415,35230.437,248164.189,1319437.782,2728.49,1322166.272
2012-03-01,Monthly,215626.542,574724.787,117264.701,65571.846,74903.011,33835.07,248871.185,1330797.142,1946.253,1332743.395
2012-04-01,Monthly,218070.023,581050.417,118337.346,54136.971,75231.979,40218.893,254182.145,1341227.774,1989.365,1343217.139
2012-05-01,Monthly,216369.06,583985.049,120874.29,53695.587,75837.955,37850.578,253502.372,1342114.891,1997.065,1344111.956
2012-06-01,Monthly,219156.408,584244.27,121830.177,62525.344,77878.383,36702.651,254859.12,1357196.353,2024.64,1359220.993
2012-07-01,Monthly,225203.33992,582409.83294,120508.99295,62101.113,78725.933,35953.073,259448.524,1364350.80881,2400.043,1366750.85181
2012-08-01,Monthly,225120.03,585996.966,120678.825,62607.984,83617.103,38876.847,254034.955,1370932.71,4002.737,1374935.447
2012-09-01,Monthly,226607.408,585260.968,120115.041,62553.388,82861.649,39557.262,265585.031,1382540.747,4773.163,1387313.91
2012-10-01,Monthly,227349.369,596116.686,120569.521,55713.555,84001.533,43569.34,261282.934,1388602.938,4374.477,1392977.415
2012-11-01,Monthly,227725.778,608568.678,121223.009,54909.132,85385.987,49480.716,250413.82,1397707.12,3500.395,1401207.515
2012-12-01,Monthly,241905.844,606844.964,123740.288,58363.444,79020.308,50486.48,243207.129,1403568.457,4746.731,1408315.188
2013-01-01,Monthly,246467.372782,628488.606245,126010.998517,51460.418674,74064.567147,47884.920408,239889.592044,1414266.475817,9402.824804,1423669.300621
2013-02-01,Monthly,243828.095657,628046.374822,128800.088324,52210.400737,73619.259039,46627.640583,245587.262093,1418719.121255,8084.935858,1426804.057113
2013-03-01,Monthly,234529.744744,608044.792085,125690.276754,56508.252556,71055.756053,48641.502528,246877.324759,1391347.649479,7909.870676,1399257.520155
2013-04-01,Monthly,239460.673801,651827.324812,129863.291374,50854.872081,72824.80851,48808.017416,247715.062031,1441354.050025,7580.376815,1448934.42684
2013-05-01,Monthly,242210.810118,658615.60006,128664.163446,53958.151551,76964.045836,47729.860075,248363.491762,1456506.122848,9932.698721,1466438.821569
2013-06-01,Monthly,245191.046778,659153.397325,130169.157975,57974.311931,75482.859191,52223.539828,237622.594329,1457816.907357,11060.163345,1468877.070702
2013-07-01,Monthly,251164.02124,657836.221736,132470.528595,55813.471721,72850.466371,55297.336606,238209.232481,1463641.27875,13117.873553,1476759.152303
2013-08-01,Monthly,247374.412555,662703.416017,132702.071925,56436.624148,75192.719617,56790.6686,240272.100317,1471472.013179,12141.115137,1483613.128316
2013-09-01,Monthly,255162.530162,664143.157298,132929.681704,61452.65567,70973.680653,61823.169144,231953.075395,1478437.950026,14288.195574,1492726.1456
2013-10-01,Monthly,254996.532958,670862.29477,129852.771219,58062.546805,72531.683149,65560.676439,232243.619747,1484110.125087,16321.787104,1500431.912191
2013-11-01,Monthly,256958.06084,663590.64849,129892.996279,58735.671356,72702.830931,68981.546652,235866.221986,1486727.976534,10026.470601,1496754.447135
2013-12-01,Monthly,272922.910323,667018.453794,131765.243814,61214.317184,75242.277877,70839.308937,233709.551707,1512712.063636,12536.649188,1525248.712824
2014-01-01,Monthly,269065.007615,665845.619643,135785.327774,59668.020448,75815.951034,70846.275551,236781.337501,1513807.539566,11761.434939,1525568.974505
