date,frequency,ibs_deposits_by_type_holder,federal_government,state_government,statutory_agency,financial_institution,business_enterprises,individuals,rm_special_investment_others,rm_special_investment_total,fx_special_investment_federal_gov,fx_special_investment_state_gov,fx_special_investment_statutory,fx_special_investment_financial_inst,fx_special_investment_business,fx_special_investment_individuals,fx_special_investment_others,fx_special_investment_total,rm_general_investment_federal_gov,rm_general_investment_state_gov,rm_general_investment_statutory,rm_general_investment_financial_inst,rm_general_investment_business,rm_general_investment_individuals,rm_general_investment_others,rm_general_investment_total,fx_general_investment_federal_gov,fx_general_investment_state_gov,fx_general_investment_statutory,fx_general_investment_financial_inst,fx_general_investment_business,fx_general_investment_individuals,fx_general_investment_others,fx_general_investment_total,rm_demand_federal_gov,rm_demand_state_gov,rm_demand_statutory,rm_demand_financial_inst,rm_demand_business,rm_demand_individuals,rm_demand_others,rm_demand_total,fx_demand_federal_gov,fx_demand_state_gov,fx_demand_statutory,fx_demand_financial_inst,fx_demand_business,fx_demand_individuals,fx_demand_others,fx_demand_total,rm_saving_financial_inst,rm_saving_individuals,rm_saving_others,rm_saving_total,fx_saving_financial_inst,fx_saving_individuals,fx_saving_others,fx_saving_total,rm_nids_federal_gov,rm_nids_state_gov,rm_nids_statutory,rm_nids_financial_inst,rm_nids_business,rm_nids_individuals,rm_nids_others,rm_nids_total,rm_tawarruq_federal_gov,rm_tawarruq_state_gov,rm_tawarruq_statutory,rm_tawarruq_financial_inst,rm_tawarruq_business,rm_tawarruq_individuals,rm_tawarruq_others,rm_tawarruq_total,fx_tawarruq_federal_gov,fx_tawarruq_state_gov,fx_tawarruq_statutory,fx_tawarruq_financial_inst,fx_tawarruq_business,fx_tawarruq_individuals,fx_tawarruq_others,fx_tawarruq_total,rm_others_federal_gov,rm_others_state_gov,rm_others_statutory,rm_others_financial_inst,rm_others_business,rm_others_individuals,rm_others_others,rm_others_total,fx_others_federal_gov,fx_others_state_gov,fx_others_statutory,fx_others_financial_inst,fx_others_business,fx_others_individuals,fx_others_others,fx_others_total
2007-01-01,Monthly,Bank-bank Islam / Islamic Banks,213.426,235.4,1259.704,2387.549,7946.987,8.272,78.178,12129.516,0,0,0,0.0,0.0,0,0,0.0,1483.052,1992.549,3614.705,2856.441,6787.653,1781.447,1870.405,20386.252,0,0,0,0.0,0.0,1.27,0.0,1.27,1256.966,1110.245,871.582,1326.484,5398.461,971.555,1267.903,12203.196,0.0,0.0,0.0,5.508,3.194,0.166,75.744,84.612,3.048,4797.482,202.054,5002.584,0.0,0.0,0.0,0.0,169.125,0.0,180.886,4619.889,1494.985,1.164,0.0,6466.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,600.245,729.402,21.396,3.879,1355.033,0.0,0,0.0,0.0,0.732,0.0,380.255,380.987
2007-01-01,Monthly,Bank-bank Perdagangan (SPI) / IBS of Commercial Banks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,527.275,654.681,1565.628,2896.685,5929.33,1841.237,384.435,13799.271,0,0,0,0.0,0.0,0.0,0.0,0.0,558.857,242.596,280.481,283.514,3439.062,1911.747,486.925,7203.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.698,6199.925,255.764,6456.387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5888.729,1134.747,0.0,0.0,7023.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.842,0.0,35.124,547.327,569.601,0.0,0.0,1158.894,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-01,Monthly,Bank-bank Pelaburan (Saudagar) SPI / IBS of Investment (Merchant) Banks,62.775,0.0,21.764,102.565,243.456,0.0,98.917,529.477,0,0,0,0.0,0.0,0,0,0.0,107.5,1.001,267.475,1211.515,1099.409,0.0,50.51,2737.41,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.338,0.0,0.0,0.0,78.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.169,26.668,0.0,6.715,92.552,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-01,Monthly,Jumlah/ Total,276.201,235.4,1281.468,2490.114,8190.443,8.272,177.095,12658.993,0,0,0,0.0,0.0,0,0,0.0,2117.827,2648.231,5447.808,6964.641,13816.392,3622.684,2305.35,36922.933,0,0,0,0.0,0.0,1.27,0.0,1.27,1815.823,1352.841,1152.063,1609.998,8837.523,2883.302,1754.828,19406.378,0.0,0.0,0.0,5.508,3.194,0.166,75.744,84.612,3.746,10997.407,457.818,11458.971,0.0,0.0,0.0,0.0,169.125,0.0,180.886,10586.956,2629.732,1.164,0.0,13567.863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.953,0.0,35.124,1206.741,1325.671,21.396,10.594,2606.479,0.0,0,0.0,0.0,0.732,0.0,380.255,380.987
2007-02-01,Monthly,Bank-bank Islam / Islamic Banks,235.013,235.502,1338.59,3880.29,7445.549,9.574,88.512,13233.03,0,0,0,0.0,0.0,0,0,0.0,1345.962,2236.33,3513.649,2734.92,6594.868,1876.832,1858.585,20161.146,0,0,0,0.0,0.0,1.276,0.0,1.276,1405.871,1195.354,1074.068,1325.328,4445.443,957.513,1285.799,11689.376,0.0,0.0,0.0,6.992,4.017,0.41,68.979,80.398,3.239,4820.951,203.076,5027.266,0.0,0.0,0.0,0.0,218.22,0.0,181.923,4827.71019,1337.415,1.164,0.0,6566.43219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.114,101.35,92.8,688.306,844.03,306.959,17.389,2050.948,0.0,0,0.0,0.0,10.16,0.0,367.901,378.061
2007-02-01,Monthly,Bank-bank Perdagangan (SPI) / IBS of Commercial Banks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,502.424,654.735,1602.247,2858.345,6059.7,1826.461,373.929,13877.841,0,0,0,0.0,0.0,0.0,0.0,0.0,614.058,236.229,377.627,389.545,3298.19,1965.437,467.275,7348.361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.661,6394.478,263.836,6658.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5681.616,831.594,0.0,0.0,6513.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.901,0.0,34.212,616.965,595.61,0.0,0.0,1253.688,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-01,Monthly,Bank-bank Pelaburan (Saudagar) SPI / IBS of Investment (Merchant) Banks,74.116,0.0,58.754,103.372,253.973,0.0,77.566,567.781,0,0,0,0.0,0.0,0,0,0.0,60.0,2.923,256.465,1436.807,1018.255,0.0,49.555,2824.005,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.338,0.0,0.0,0.0,78.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.157,27.515,0.0,8.858,128.53,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-01,Monthly,Jumlah/ Total,309.129,235.502,1397.344,3983.662,7699.522,9.574,166.078,13800.811,0,0,0,0.0,0.0,0,0,0.0,1908.386,2893.988,5372.361,7030.072,13672.823,3703.293,2282.069,36862.992,0,0,0,0.0,0.0,1.276,0.0,1.276,2019.929,1431.583,1451.695,1714.873,7743.633,2922.95,1753.074,19037.737,0.0,0.0,0.0,6.992,4.017,0.41,68.979,80.398,3.9,11215.429,466.912,11686.241,0.0,0.0,0.0,0.0,218.22,0.0,181.923,10587.66419,2169.009,1.164,0.0,13157.98019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.015,101.35,127.012,1397.428,1467.155,306.959,26.247,3433.166,0.0,0,0.0,0.0,10.16,0.0,367.901,378.061
2007-03-01,Monthly,Bank-bank Islam / Islamic Banks,253.235,232.011,1648.074,4057.28,8175.693,9.28,106.688,14482.261,0,0,0,0.0,0.0,0,0,0.0,1357.278,2348.688,3786.15,2806.667,6525.276,2042.451,1911.752,20778.262,0,0,0,0.0,0.0,1.264,0.0,1.264,1328.023,1015.105,1137.836,1306.244,4561.017,1037.434,1467.7,11853.359,0.0,0.0,0.0,1.654,3.192,0.171,94.229,99.246,3.377,4916.43,207.394,5127.201,0.0,0.0,0.0,0.0,246.27,0.0,192.918,4641.11517,888.468,0.0,0.0,5968.77117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.141,101.35,102.8,740.68,862.218,313.962,17.371,2138.522,0.0,0,0.0,0.0,10.023,0.0,272.33,282.353
2007-03-01,Monthly,Bank-bank Perdagangan (SPI) / IBS of Commercial Banks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,508.741,637.987,1638.122,2829.516,6312.433,1781.22,369.623,14077.642,0,0,0,0.0,0.0,0.0,0.0,0.0,617.011,246.799,283.498,299.42,3209.356,1953.767,458.158,7068.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.618,6373.127,266.479,6640.224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6704.632,538.052,0.0,0.0,7242.684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.536,0.0,22.34,755.356,600.064,0.0,0.0,1384.296,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
