date,frequency,ibs_deposits_by_type,rm_special_investment_deposits,fx_special_investment_deposits,rm_general_investment_deposits,fx_general_investment_deposits,rm_demand_deposits,fx_demand_deposits,rm_saving_deposits,fx_saving_deposits,nids_issued,rm_tawarruq_fixed_deposits,fx_tawarruq_fixed_deposits,rm_others_deposit,fx_others_deposit,total_deposits
2007-01-01,Monthly,Bank-bank Islam / Islamic Banks,12129.516,0.0,20386.252,1.27,12203.196,84.612,5002.584,0.0,6466.049,0.0,0.0,1355.033,380.987,58009.499
2007-01-01,Monthly,Bank-bank Perdagangan (SPI) / IBS of Commercial Banks,0.0,0.0,13799.271,0.0,7203.182,0.0,6456.387,0.0,7023.476,0.0,0.0,1158.894,0.0,35641.21
2007-01-01,Monthly,Bank-bank Pelaburan (Saudagar) SPI / IBS of Investment (Merchant) Banks,529.477,0.0,2737.41,0.0,0.0,0.0,0.0,0.0,78.338,0.0,0.0,92.552,0.0,3437.777
2007-01-01,Monthly,Jumlah/ Total,12658.993,0.0,36922.933,1.27,19406.378,84.612,11458.971,0.0,13567.863,0.0,0.0,2606.479,380.987,97088.486
2007-02-01,Monthly,Bank-bank Islam / Islamic Banks,13233.03,0.0,20161.146,1.276,11689.376,80.398,5027.266,0.0,6566.43219,0.0,0.0,2050.948,378.061,59187.93319
2007-02-01,Monthly,Bank-bank Perdagangan (SPI) / IBS of Commercial Banks,0.0,0.0,13877.841,0.0,7348.361,0.0,6658.975,0.0,6513.21,0.0,0.0,1253.688,0.0,35652.075
2007-02-01,Monthly,Bank-bank Pelaburan (Saudagar) SPI / IBS of Investment (Merchant) Banks,567.781,0.0,2824.005,0.0,0.0,0.0,0.0,0.0,78.338,0.0,0.0,128.53,0.0,3598.654
2007-02-01,Monthly,Jumlah/ Total,13800.811,0.0,36862.992,1.276,19037.737,80.398,11686.241,0.0,13157.98019,0.0,0.0,3433.166,378.061,98438.66219
2007-03-01,Monthly,Bank-bank Islam / Islamic Banks,14482.261,0.0,20778.262,1.264,11853.359,99.246,5127.201,0.0,5968.77117,0.0,0.0,2138.522,282.353,60731.23917
2007-03-01,Monthly,Bank-bank Perdagangan (SPI) / IBS of Commercial Banks,0.0,0.0,14077.642,0.0,7068.009,0.0,6640.224,0.0,7242.684,0.0,0.0,1384.296,0.0,36412.855
2007-03-01,Monthly,Bank-bank Pelaburan (Saudagar) SPI / IBS of Investment (Merchant) Banks,563.003,0.0,2975.445,0.0,0.0,0.0,0.0,0.0,78.338,0.0,0.0,132.323,0.0,3749.109
2007-03-01,Monthly,Jumlah/ Total,15045.264,0.0,37831.349,1.264,18921.368,99.246,11767.425,0.0,13289.79317,0.0,0.0,3655.141,282.353,100893.20317
2007-04-01,Monthly,Bank-bank Islam / Islamic Banks,15278.081,0.0,21003.883,1.153,11594.039,58.851,5112.913,0.0,6604.21172,0.0,0.0,2172.058,306.52,62131.70972
2007-04-01,Monthly,Bank-bank Perdagangan (SPI) / IBS of Commercial Banks,0.0,0.0,15033.298,0.0,7129.58,0.0,6750.235,0.0,7242.813,0.0,0.0,1142.559,0.0,37298.485
2007-04-01,Monthly,Bank-bank Pelaburan (Saudagar) SPI / IBS of Investment (Merchant) Banks,613.74,0.0,3327.394,0.0,0.0,0.0,0.0,0.0,101.588,0.0,0.0,165.693,0.0,4208.415
2007-04-01,Monthly,Jumlah/ Total,15891.821,0.0,39364.575,1.153,18723.619,58.851,11863.148,0.0,13948.61272,0.0,0.0,3480.31,306.52,103638.60972
2007-05-01,Monthly,Bank-bank Islam / Islamic Banks,14605.097,0.0,21917.187,1.161,11577.22,24.14,5142.134,0.0,7766.84,0.0,0.0,2656.266,301.77,63991.815
2007-05-01,Monthly,Bank-bank Perdagangan (SPI) / IBS of Commercial Banks,0.0,0.0,15558.069,0.0,7867.806,0.0,6797.225,0.0,7328.742,0.0,0.0,937.69,0.0,38489.532
2007-05-01,Monthly,Bank-bank Pelaburan (Saudagar) SPI / IBS of Investment (Merchant) Banks,634.765,0.0,3160.347,0.0,0.0,0.0,0.0,0.0,102.036,0.0,0.0,200.477,0.0,4097.625
2007-05-01,Monthly,Jumlah/ Total,15239.862,0.0,40635.603,1.161,19445.026,24.14,11939.359,0.0,15197.618,0.0,0.0,3794.433,301.77,106578.972
2007-06-01,Monthly,Bank-bank Islam / Islamic Banks,14728.006,0.0,21663.903,1.184,12247.882,25.011,5143.474,0.0,8575.25,0.0,0.0,2653.065,296.526,65334.301
2007-06-01,Monthly,Bank-bank Perdagangan (SPI) / IBS of Commercial Banks,0.0,0.0,15463.565,0.0,7219.045,0.0,6886.125,0.0,6523.167,0.0,0.0,998.54,0.0,37090.442
2007-06-01,Monthly,Bank-bank Pelaburan (Saudagar) SPI / IBS of Investment (Merchant) Banks,681.148,0.0,3362.769,0.0,0.0,0.0,0.0,0.0,149.16,0.0,0.0,740.598,0.0,4933.675
2007-06-01,Monthly,Jumlah/ Total,15409.154,0.0,40490.237,1.184,19466.927,25.011,12029.599,0.0,15247.577,0.0,0.0,4392.203,296.526,107358.418
2007-07-01,Monthly,Bank-bank Islam / Islamic Banks,15829.588,0.0,21681.749,2.778,12677.607,24.234,5417.86,0.0,7791.122,0.0,0.0,2872.64,276.123,66573.701
2007-07-01,Monthly,Bank-bank Perdagangan (SPI) / IBS of Commercial Banks,0.0,0.0,15164.805,0.0,7143.481,0.0,7022.965,0.0,6359.017,0.0,0.0,985.833,0.0,36676.101
2007-07-01,Monthly,Bank-bank Pelaburan (Saudagar) SPI / IBS of Investment (Merchant) Banks,657.603,0.0,4154.467,0.0,0.0,0.0,0.0,0.0,126.348,0.0,0.0,771.673,0.0,5710.091
2007-07-01,Monthly,Jumlah/ Total,16487.191,0.0,41001.021,2.778,19821.088,24.234,12440.825,0.0,14276.487,0.0,0.0,4630.146,276.123,108959.893
2007-08-01,Monthly,Bank-bank Islam / Islamic Banks,18381.987,0.0,21795.404,4.932,12339.75,20.168,5439.66,0.0,8551.082,0.0,0.0,2688.175,262.466,69483.624
2007-08-01,Monthly,Bank-bank Perdagangan (SPI) / IBS of Commercial Banks,0.0,0.0,15231.438,0.0,7392.469,0.0,7166.151,0.0,4760.225,0.0,0.0,1028.567,0.0,35578.85
2007-08-01,Monthly,Bank-bank Pelaburan (Saudagar) SPI / IBS of Investment (Merchant) Banks,636.891,0.0,4231.366,0.0,0.0,0.0,0.0,0.0,126.348,0.0,0.0,787.906,0.0,5782.511
2007-08-01,Monthly,Jumlah/ Total,19018.878,0.0,41258.208,4.932,19732.219,20.168,12605.811,0.0,13437.655,0.0,0.0,4504.648,262.466,110844.985
2007-09-01,Monthly,Bank-bank Islam / Islamic Banks,15210.334,0.0,21457.338,4.367,12940.134,25.206,5536.736,0.0,7984.055,0.0,0.0,3679.866,359.411,67197.447
2007-09-01,Monthly,Bank-bank Perdagangan (SPI) / IBS of Commercial Banks,0.0,0.0,16322.557,0.0,8015.121,0.0,7325.242,0.0,5051.31,0.0,0.0,726.965,0.0,37441.195
2007-09-01,Monthly,Bank-bank Pelaburan (Saudagar) SPI / IBS of Investment (Merchant) Banks,629.086,0.0,4137.018,0.0,0.0,0.0,0.0,0.0,124.148,0.0,0.0,816.136,0.0,5706.388
2007-09-01,Monthly,Jumlah/ Total,15839.42,0.0,41916.913,4.367,20955.255,25.206,12861.978,0.0,13159.513,0.0,0.0,5222.967,359.411,110345.03
2007-10-01,Monthly,Bank-bank Islam / Islamic Banks,15056.405,0.0,21890.706,3.851,13119.256,26.569,5562.576,0.0,7168.968,0.0,0.0,4053.244,304.096,67185.671
2007-10-01,Monthly,Bank-bank Perdagangan (SPI) / IBS of Commercial Banks,0.0,0.0,16497.239,0.0,8253.543,0.0,7466.445,0.0,6776.544,0.0,0.0,1003.782,0.0,39997.553
2007-10-01,Monthly,Bank-bank Pelaburan (Saudagar) SPI / IBS of Investment (Merchant) Banks,617.489,0.0,3021.153,0.0,0.0,0.0,0.0,0.0,124.148,0.0,0.0,804.702,0.0,4567.492
2007-10-01,Monthly,Jumlah/ Total,15673.894,0.0,41409.098,3.851,21372.799,26.569,13029.021,0.0,14069.66,0.0,0.0,5861.728,304.096,111750.716
2007-11-01,Monthly,Bank-bank Islam / Islamic Banks,16850.98,0.0,21592.673,3.39,12424.645,52.366,5572.576,0.0,8267.509,0.0,0.0,4702.318,260.251,69726.708
2007-11-01,Monthly,Bank-bank Perdagangan (SPI) / IBS of Commercial Banks,0.0,0.0,14481.806,0.0,8779.068,0.0,7543.775,0.0,7137.774,0.0,0.0,957.634,0.0,38900.057
2007-11-01,Monthly,Bank-bank Pelaburan (Saudagar) SPI / IBS of Investment (Merchant) Banks,569.759,0.0,3822.226,0.0,0.0,0.0,0.0,0.0,124.606,0.0,0.0,794.449,0.0,5311.04
2007-11-01,Monthly,Jumlah/ Total,17420.739,0.0,39896.705,3.39,21203.713,52.366,13116.351,0.0,15529.889,0.0,0.0,6454.401,260.251,113937.805
2007-12-01,Monthly,Bank-bank Islam / Islamic Banks,17568.033,0.0,21766.73,1.684,14990.373,272.947,5896.564,0.0,8789.454,0.0,0.0,5625.69,257.571,75169.046
