date,frequency,no_of_card_transactions,in_malaysia_local_cardholders,in_malaysia_foreign_cardholders,abroad_local_cardholders,total_cash_advances_in_malaysia_local,total_cash_advances_in_malaysia_foreign,total_cash_advances_abroad_local,principal_cards,supplementary_cards,credit_line_extended,current_balances,past_due_3_months,past_due_3_to_6_months,past_due_6_months
2007-01-01,Annual,237.663504,47780.383,5501.719,5191.421,3039.26,409.175,199.96,8.721338,1.179944,86657.35,20761.699,1932.985,442.283,63.753
2007-01-01,Monthly,19.678015,3858.397,528.169,422.622,252.558,36.104,17.215,7.819553,1.133327,72282.192,17435.364,1794.953,500.65,276.055
2007-02-01,Monthly,18.214532,3525.082,419.615,386.333,223.451,32.717,14.688,7.879833,1.137318,73227.918,17717.075,1915.458,443.555,273.625
2007-03-01,Monthly,18.67666,3714.342,439.247,388.952,260.741,34.325,18.409,7.943672,1.141886,75444.74,17549.886,1847.132,414.916,239.694
2007-04-01,Monthly,18.398077,3565.782,443.139,379.482,241.072,30.687,16.466,8.013513,1.146616,76063.448,17749.597,1957.676,431.21,243.257
2007-05-01,Monthly,19.807786,3868.851,447.955,407.739,265.575,35.269,16.193,8.124273,1.153372,77910.298,17937.387,1897.962,430.659,251.342
2007-06-01,Monthly,19.297068,3799.617,417.138,419.477,258.406,32.228,16.681,8.182932,1.159655,78757.672,18737.054,1918.751,437.026,262.064
2007-07-01,Monthly,20.215648,4042.287,509.187,431.224,260.885,38.859,16.586,8.284412,1.167887,79878.145,19051.599,1823.509,438.217,273.001
2007-08-01,Monthly,20.20754,4150.789,480.107,420.958,257.766,40.49,17.146,8.222479,1.152008,81226.86,19422.2,1860.745,444.466,268.619
2007-09-01,Monthly,19.51747,3983.035,418.186,433.625,244.741,28.559,17.036,8.366565,1.163476,80795.742,19513.212,1930.348,445.418,85.385
2007-10-01,Monthly,21.111939,4311.045,438.262,473.394,254.252,32.31,16.181,8.543823,1.166988,83115.386,19676.905,1921.91,434.615,89.287
2007-11-01,Monthly,20.019511,4184.127,424.638,478.084,260.675,32.82,16.041,8.63076,1.170888,84933.496,19975.709,1910.165,433.538,69.638
2007-12-01,Monthly,22.519258,4777.029,536.076,549.531,259.138,34.807,17.318,8.721338,1.179944,86657.35,20761.699,1932.985,442.283,63.753
2008-01-01,Annual,261.413199,56151.085,6978.021,5901.005,3051.685,453.766,185.394,9.570675,1.241738,101853.078,22810.235,1996.129,487.106,51.784
2008-01-01,Monthly,22.751711,4888.076,529.45,453.938,256.089,36.417,18.117,8.817683,1.185753,87024.039,21065.008,1861.18,457.931,67.654
2008-02-01,Monthly,19.911171,4138.201,575.847,411.563,228.951,34.444,13.206,8.848035,1.187464,88049.189,20824.122,1960.84,460.869,67.405
2008-03-01,Monthly,20.437598,4195.95,571.298,457.887,236.805,40.308,14.11,8.943333,1.187941,89575.811,20522.174,1909.087,462.752,56.105
2008-04-01,Monthly,21.001806,4392.012,537.017,472.541,248.49,34.074,14.681,9.037249,1.190757,91404.739,20728.773,1865.692,458.843,50.855
2008-05-01,Monthly,21.647347,4561.219,561.784,485.134,254.0,34.198,15.344,9.138111,1.200139,93156.239,21053.605,1861.429,454.285,52.781
2008-06-01,Monthly,21.324629,4569.258,600.785,516.309,252.604,34.339,16.458,9.2029,1.210119,94576.846,21407.138,1896.981,446.104,50.67
2008-07-01,Monthly,21.91257,4883.567,654.23,505.167,249.739,44.292,15.444,9.306934,1.219469,96277.467,21450.568,1800.772,437.778,50.44
2008-08-01,Monthly,22.17328,4969.476,694.633,481.121,258.226,44.211,14.606,9.387462,1.216574,97490.547,21825.742,1789.519,439.534,48.439
2008-09-01,Monthly,22.13305,4890.138,615.576,479.45,273.305,37.48,15.482,9.475143,1.224072,97699.376,22000.819,1775.706,436.15,44.173
2008-10-01,Monthly,21.710234,4584.232,553.443,519.526,264.024,38.322,15.332,9.542624,1.226968,99371.391,21867.934,1912.177,450.205,44.745
2008-11-01,Monthly,21.395024,4687.933,495.246,512.128,258.651,33.824,15.712,9.588858,1.240111,100635.251,22283.564,2009.107,467.294,47.528
2008-12-01,Monthly,25.014779,5391.023,588.712,606.241,270.801,41.857,16.902,9.570675,1.241738,101853.078,22810.235,1996.129,487.106,51.784
2009-01-01,Annual,276.132017,59891.652,6162.31,6200.0044,3057.524,433.593,171.442,9.574571,1.243035,115080.041,24282.006,1880.573,476.605,62.149
2009-01-01,Monthly,23.957877,5115.419,576.507,456.412,236.89,36.677,14.257,9.595114,1.253131,102850.594,22822.301,2015.969,513.344,55.193
2009-02-01,Monthly,19.84268,4216.762,461.301,431.48,240.269,31.316,13.452,9.636806,1.256319,103743.492,22364.47,2082.209,530.81,56.925
2009-03-01,Monthly,22.612738,4713.254,533.239,498.075,266.096,32.506,15.117,9.667871,1.253156,104189.622,22008.867,2070.811,537.396,58.361
2009-04-01,Monthly,21.823406,4595.395,471.175,494.443,262.472,33.556,15.607,9.689546,1.255266,105328.658,22134.53,2007.299,537.515,42.829
2009-05-01,Monthly,22.793778,4856.075,460.042,470.508,264.767,33.5,15.206,9.729481,1.255702,106578.511,22342.292,1996.122,562.094,57.25
2009-06-01,Monthly,23.219935,4934.686,496.133,512.538,271.37,35.312,16.457,9.760765,1.257463,107453.558,22591.671,1978.044,562.184,71.268
2009-07-01,Monthly,23.392233,5086.031,530.508,527.089,251.707,40.14,13.246,9.779502,1.262946,108590.468,22675.298,1858.077,547.856,71.672
2009-08-01,Monthly,23.114971,5099.052,576.742,475.393,241.525,39.959,12.301,9.824555,1.287035,109107.345,23157.625,1853.693,534.205,76.087
