date,frequency,no_of_card_transactions,purchases_in_malaysia,purchases_abroad,pos_cash_withdrawals_in_malaysia,pos_cash_withdrawals_abroad,fund_transfer_in_malaysia,atm_cash_withdrawals_in_malaysia,abroad
2020-01-01,Annual,497.940659,57368.538438999996,2130.22305,3.487203,0.0093,48917.625802,377338.47871200007,1208.96304
2020-01-01,Monthly,40.280519999999996,5000.703497,210.914495,0.11423,0.000515,4726.242165,38047.665457,151.857301
2020-02-01,Monthly,36.926237,4428.98106,178.402164,0.125926,0.0,4270.780786,31659.290361,132.912046
2020-03-01,Monthly,36.843061000000006,4087.275146,151.676477,0.149132,0.0,3832.26074,27975.566319,121.052644
2020-04-01,Monthly,26.498769999999997,2575.958489,138.936523,0.286363,0.0,2684.09782,19258.138869,69.639627
2020-05-01,Monthly,39.203075999999996,4629.905625,168.142918,0.464917,0.0,3420.232396,29765.398475,77.489492
2020-06-01,Monthly,39.54367,4696.497171,168.266387,0.326067,0.0,3931.504615,30886.842601,83.237727
2020-07-01,Monthly,44.739505,5369.380694,178.136992,0.378681,0.0,4434.746093,35394.517224,92.84833
2020-08-01,Monthly,45.298911,5378.077056,180.040695,0.393584,0.000905,4308.731156,33313.099418,96.45013
2020-09-01,Monthly,45.663787,5201.37758,174.92459,0.286974,0.0,4275.265296,32482.145328,109.744367
2020-10-01,Monthly,45.976109,5021.197609,180.123387,0.372725,0.0,4306.623395,33611.153914,90.007733
2020-11-01,Monthly,45.103815000000004,4938.838538,195.29721,0.286241,0.0,4222.79587,30799.750329,88.658714
2020-12-01,Monthly,51.863198000000004,6040.345974,205.361212,0.302363,0.00788,4504.34547,34144.910417,95.064929
2021-01-01,Annual,736.7884809999999,75262.33634600001,2944.012889,5.609084999999999,0.000545,51290.019618000006,386332.99058099993,1133.8471729999999
2021-01-01,Monthly,50.217351,5616.342609,216.214908,0.340714,0.0,4625.001438,36996.660414,95.352894
2021-02-01,Monthly,50.255469,5412.738783,210.291112,0.325668,0.0,4104.880529,32844.290594,112.3548
2021-03-01,Monthly,62.251000000000005,7186.914534,240.136775,0.351234,0.0,4954.283545,38147.471233,100.57127
2021-04-01,Monthly,59.759294,6681.434617,223.354114,0.38049,0.0,4527.976744,34696.019641,90.105772
2021-05-01,Monthly,60.651461,6428.473978,248.368893,0.397738,0.0,4353.505608,34342.864164,88.303525
2021-06-01,Monthly,49.094386,4122.384064,239.181272,0.395418,0.0,3551.784948,24172.397961,85.119357
2021-07-01,Monthly,54.735835,4710.924119,246.100118,0.407266,0.000112,3790.507978,26065.240727,90.398557
2021-08-01,Monthly,58.508638,5289.643942,238.579115,0.404992,0.0,3676.454526,27010.63996,90.420783
2021-09-01,Monthly,64.917432,6288.220879,245.665457,0.674411,0.0,4033.916762,30139.3484,96.862473
2021-10-01,Monthly,74.07320399999999,7646.072887,265.560061,0.650391,0.0,4520.174396,33818.216295,91.600714
2021-11-01,Monthly,72.82074700000001,7510.347691,280.438978,0.591854,0.0,4416.094263,32574.64618,90.283388
2021-12-01,Monthly,79.503664,8368.838243,290.122086,0.688909,0.000433,4735.438881,35525.195012,102.47364
2022-01-01,Monthly,77.650461,8078.247351,265.956949,0.589867,0.0,4765.089116,36949.476728,97.236266
2022-01-01,Annual,1200.410566,115316.92813500001,3495.8111569999996,7.353204000000001,0.133545,54571.502630999996,404735.284326,1387.9884989999998
2022-02-01,Monthly,66.476966,6480.198415,235.383674,0.510071,0.0,3803.241351,26458.139651,103.342693
2022-03-01,Monthly,82.309444,8137.826585,273.275259,0.634267,0.0,4667.146593,32514.772954,101.967516
2022-04-01,Monthly,101.72044899999999,11022.997436,277.294966,0.781936,0.0,5011.831561,42900.969612,103.085183
2022-05-01,Monthly,107.43883899999999,11303.793856,308.201402,0.638443,0.003213,4456.502694,34814.5493,105.715464
2022-06-01,Monthly,100.89256999999999,9747.047263,286.645862,0.631816,0.000899,4616.977072,33075.628433,125.455024
2022-07-01,Monthly,105.70883599999999,9830.321817,295.388381,0.692793,0.001917,4507.440272,33341.933908,154.517178
2022-08-01,Monthly,105.467539,9663.574479,297.241022,0.593975,0.00458,4589.855748,32486.487531,116.58062
2022-09-01,Monthly,105.645022,9631.309024,303.657486,0.578018,0.016523,4434.785694,32314.083945,124.236627
2022-10-01,Monthly,114.93342299999999,10370.819395,310.144484,0.575287,0.048209,4509.842809,32990.323379,114.172214
2022-11-01,Monthly,111.000889,9793.938994,306.096079,0.540709,0.057896,4386.435472,31721.596537,108.756629
2022-12-01,Monthly,121.166128,11256.85352,336.525593,0.586022,0.000308,4822.354249,35167.322348,132.923085
2023-01-01,Annual,1598.5042520000002,134285.561392,3884.699364,8.630748,0.044453,56709.868998,396424.894486,1528.292441
2023-01-01,Monthly,122.646767,11188.487185,307.769784,0.59551,0.000681,4798.743265,35809.26268,116.183094
2023-02-01,Monthly,108.070946,9516.200515,290.891642,0.513555,0.002472,4318.744568,28986.163019,123.463925
2023-03-01,Monthly,124.116673,11252.805456,321.04259,0.614267,0.00109,4904.259788,33827.427413,125.612633
2023-04-01,Monthly,127.265272,11828.58945,289.862743,0.589817,0.000554,4464.085669,34927.951295,111.065485
2023-05-01,Monthly,129.62796999999998,10947.028065,307.454408,0.624773,0.003318,4768.861989,31597.557643,121.439114
2023-06-01,Monthly,128.285391,10571.768286,306.115104,0.715602,0.0,4580.38226,32499.989588,160.396876
2023-07-01,Monthly,137.215459,11128.178175,331.538416,0.733668,0.005015,4866.356548,32620.174905,168.128458
2023-08-01,Monthly,138.573939,11152.755812,329.453758,0.841518,0.023643,4932.166405,32873.619788,115.758378
2023-09-01,Monthly,138.347542,11023.883524,325.369283,0.77817,0.003782,4629.067384,32347.209409,126.31706
2023-10-01,Monthly,147.265613,11522.945985,345.150126,0.81109,0.001445,4878.748535,33192.79891,113.69324
2023-11-01,Monthly,143.75316899999999,11381.162497,347.233733,0.917076,0.0,4710.615086,33169.717412,112.595413
2023-12-01,Monthly,153.33551100000003,12771.756442,382.817777,0.895702,0.002453,4857.837501,34573.022424,133.638765
2024-01-01,Annual,1989.2777399999998,150878.814678,4333.873533,11.487207999999999,0.003788,56731.711695000005,393552.04009799997,1473.3484829999998
2024-01-01,Monthly,150.33362499999998,12037.12147,355.158552,0.945622,0.000146,4974.965286,34015.458274,116.756123
2024-02-01,Monthly,148.411121,12145.776382,348.53291,0.952017,0.0,4607.772013,34251.945139,128.195797
2024-03-01,Monthly,156.97754700000002,13075.298555,365.506588,0.92696,0.0,4866.396044,34450.297334,118.656407
2024-04-01,Monthly,154.632095,12348.581796,337.66979,0.859896,0.000514,4510.820709,33358.198833,110.944968
2024-05-01,Monthly,166.91229199999998,12655.39811,363.450505,0.944645,0.0,4814.556903,33712.167586,136.703686
2024-06-01,Monthly,164.87357699999998,12391.562787,354.484869,0.874123,0.000168,4515.282733,32244.043723,185.392798
2024-07-01,Monthly,167.576585,12266.263935,357.567904,0.960223,0.002408,4890.326705,32134.833597,124.907103
2024-08-01,Monthly,168.956092,12368.50261,340.463276,0.943909,0.0,4765.293617,32458.788547,109.715999
2024-09-01,Monthly,167.98359399999998,12221.491825,360.819101,0.939566,0.0,4524.150135,31040.487809,117.898957
2024-10-01,Monthly,177.53061699999998,12790.032726,365.77342,0.962054,0.000552,4814.987788,32324.502114,104.655182
2024-11-01,Monthly,172.137531,12246.721766,370.942301,1.036023,0.0,4530.405318,30461.535361,105.172434
2024-12-01,Monthly,192.953064,14332.062716,413.504317,1.14217,0.0,4916.754444,33099.781781,114.349029
2025-01-01,Annual,2396.9438119999995,159893.724395,5696.812505000001,13.308649999999998,0.034825,55115.568632999995,369267.571639,1298.3286269999999
2025-01-01,Monthly,193.273406,14470.017491,387.678841,1.089392,0.000576,5075.515619,35938.034851,115.264455
2025-02-01,Monthly,170.484533,12379.646812,339.767252,0.930833,0.0,4496.424789,28367.911948,112.201653
2025-03-01,Monthly,196.068013,15269.694949,349.300229,1.268748,0.0,5183.804586,36913.534489,102.637992
2025-04-01,Monthly,186.989523,12900.801214,357.488922,0.935479,0.0,4497.701987,27803.322225,98.842913
2025-05-01,Monthly,202.26757099999998,13672.383429,392.926031,1.136965,0.0,4831.896908,31447.212741,130.743055
2025-06-01,Monthly,193.77518,12711.008243,525.360329,0.905368,0.0,4471.979785,30261.927521,154.122096
2025-07-01,Monthly,199.193775,12773.949415,535.413859,1.15062,0.0,4635.450789,30238.991491,94.51676
2025-08-01,Monthly,211.00156099999998,12992.274695,521.171209,1.065875,0.0,4389.559463,30413.611549,92.335167
2025-09-01,Monthly,199.937269,12342.485187,539.180607,1.020562,0.003857,4197.470129,28503.11047,101.00399
2025-10-01,Monthly,213.55013100000002,13146.477739,557.261255,1.072174,0.000401,4538.141873,30567.651466,98.033397
2025-11-01,Monthly,208.47101899999998,12911.199059,563.096297,1.196285,0.004291,4207.821068,28599.539378,95.977756
2025-12-01,Monthly,221.931831,14323.786162,628.167674,1.536349,0.0257,4589.801637,30212.72351,102.649393
2026-01-01,Annual,850.905883,54921.753333,2107.294507,6.172218,0.001289,17488.001841,119112.997181,352.314838
2026-01-01,Monthly,219.638833,14006.526246,574.455701,1.56615,0.0,4646.093374,30571.744912,94.996232
2026-02-01,Monthly,196.556217,13035.021454,479.218952,1.496358,0.0,4115.938988,29403.006789,81.675955
2026-03-01,Monthly,222.43326100000002,14970.006369,539.737677,1.561806,0.001083,4523.408353,32180.11794,92.118581
2026-04-01,Monthly,212.277572,12910.194563,513.886877,1.547904,0.000206,4202.561126,26958.12754,83.52407
