date,frequency,no_million,rm_billion,no_000_no_000,rm_milion_rm_million,of_which_returned_cheques_due_to_insufficient_funds_no_000_no_000,of_which_returned_cheques_due_to_insufficient_funds_rm_milion_rm_million
1995-01-01,Annual,,,,,,
1996-01-01,Annual,96.1,1109.9,,,,
1997-01-01,Annual,104.8,1304.7,,,,
1998-01-01,Annual,133.20000000000002,954.1000000000001,,,,
1999-01-01,Annual,154.1,1041.8999999999999,,,,
2000-01-01,Annual,164.77933000000002,1076.04226227,,,,
2001-01-01,Annual,166.73821999999998,1004.35934162,,,,
2002-01-01,Annual,176.434295,1081.41314818,,,,
2003-01-01,Annual,179.90889799999997,1143.97293731,,,,
2004-01-01,Monthly,14.661825,105.5610471,,,,
2004-01-01,Annual,183.76745799999998,1226.8766199000002,,,,
2004-02-01,Monthly,12.955757,85.2290321,,,,
2004-03-01,Monthly,16.448511,116.1586714,,,,
2004-04-01,Monthly,15.462021,103.6104949,,,,
2004-05-01,Monthly,14.686882,96.64398254999999,,,,
2004-06-01,Monthly,15.217369,100.1893937,,,,
2004-07-01,Monthly,16.371753,105.7382778,,,,
2004-08-01,Monthly,15.137611,96.0130647,,,,
2004-09-01,Monthly,16.3953,104.88079,,,,
2004-10-01,Monthly,15.673305,102.85253420000001,,,,
2004-11-01,Monthly,14.34134,95.30940025000001,,,,
2004-12-01,Monthly,16.415784,114.6899312,,,,
2005-01-01,Annual,184.44165600000005,1234.7810386800002,,,,
2005-01-01,Monthly,15.690838,108.09356960000001,,,,
2005-02-01,Monthly,13.154131,91.06827052999999,,,,
2005-03-01,Monthly,16.075115,109.60486410000001,,,,
2005-04-01,Monthly,15.035581,99.48835905,,,,
2005-05-01,Monthly,15.236972,99.76331463999999,,,,
2005-06-01,Monthly,15.454631,101.5896529,,,,
2005-07-01,Monthly,15.727658,103.53536310000001,,,,
2005-08-01,Monthly,16.04859,104.5296978,,,,
2005-09-01,Monthly,16.189952,107.7913525,,,,
2005-10-01,Monthly,16.168408,109.68533040000001,,,,
2005-11-01,Monthly,13.809315,91.03257916,,,,
2005-12-01,Monthly,15.850465,108.5986849,,,,
2006-01-01,Annual,186.33978099999996,1315.31142734,,,,
2006-01-01,Monthly,15.88402,110.1594475,,,,
2006-02-01,Monthly,13.210347,89.00550079000001,,,,
2006-03-01,Monthly,16.302003,113.7003272,,,,
2006-04-01,Monthly,14.136554,96.67300065,,,,
2006-05-01,Monthly,16.737868,114.8770852,,,,
2006-06-01,Monthly,15.591289,106.67425010000001,,,,
2006-07-01,Monthly,15.728589,114.7297096,,,,
2006-08-01,Monthly,16.252018,112.7778482,,,,
2006-09-01,Monthly,15.740488,110.6217405,,,,
2006-10-01,Monthly,15.62924,109.86352600000001,,,,
2006-11-01,Monthly,16.155897,120.9327844,,,,
2006-12-01,Monthly,14.971468,115.2962072,,,,
2007-01-01,Monthly,17.331984,128.43562503126,,,,
2007-01-01,Annual,192.440956,1546.5520838491302,,,,
2007-02-01,Monthly,14.379905,114.77038086728999,,,,
2007-03-01,Monthly,15.824781,126.93354927028,,,,
2007-04-01,Monthly,15.608258,120.85200250614,,,,
2007-05-01,Monthly,16.399057,129.54840355858,,,,
2007-06-01,Monthly,15.356778,123.04655596895999,,,,
2007-07-01,Monthly,17.485964,151.67483104843,,,,
2007-08-01,Monthly,16.650083,135.10841097872,,,,
2007-09-01,Monthly,15.393583,121.17690032697001,,,,
2007-10-01,Monthly,16.968297,138.30794708918,,,,
2007-11-01,Monthly,15.920295,131.25764348964998,,,,
2007-12-01,Monthly,15.121971,125.43983371366998,,,,
2008-01-01,Monthly,17.744096,153.95593894267,,,,
2008-01-01,Annual,191.700096,1604.1080109598702,,,,
2008-02-01,Monthly,14.050807,119.01569910977001,,,,
2008-03-01,Monthly,15.506995,130.22757413522,,,,
2008-04-01,Monthly,16.23476,132.74774561258002,,,,
2008-05-01,Monthly,15.684968,128.45855236402,,,,
2008-06-01,Monthly,16.26129,136.93186430399,,,,
2008-07-01,Monthly,17.610552,145.62611711527,,,,
2008-08-01,Monthly,15.622208,133.26407922478998,,,,
2008-09-01,Monthly,17.043319,143.53850942910998,,,,
2008-10-01,Monthly,15.271327,126.10141426485,,,,
2008-11-01,Monthly,14.598334,121.12790905342999,,,,
2008-12-01,Monthly,16.07144,133.11260740417,,,,
2009-01-01,Annual,200.517289,1636.89750609608,1727.156,12445.900205630001,380.982,2792.6312709000003
2009-01-01,Monthly,15.875429,129.930356038,132.602,1108.65296079,30.118,361.46428623
2009-02-01,Monthly,13.598029,106.49174628242001,113.035,741.4367617400001,25.139,154.3997968
2009-03-01,Monthly,16.669847,126.3632243975,138.383,988.12294395,31.204,287.81608501
2009-04-01,Monthly,16.468238,132.33764631173,135.379,913.29495786,30.024,193.06706881
2009-05-01,Monthly,15.890057,128.37105362673,131.649,919.86189301,30.403,213.69233995
2009-06-01,Monthly,17.768727,142.82944361418,151.789,1035.08169476,32.105,215.18063477
2009-07-01,Monthly,18.77388,149.93514195977,160.039,1054.72782441,35.852,242.34115864
2009-08-01,Monthly,16.167212,134.69877811305,134.321,900.85732294,30.815,191.48634238
2009-09-01,Monthly,17.415647,141.63771432149,189.815,1314.79998498,35.184,253.56344045
2009-10-01,Monthly,17.332449,142.16184042812,149.484,1009.9703468599998,31.56,211.63685103
2009-11-01,Monthly,16.805225,141.67288211279,134.452,1002.08465518,31.062,197.40115865
2009-12-01,Monthly,17.752549,160.4676788903,156.208,1457.00885915,37.516,270.58210818
2010-01-01,Annual,206.74544,1842.18915758258,1646.515,13377.19999721,366.72799999999995,3184.0044169099997
2010-01-01,Monthly,16.92252,147.258224812,139.415,1005.92550933,30.369,196.16721029
2010-02-01,Monthly,14.711842,134.46002793661,124.903,952.11464196,26.959,210.0600775
2010-03-01,Monthly,19.120805,167.58123128217002,155.858,1148.48729751,35.801,266.41329024
2010-04-01,Monthly,17.517751,152.09631018147,133.171,1068.64820036,29.908,229.32670504
2010-05-01,Monthly,16.767731,141.26072568678,126.967,975.24690404,29.122,215.0568004
2010-06-01,Monthly,17.50401,151.22425441110997,145.323,1213.3195967,33.724,247.12606529
2010-07-01,Monthly,18.055605,153.91259192554,140.698,1111.52311706,30.752,252.29409837
2010-08-01,Monthly,17.796258,155.262,134.12,1021.5694453799999,29.126,206.41147969
