date,frequency,agriculture_foresty_and_fishing,construction,electricity_gas_and_water,finance_insurance_real_estate_and_business_services,government_and_other_services,manufacturing,mining_and_quarrying,transport_storage_and_communications,wholesale_retail_trade_hotels_and_restaurants,total_new_issues
2000-01-01,Annual,42.55,2388.107146,4564.09654059,7244.865981000001,922.322,1409.494019,,3374.2172389404036,2046.4496619999998,21992.102587530404
2000-01-01,Monthly,,100.0,702.75,,125.14,,,,,927.89
2000-02-01,Monthly,,723.0,,39.4,237.05,,,,,999.45
2000-03-01,Monthly,,,680.0,277.23,254.18,,,,,1211.41
2000-04-01,Monthly,,38.0,,,,,,,,38.0
2000-05-01,Monthly,,58.5,,300.0,,,,,,358.5
2000-06-01,Monthly,,713.354,,768.0889999999999,,50.0,,1947.8388589404026,,3479.2818589404023
2000-07-01,Monthly,,,1353.7,,,84.087707,,526.1764599999999,,1963.9641669999999
2000-08-01,Monthly,,,65.0,,,48.870000000000005,,785.0,252.78,1151.65
2000-09-01,Monthly,,542.29525,389.3382,,,192.375,,,,1124.00845
2000-10-01,Monthly,,102.957896,1005.30834059,981.5,305.952,,,,,2395.71823659
2000-11-01,Monthly,42.55,,,150.01999999999998,,21.061312,,115.20192,1793.6696619999998,2122.5028939999997
2000-12-01,Monthly,,110.0,368.0,4728.626981,,1013.1,,,,6219.726981000001
2001-01-01,Annual,656.6,1865.2130000000002,10068.473267326735,12582.719434999999,914.1,2005.21794091,,3159.9999999999995,250.0,31502.323643236734
2001-01-01,Monthly,589.0,24.2,,,,20.0,,,,633.2
2001-02-01,Monthly,,,1090.34,,,107.58169090999999,,60.0,,1257.9216909099998
2001-03-01,Monthly,,279.1,1230.0,1519.4759999999999,99.1,65.0,,250.0,,3442.676
2001-04-01,Monthly,,,,,,320.0,,920.0,250.0,1490.0
2001-05-01,Monthly,,,225.1,1926.5,,,,45.0,,2196.6
2001-06-01,Monthly,,122.2,605.0,535.0,,,,,,1262.2
2001-07-01,Monthly,,,,935.2,,550.0,,615.0,,2100.2
2001-08-01,Monthly,,,1350.0,525.0,,30.0,,1090.0000000000002,,2995.0
2001-09-01,Monthly,,,1995.1032673267325,,815.0,100.0,,,,2910.1032673267327
2001-10-01,Monthly,,210.0,,93.0,,,,,,303.0
2001-11-01,Monthly,26.6,811.81,722.9300000000001,5468.153435,,812.63625,,,,7842.129685
2001-12-01,Monthly,41.0,417.903,2850.0,1580.3899999999999,,,,180.0,,5069.293
2002-01-01,Annual,971.929,2874.065332804639,1209.0,7612.997858999999,3494.445,927.61,,8439.4966,1130.7870000000003,26660.330791804638
2002-01-01,Monthly,,85.13,558.0,150.0,,,,,,793.13
2002-02-01,Monthly,,169.56,240.0,,,,,,1025.7870000000003,1435.3470000000002
2002-03-01,Monthly,,,,186.93586,,14.41,,,,201.34586
2002-04-01,Monthly,,54.26033280463949,,,,,,1097.5966,,1151.8569328046397
2002-05-01,Monthly,,189.5,21.0,274.499999,,,,5100.0,,5584.999999
2002-06-01,Monthly,,,,100.0,,547.2,,,,647.2
2002-07-01,Monthly,,,,88.68299999999999,2982.54,,,,105.0,3176.223
2002-08-01,Monthly,100.0,,,1128.46,,166.0,,,,1394.46
2002-09-01,Monthly,,40.0,40.0,1150.0,,,,410.0,,1640.0
2002-10-01,Monthly,,1893.165,,34.829,,,,543.0,,2470.9939999999997
2002-11-01,Monthly,871.929,11.34,50.0,1800.0,511.90500000000003,,,,,3245.1740000000004
2002-12-01,Monthly,,431.11,300.0,2699.59,,200.0,,1288.9,,4919.6
2003-01-01,Annual,582.805902,2229.515806,1970.787904,21731.990571000002,1304.299,6209.35509,80.0,9429.34796,130.0,43668.102233
2003-01-01,Monthly,,190.0,60.0,300.0,,,,,,550.0
2003-02-01,Monthly,,,13.0,2910.0,,28.5,,1235.0,,4186.5
2003-03-01,Monthly,,0.48,1269.287904,4583.077094,877.78,5595.934435,,,,12326.559433
2003-04-01,Monthly,,,55.0,1250.0,,288.820655,,,,1593.820655
2003-05-01,Monthly,,24.4,,5491.8,,,80.0,160.257699,,5756.457699
2003-06-01,Monthly,,426.0964439999999,,,,,,4060.0,130.0,4616.096444
2003-07-01,Monthly,94.31009499999999,1564.1793620000003,73.0,1615.0,135.0,,,88.590261,,3570.0797180000004
2003-08-01,Monthly,334.065807,0.1,25.0,663.236,,221.2,,,,1243.601807
2003-09-01,Monthly,,0.49,22.0,1534.1,,,,,,1556.59
2003-10-01,Monthly,,,25.0,2576.4000000000005,57.5,,,737.0,,3395.9000000000005
2003-11-01,Monthly,,,398.5,477.877477,234.019,,,148.5,,1258.896477
2003-12-01,Monthly,154.43,23.77,30.0,330.5,,74.9,,3000.0,,3613.6
2004-01-01,Annual,,3229.13020208,7334.0,11774.00487699999,,3186.725924,,1332.1842607199999,1193.881114,28049.92637779999
2004-01-01,Monthly,,,,386.0,,150.0,,,,536.0
2004-02-01,Monthly,,138.05,,374.0,,25.0,,,,537.05
2004-03-01,Monthly,,518.0,,627.75,,238.792124,,366.0,12.78,1763.322124
2004-04-01,Monthly,,85.689,,1609.312962,,140.0,,50.0,,1885.001962
2004-05-01,Monthly,,3.0,1000.0,812.0,,129.1538,,,,1944.1538
2004-06-01,Monthly,,,,2212.439804,,371.0,,50.0,,2633.439804
2004-07-01,Monthly,,,3484.0,352.0,,160.0,,90.0,,4086.0
2004-08-01,Monthly,,13.0,115.0,814.110437,,217.18,,5.0,,1164.290437
2004-09-01,Monthly,,,180.0,940.37,,1340.0,,436.60230991,1121.101114,4018.0734239099997
2004-10-01,Monthly,,,1280.0,1610.0,,125.6,,30.79565293,,3046.39565293
2004-11-01,Monthly,,1656.81,1260.0,400.0,,275.0,,58.78629788,60.0,3710.59629788
2004-12-01,Monthly,,814.58120208,15.0,1636.0216739999994,,15.0,,245.0,,2725.6028760799995
2005-01-01,Annual,732.4,4007.37803014,5790.999999999999,14725.88342077527,1126.78115,3102.306286,100.0,2708.8343395400834,3361.514607,35656.09783345535
2005-01-01,Monthly,,82.0,65.6,1532.3019,,130.0,,87.99459628,,1897.8964962799998
2005-02-01,Monthly,,180.0,23.85,269.68,66.78115,62.29000000000004,,34.79531118,,637.3964611800001
2005-03-01,Monthly,27.4,22.54768574,60.8,518.0,,50.0,,43.95094509,2028.0,2750.69863083
2005-04-01,Monthly,,20.5,70.8,611.500113325273,,,,,,702.800113325273
2005-05-01,Monthly,,22.83532699,1801.05,1389.701,300.0,418.43,,83.68579875,,4015.70212574
2005-06-01,Monthly,128.0,259.67741034,563.3,63.07,,33.402151,,1076.9481327800831,,2124.397694120083
2005-07-01,Monthly,,455.37,46.1,770.0,,588.990213,,227.64,,2088.100213
2005-08-01,Monthly,,128.4,115.0,2828.2500000000005,,650.0,,60.45340992,,3782.1034099200006
