date,frequency,initial_public_offers,rights_issues,restricted_offer_for_sale,special_issues,preference_shares,warrants,new_issues_of_shares_war_rants,straight_bonds,bonds_with_war_rants,conver_tible_bonds,islamic_bonds,asset_backed_bonds,medium_term_notes,bon_cagamas_bonds,new_issues_of_corporate_bond_and_or_sukuk,corporate_bond_and_or_sukuk,redemptions_bon_cagamas_bonds,net_issues_of_corporate_bond_and_or_sukuk,net_funds_raised_by_the_private_sector
1970-01-01,Annual,14.5,42.6,17.7,,1.5,,76.3,,,,,,,,,,,,76.3
1971-01-01,Annual,6.5,30.0,8.5,,,,45.0,,,,,,,,,,,,45.0
1972-01-01,Annual,21.0,28.2,6.7,,,,55.9,,,9.0,,,,,9.0,,,9.0,64.9
1973-01-01,Annual,23.4,46.0,8.3,,,,77.7,,,,,,,,,,,,77.7
1974-01-01,Annual,32.0,49.5,4.1,,,,85.6,,,,,,,,,,,,85.6
1975-01-01,Annual,18.2,9.5,,,,,27.7,,,48.0,,,,,48.0,,,48.0,75.7
1976-01-01,Annual,,22.0,18.8,10.7,,,51.5,,,,,,,,,,,,51.5
1977-01-01,Annual,21.8,94.2,,3.8,,,119.8,,,,,,,,,,,,119.8
1978-01-01,Annual,51.8,24.5,2.4,20.5,,,99.2,,,,,,,,,,,,99.2
1979-01-01,Annual,1.7,143.4,,65.8,,,210.9,,,,,,,,,,,,210.9
1980-01-01,Annual,2.1,103.2,,31.8,,,137.1,20.0,,,,,,,20.0,,,20.0,157.1
1981-01-01,Annual,103.7,598.0,,200.1,,,901.8,,,,,,,,,,,,901.8
1982-01-01,Annual,210.4,286.8,,131.6,,,628.8,,,50.0,,,,,50.0,,,50.0,678.8
1983-01-01,Annual,182.6,644.1,,435.6,,,1262.3,,,136.9,,,,,136.9,,,136.9,1399.2
1984-01-01,Annual,195.2,1348.4,,428.6,,,1972.2,,,392.1,,,,,392.1,,,392.1,2364.3
1985-01-01,Annual,237.2,357.5,,49.8,,,644.5,,,,,,,,,,,,644.5
1986-01-01,Annual,26.0,69.6,,93.0,,,188.6,,,,,,,,,,,,188.6
1987-01-01,Annual,311.1,867.6,76.6,129.5,,,1384.8,295.0,,,,,,100.0,395.0,,,395.0,1779.8
1988-01-01,Annual,169.0,668.0,,94.2,,,931.2,559.0,,121.7,,,,1200.0,1880.7,,,1880.7,2811.9
1989-01-01,Annual,1316.3,1144.6,,47.2,,,2508.1,337.0,,316.6,,,,1250.0,1903.6,,50.0,1853.6,4361.7
1990-01-01,Annual,3757.0,4419.3,,473.3,,,8649.6,973.0,269.4,581.8,378.5,,,400.0,2602.7,473.3,,2129.4,10779.0
1991-01-01,Annual,1710.9,2157.7,,490.8,32.0,,4391.4,590.1,150.0,1056.1,350.0,,,,2146.2,273.3,,1872.9,6264.3
1992-01-01,Annual,5415.8,3437.8,27.5,300.4,,,9181.5,1184.9,451.5,607.7,25.0,,,2114.8,4383.9,309.5,750.0,3324.4,12505.9
1993-01-01,Annual,912.7,1176.9,658.8,684.2,,,3432.6,2109.8,1089.6,164.6,,,,1650.0,5014.0,474.2,900.0,3639.8,7072.4
1994-01-01,Annual,2972.9,3436.7,798.9,1249.4,,,8457.9,1021.7,2861.4,1323.1,300.0,,,4760.0,10266.2,383.5,850.0,9032.6,17490.5
1995-01-01,Annual,4175.0,5240.2,1146.9,875.5,,178.8,11616.4,3929.9,3607.7,863.1,800.0,,,3022.0,12222.7,1249.1,2635.0,8338.6,19955.0
1996-01-01,Annual,4099.2,5268.5,4554.4,2002.3,,,15924.4,2675.4,5563.7,1794.6,2350.0,,,4665.0,17048.7,1765.0,750.0,14533.7,30458.1
1997-01-01,Annual,4781.0,8524.9,3233.6,1818.8,,,18358.3,4209.0,2950.3,2214.5,5249.7,,,5169.0,19792.5,1368.5,1640.0,16784.0,35142.3
1998-01-01,Annual,684.6,722.0,320.1,61.0,,,1787.8,10238.0,150.0,98.8,345.0,,,3320.0,14151.8,2964.4,5012.0,6175.3,7963.1
1999-01-01,Annual,1009.2,4346.9,518.6,208.0,,13.5,6096.2,18182.0,947.4,2487.1,1734.0,,,4425.0,27775.5,6279.5,6470.0,15026.0,21122.2
2000-01-01,Annual,992.312,3898.451,911.979,126.057,,84.288,6013.1,12939.9,,1386.1,7666.1,,,8403.0,30395.1,6205.166,4254.0,19935.9,25949.0
2001-01-01,Annual,1677.948,1891.837,1680.595,32.858,,840.227,6123.5,14359.584,912.8,1493.2,13501.34,1235.39,,6430.0,37932.314,15039.99,5315.0,17577.3,23700.8
2002-01-01,Annual,6834.9,3271.2,2401.631,92.1,,690.9,13290.783,7762.6,300.0,2852.4,13829.097,1916.2,,9535.0,36195.297000000006,28770.1,5367.0,2058.2,15348.999
2003-01-01,Annual,3952.16,2282.744,707.165,691.606,,137.85,7771.526,28860.0,,3177.409,8142.9,3487.4,,8185.0,51853.0,27970.566,5152.0,18731.0,26502.0
2004-01-01,Annual,4016.739,1494.384,837.987,68.014,,58.049,6475.173,4312.51,60.0,4300.89,9104.42,2957.5,7315.0,8290.0,36340.32,19648.155,7166.0,9525.765,16000.938
2005-01-01,Annual,5305.1420387,967.7486705,,,,42.29568247,6315.18639167,3868.9,,3744.7,9537.0,6209.6,12296.0,2540.0,38196.2,13432.23,5185.0,19578.87,25894.05639167
2006-01-01,Annual,1518.7339813999997,367.4115951,,,,29.386081960000002,1915.53165846,8667.184000000001,,155.835446,4780.6,1545.87,0.0,7150.0,38887.012446,20616.527179970002,10902.0,7368.485322780002,9284.016981240002
2007-01-01,Annual,2485.994383,4340.886166640001,185.531543,0.0,0.0,113.45066634,7125.86275898,7008.333,0.0,196.823355,12127.0,6407.308,41866.148,1750.0,69355.612355,48016.670013580006,8165.0,13173.9415288,20299.804287780004
2008-01-01,Annual,1272.9501573999999,3659.120822329999,247.125,0.0,0.0,297.8036029,5476.999582629999,13977.477949,0.0,846.3711020000001,7467.73123676,1300.0,26066.91455166,0.0,49658.494839420004,26381.23488685,7640.0,15637.259952570002,21114.2595352
2008-01-01,Monthly,131.0625575,69.1329,247.125,0.0,0.0,7.6208,454.9412575,0.0,0.0,177.34155,902.23666,1000.0,455.77208,0.0,2535.3502900000003,3393.295803,200.0,-1057.9455145499996,-603.0042570499996
2008-02-01,Monthly,83.29,217.26265112,0.0,0.0,0.0,2.8715858,303.42423692,1020.25,0.0,0.0,0.0,0.0,1017.1783,0.0,2037.4283,684.3611254900002,1595.0,-241.9327913000002,61.49144561999981
2008-03-01,Monthly,17.5822899,570.58579121,0.0,0.0,0.0,9.5597622,597.72784331,3000.0,0.0,27.56867,300.0,100.0,1995.847,0.0,5423.41567,2372.52885293,1025.0,2025.8867149100001,2623.61455822
2008-04-01,Monthly,184.667,57.255,0.0,0.0,0.0,38.123,280.045,2066.14,0.0,0.0,0.0,0.0,3620.553,0.0,5686.693,3893.8462767299998,415.0,1377.8464908600008,1657.8914908600009
2008-05-01,Monthly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,2250.0,0.0,4236.362999999999,0.0,6556.362999999999,1922.36074706,150.0,4484.00231892,4484.00231892
2008-06-01,Monthly,73.7,1103.818,0.0,0.0,0.0,239.6284549,1417.1464549,4100.0,0.0,0.0,1025.2905500000002,100.0,2240.3189,0.0,7465.60945,958.49993551,1400.0,5107.1094553699995,6524.25591027
2008-07-01,Monthly,213.6625,826.5342649999999,0.0,0.0,0.0,0.0,1040.196765,163.087949,0.0,0.0,581.25056632,0.0,832.03751,0.0,1576.3760253199998,1609.5907511,0.0,-33.214727779999976,1006.9820372199999
2008-08-01,Monthly,502.674,36.919000000000004,0.0,0.0,0.0,0.0,539.593,0.0,0.0,15.6123,908.56844818,0.0,3230.6005,0.0,4154.78124818,1017.34739283,210.0,2927.43382511,3467.0268251099997
2008-09-01,Monthly,8.0,613.642,0.0,0.0,0.0,0.0,621.642,1450.0,0.0,6.1,0.0,0.0,3813.752,0.0,5269.852,2550.4300021999998,1900.0,819.4219321,1441.0639321
2008-10-01,Monthly,36.274499999999996,84.01639,0.0,0.0,0.0,0.0,120.29088999999999,1000.0,0.0,0.0,515.0,0.0,2922.773,0.0,4437.773,2130.0,545.0,1762.77273504,1883.06362504
2008-11-01,Monthly,0.0,79.954825,0.0,0.0,0.0,0.0,79.954825,108.0,0.0,0.0,0.0,0.0,647.98181,0.0,755.98181,2438.808,0.0,-1682.8261862499999,-1602.8713612499998
2008-12-01,Monthly,22.037309999999998,0.0,0.0,0.0,0.0,0.0,22.037309999999998,1000.0,0.0,619.748582,985.3850122599999,100.0,1053.7381058800001,0.0,3758.87170014,3410.166,200.0,148.70570013999986,170.74301013999985
2009-01-01,Annual,12186.14773,13714.419415479999,144.48043,0.0,0.0,0.42,26045.467575479997,10802.838797,0.0,655.3865549999999,3784.65988668,96.9,43234.80543417,0.0,58574.59067285,28948.961727780003,3090.0,26535.628945070002,52581.096520549996
2009-01-01,Monthly,0.0,0.0,139.15941,0.0,0.0,0.0,139.15941,0.0,0.0,79.548165,0.0,0.0,444.8643,0.0,524.412465,1057.343,750.0,-1282.930535,-1143.771125
2009-02-01,Monthly,0.0,0.0,5.32102,0.0,0.0,0.0,5.32102,721.685797,0.0,0.0,200.0,0.0,1025.4893,0.0,1947.1750969999998,3903.271954,480.0,-2436.09683728,-2430.77581728
2009-03-01,Monthly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,0.0,0.0,1371.62674871,0.0,4723.432,0.0,6785.05874871,2368.126,0.0,4416.932831689999,4416.932831689999
2009-04-01,Monthly,0.0,11273.21720658,0.0,0.0,0.0,0.0,11273.21720658,2314.9,0.0,0.0,105.0,0.0,3780.548,0.0,6200.448,1952.6326290000002,220.0,4027.8152887600004,15301.032495340001
2009-05-01,Monthly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,6536.666828,0.0,6560.666828,3525.39,110.0,2925.2770275000007,2925.2770275000007
2009-06-01,Monthly,237.96273,0.0,0.0,0.0,0.0,0.0,237.96273,3064.328,0.0,0.0,134.213337,96.9,3286.283,0.0,6581.724337,3310.95852,720.0,2550.7659636999997,2788.7286937
2009-07-01,Monthly,17.64,42.544182,0.0,0.0,0.0,0.0,60.184182,0.0,0.0,0.0,0.0,0.0,3164.3940000000002,0.0,3164.3940000000002,1712.0539999999999,0.0,1452.3399000000002,1512.5240820000001
2009-08-01,Monthly,234.07,0.0,0.0,0.0,0.0,0.0,234.07,400.0,0.0,0.0,1548.8198009700002,0.0,682.0987,0.0,2630.9185009700004,2210.287,810.0,-389.3685292999994,-155.29852929999942
