date,frequency,funds_raised_in_the_capital_market_by_public_sector,malaysian_government_securities,mgs_advanced_subscriptions,bonds,malaysian_government_investment_issues,bon_savings_bonds,sukuk_government_housing_sukuk,new_issues_of_debt_securities,mgs,kb,mgii,redemptions_bon_savings_bonds,redemptions_sukuk_government_housing_sukuk,less_government_holdings,net_funds_raised_by_the_public_sector
1970-01-01,Annual,,395.0,,,,,,395.0,7.0,,,,0.0,59.0,329.0
1971-01-01,Annual,,635.0,23.0,,,,,658.0,88.0,,,,0.0,51.0,519.0
1972-01-01,Annual,,1045.0,2.0,,,,,1047.0,261.0,,,,0.0,,786.0
1973-01-01,Annual,,1153.0,-23.0,,,,,1130.0,243.0,,,,0.0,1.0,886.0
1974-01-01,Annual,,950.0,2.0,,,,,952.0,230.0,,,,0.0,5.0,717.0
1975-01-01,Annual,,1092.0,-6.0,,,,,1086.0,176.0,,,,0.0,1.0,909.0
1976-01-01,Annual,,1817.0,20.0,,,,,1837.0,511.0,,,,0.0,-1.0,1327.0
1977-01-01,Annual,,2050.0,20.0,,,,,2070.0,254.0,,,,0.0,3.0,1813.0
1978-01-01,Annual,,1933.0,6.0,,,,,1939.0,504.0,,,,0.0,1.0,1434.0
1979-01-01,Annual,,3150.0,20.0,,,,,3170.0,643.0,,,,0.0,-1.0,2528.0
1980-01-01,Annual,,3300.0,-34.0,,,,,3266.0,955.0,,,,0.0,,2311.0
1981-01-01,Annual,,4200.0,465.0,,,,,4665.0,874.0,,,,0.0,19.4,3771.6
1982-01-01,Annual,,6400.0,171.0,,,,,6571.0,987.0,,,,0.0,37.4,5546.6
1983-01-01,Annual,,4030.0,167.0,,100.0,,,4297.0,331.0,,,,0.0,-36.0,4002.0
1984-01-01,Annual,,4700.0,-819.0,,200.0,,,4081.0,828.0,,100.0,,0.0,-3.0,3156.0
1985-01-01,Annual,,4700.0,80.0,,200.0,,,4980.0,1189.0,,200.0,,0.0,-0.4,3591.4
1986-01-01,Annual,,4900.0,422.0,,300.0,,,5622.0,702.0,,200.0,,0.0,-0.5,4720.5
1987-01-01,Annual,,8550.0,-178.0,,300.0,,,8672.0,879.0,,100.0,,0.0,-0.4,7693.4
1988-01-01,Annual,,7450.0,931.7,,600.0,,,8981.7,1344.9,,100.0,,0.0,2.5,7534.3
1989-01-01,Annual,,4985.2,-1272.4,,200.0,,,3912.8,1345.0,,200.0,,0.0,-91.1,2458.9
1990-01-01,Annual,,5140.6,,,300.0,,,5440.6,1243.0,,400.0,,0.0,-18.0,3815.6
1991-01-01,Annual,,3500.0,,,300.0,,,3800.0,343.0,,300.0,,0.0,,3157.0
1992-01-01,Annual,,3800.0,,,500.0,,,4300.0,2420.5,,400.0,,0.0,-51.0,1530.5
1993-01-01,Annual,,1600.0,,,1200.0,948.0,,3748.0,2224.5,,200.0,93.0,0.0,50.0,1180.5
1994-01-01,Annual,,2229.1,270.9,,3000.0,,,5500.0,3549.0,,200.0,69.8,0.0,-97.0,1778.2
1995-01-01,Annual,,2000.0,,,750.0,,,2750.0,2250.0,,500.0,37.8,0.0,-2.6,-35.2
1996-01-01,Annual,,6000.0,,,,,,6000.0,3809.0,,900.0,34.0,0.0,-74.1,1331.1
