date,frequency,warrants,options,klibor_futures,swap,interest_rate_related_options,futures,credit_default_swap,derivatives_turnover_others,profit_rate_swap
2012-01-01,Monthly,87.32,70.77000000000001,3924.0073199999997,14902.690528999998,1012.7,9.66,163.0,601.31,2576.0
2012-02-01,Monthly,27.006999999999998,327.761684,6201.0,26887.879,369.47,12.010000000000002,348.0,380.65999999999997,420.0
2012-03-01,Monthly,113.307,51.04,2980.0,27816.449307000003,494.27,19.25,285.0,1225.1628930000002,677.0
2012-04-01,Monthly,34.492000000000004,183.99,157.0,19429.5726,88.13,24.12,14.0,759.8050000000001,1736.0
2012-05-01,Monthly,38.789,42.06342563,7136.0,29373.388587,605.6199999999999,32.69,460.0,213.37,469.0
2012-06-01,Monthly,44.13,61.975,3064.0,25178.660000000003,357.74,30.25,146.0,234.13,2677.0
2012-07-01,Monthly,44.742999999999995,72.83,5085.0,28291.612,295.35,26.47,0.0,369.81,1924.0
2012-08-01,Monthly,26.997419049999998,247.82,2386.0,25378.18,1141.38,26.4702,34.0,503.78751626999997,617.0
2012-09-01,Monthly,13.90642401,144.78,3328.0,32022.8056,707.0999999999999,4.902775,20.0,609.7417203034981,313.0
2012-10-01,Monthly,16.228848,185.26999999999998,3672.0,13373.33,131.26,0.6015,0.0,272.11077363000004,13.0
2012-11-01,Monthly,11.73214,213.7,4977.0,22291.16137718,46.1,0.0,9.0,585.4613094817317,632.0
2012-12-01,Monthly,13.40785,216.43,1300.0,24446.6819,156.2,0.0,38.0,977.9450278116431,1072.0
2013-01-01,Monthly,9.379999999999999,351.71,5151.0,24489.089999999997,706.9300000000001,2.5,0.0,340.0,1600.0
2013-02-01,Monthly,7.6499999999999995,47.25,600.0,16429.656,530.9,2.56,60.0,261.6,25.0
2013-03-01,Monthly,6.668,468.78,2695.0,27813.0614,244.32999999999998,5.0,19.0,131.1,2178.0
2013-04-01,Monthly,6.638999999999999,327.0,2510.0,18647.7797,87.06,0.0,0.0,133.3,50.0
2013-05-01,Monthly,9.314,109.095,3750.0,27896.16,299.47,5.0,50.0,137.3,20.0
2013-06-01,Monthly,11.963,38.79817,2925.0,27277.309999999998,439.08000000000004,0.0,205.0,97.3,50.0
2013-07-01,Monthly,22.325,117.07,1260.0,33138.249960999994,296.05,6.0,0.0,98.9,75.0
2013-08-01,Monthly,14.08,53.0,1080.0,14711.782,20.32,0.0,200.0,142.5,145.0
2013-09-01,Monthly,15.786,69.0,4595.0,18980.0,60.76,0.0,494.0,118.0,15.0
2013-10-01,Monthly,14.99,57.5,220.0,8885.949122999999,62.19,0.0,83.0,152.0,70.0
2013-11-01,Monthly,13.31,68.0,200.0,15724.446,40.0,0.0,0.0,180.0,600.0
2013-12-01,Monthly,16.093,108.0,1050.0,11930.800996,3.23,0.0,0.0,45.0,20.0
2014-01-01,Monthly,21.018,115.0,290.0,27418.233999999997,33.63,0.0,0.0,204.0,30.0
2014-02-01,Monthly,20.683,26.0,0.0,19779.833015999997,136.55,0.0,0.0,790.7,3557.0
2014-03-01,Monthly,19.018,404.0,770.0,15259.332280409999,57.02,20.0,1.0,368.3,1340.0
2014-04-01,Monthly,21.271,77.5,400.0,15885.927188000001,33.28,154.0,0.0,237.8,65.0
2014-05-01,Monthly,18.17,77.8,6530.0,23129.386101,104.69,115.0,0.0,182.0,0.0
2014-06-01,Monthly,18.469,98.0,1070.0,15636.115508,125.99,241.0,41.0,140.2,0.0
2014-07-01,Monthly,26.041,68.0,1320.0,7362.18,171.32999999999998,151.0,25.0,113.1,0.0
2014-08-01,Monthly,25.25,40.0,1000.0,11915.865592999999,100.45,135.0,4.0,109.0,30.0
2014-09-01,Monthly,25.994,40.519999999999996,950.0,35678.448368,82.63,116.0,11.0,300.0,2551.0
2014-10-01,Monthly,18.483,25.04,20.0,23177.690000000002,429.33,43.0,0.0,206.5,625.0
2014-11-01,Monthly,12.173,28.520000000000003,700.0,16895.580713,59.0,45.0,0.0,626.5,125.0
2014-12-01,Monthly,10.698,122.25,410.0,12169.26,163.85,87.0,12.0,189.6,0.0
2015-01-01,Monthly,11.123,183.5,450.0,24828.787,121.31,0.0,107.0,239.72,130.0
