date,frequency,period_1,june,sdr,end_of_period,gbp,eur,sf,100_hkd,100_jpy,cny,sgd,100_idr,100_thb
2011-06-01,Daily,425.19988754999997,1,4.84309175,3.0085,4.955,4.33885945,352.80002,38.6746386,3.7039091,0.46439295,2.44553855,0.035249,9.93068815
2011-06-02,Daily,431.67247633000005,2,4.83395273,3.0275,4.9437565,4.34673335,358.942485,38.9063816,3.7381161,0.4669726,2.44429285,0.0354695,9.9868161
2011-06-03,Daily,429.70773694999997,3,4.80828975,3.01425,4.9255862,4.36674425,357.22337500000003,38.75328705,3.7339738,0.46511895,2.44524295,0.03532255,9.93654645
2011-06-06,Daily,431.41236409999993,6,4.8515265,2.9975,4.92819005,4.3874409,359.132655,38.539177,3.7340402,0.46263075,2.4397691,0.035244,9.9041906
2011-06-07,Daily,433.06938279999997,7,4.86066875,3.0115,4.9224477,4.3967903,360.52925999999997,38.71171065,3.75498785,0.46481655,2.44618725,0.03534625,9.9356675
2011-06-08,Daily,432.61747935,8,4.8668301,3.0125,4.9451696,4.4146682,360.0025,38.7193385,3.76774485,0.4651145,2.44928675,0.0353601,9.93896675
2011-06-09,Daily,433.94625450000007,9,4.85968375,3.0195,4.95560365,4.4142078,361.249095,38.7985888,3.77178325,0.46607295,2.45188915,0.0354194,9.92441075
2011-06-10,Daily,431.4302116,10,4.88666625,3.0175,4.9305953,4.37959965,358.799075,38.77363585,3.76552165,0.4657642,2.4520568,0.0354375,9.9243594
2011-06-13,Daily,433.1046155,13,4.8409725,3.0475,4.94578825,4.36950625,359.99067,39.1490625,3.7854794,0.46985815,2.4618317,0.03572685,10.0082199
2011-06-14,Daily,434.9244291,14,4.86101025,3.0275,4.9679765,4.36732035,362.119535,38.90113205,3.7728212,0.467434,2.4567884,0.03547165,9.9474397
2011-06-15,Daily,431.7935093,15,4.8543825,3.0315,4.9607469,4.36839165,358.94859499999995,38.94502285,3.7702884,0.46786745,2.4604343,0.03551225,9.950768
2011-06-16,Daily,429.68028335,16,4.8322373,3.0435,4.9347312,4.32024855,356.82049,39.06154785,3.7611224,0.4694658,2.4570123,0.03546375,9.9444642
2011-06-17,Daily,431.55967986,17,4.84597436,3.047,4.91389705,4.31729475,358.66055,39.06610735,3.77922575,0.4712123,2.46053235,0.0354674,9.96241855
2011-06-20,Daily,429.90204754999996,20,4.8352077,3.0388,4.90675065,4.3315058,357.106835,38.9929692,3.7897367,0.4693744,2.45658935,0.0354297,9.93884905
2011-06-21,Daily,432.9510322000001,21,4.8433451,3.037,4.9235847,4.3526289,360.13292,38.9793755,3.78914565,0.46946615,2.45692185,0.035314,9.93133035
2011-06-22,Daily,432.54372005,22,4.8495148,3.0305,4.91562275,4.3542227,359.810115,38.90219,3.7760889,0.46875485,2.4572287,0.03526095,9.9442214
2011-06-23,Daily,433.00621419999993,23,4.8260967,3.0355,4.86909415,4.3416761,360.27544,38.9698759,3.7731513,0.46929595,2.4567021,0.0352863,9.9540957
2011-06-24,Daily,434.92536820000004,24,4.8595905,3.037,4.8657298,4.33045875,362.194505,38.99388915,3.77407755,0.4692558,2.458513,0.035314,9.90703465
