date,frequency,exchange_rates_malaysian_ringgit,end_of_period,rm_unit_of_usd,rm_unit_of_gbp,rm_unit_of_euro,rm_unit_of_100_sf,rm_unit_of_100_hkd,rm_unit_of_100_jpy,rm_unit_of_cny,rm_unit_of_sgd,rm_unit_of_100_idr,rm_unit_of_100_thb,average_for_period,exchange_rates_malaysian_ringgit_rm_unit_of_usd,exchange_rates_malaysian_ringgit_rm_unit_of_gbp,exchange_rates_malaysian_ringgit_rm_unit_of_euro,exchange_rates_malaysian_ringgit_rm_unit_of_100_sf,exchange_rates_malaysian_ringgit_rm_unit_of_100_hkd,exchange_rates_malaysian_ringgit_rm_unit_of_100_jpy,exchange_rates_malaysian_ringgit_rm_unit_of_cny,exchange_rates_malaysian_ringgit_rm_unit_of_sgd,exchange_rates_malaysian_ringgit_rm_unit_of_100_idr,exchange_rates_malaysian_ringgit_rm_unit_of_100_thb
1997-01-01,Monthly,,3.4682,2.4868,4.003,,174.66,32.09,2.0407,0.29971782751302334,1.7658,0.1046,9.5868,3.5275,2.491,4.1443,,179.34,32.19,2.1161,0.3003003585877596,1.7721,0.10515566728645917,9.68548870118537
1997-02-01,Monthly,,3.4391,2.4832,4.0414,,168.64,32.07,2.0659,0.2991416929864744,1.7436,0.1036,9.5966,3.4392,2.486,4.0371,,170.71,32.09,2.0221,0.2998623663508759,1.7511,0.10435293062130671,9.580657258552831
1997-03-01,Monthly,,3.4381,2.479,4.0501,,170.67,31.99,1.9992,0.29883671870291123,1.7158,0.1033,9.5392,3.4128,2.4769,3.987,,169.23,31.98,2.0201,0.29855570804300996,1.7245,0.1032020329504009,9.541596414121093
1997-04-01,Monthly,,3.4226,2.511,4.0992,,171.58,32.42,1.978,0.30273072517933575,1.7383,0.1032,9.6132,3.4301,2.501,4.0786,,171.3,32.28,1.9917,0.30168578335919993,1.7352,0.10371079752622446,9.603981552996897
1997-05-01,Monthly,,3.499,2.514,4.1199,,177.86,32.45,2.1585,0.30303541925447114,1.7582,0.1032,9.8783,3.4745,2.507,4.0938,,175.32,32.38,2.1113,0.3022064620862284,1.7464,0.10288164231294644,9.734964335195164
1997-06-01,Monthly,,3.503,2.5235,4.1989,,173.68,32.57,2.2088,0.30454238432961833,1.7647,0.1038,9.747,3.4978,2.5158,4.1373,,174.8,32.49,2.202,0.30349000689040356,1.763,0.10356624974580071,10.260468624135793
1997-07-01,Monthly,,3.5813,2.636,4.3178,,173.94,34.03,2.2278,0.3179619555384003,1.7917,0.1012,8.1992,3.5459,2.5729,4.3019,,173.89,33.22,2.2349,0.31095404296039303,1.7747,0.10294687608545061,8.63685919294022
1997-08-01,Monthly,,4.0389,2.962,4.7881,,199.66,38.24,2.4787,0.3533301158301158,1.9379,0.0974,8.6609,3.7213,2.7476,4.4105,,181.58,35.48,2.3311,0.33271700273783206,1.8356,0.10132826733179968,8.562889345221825
1997-09-01,Monthly,,4.3552,3.1975,5.1481,,219.61,41.32,2.6419,0.3917079058539529,2.0899,0.0977,8.7245,4.0973,3.0134,4.824,,204.86,38.91,2.4944,0.36481285489000526,1.9853,0.1006196514029939,8.602224568406571
1997-10-01,Monthly,,4.7555,3.437,5.7364,,246.29,44.45,2.8606,0.40140522007871166,2.1634,0.0938,8.383,4.4998,3.2856,5.3569,,226.13,42.47,2.7129,0.39665914454981704,2.1089,0.0919637325055911,8.815626443431027
