date,frequency,interest_rates_banking_institutions,fixed_rates_period_in_months,fixed_rates_period_in_months_1,commercial_banks_fixed_rates_period_in_months,commercial_banks_fixed_deposit_rates,commercial_banks_fixed_deposit_rates_1,weighted_average_fixed_rates_period_in_months,weighted_average_fixed_rates_period_in_months_1,commercial_banks_weighted_average_fixed_rates_period_in_months,commercial_banks_weighted_avg_fixed_deposit_rates,commercial_banks_weighted_avg_fixed_deposit_rates_1,savings_rate,weighted_average_savings_rate,base_rate2_br,weighted_average_br,base_lending_rate_blr,weighted_average_blr,average_lending_rate_alr_on_outstanding_loans,weighted_alr_on_outstanding_loans,investment_banks_fixed_rates_period_in_months,investment_banks_fixed_deposit_rates,investment_banks_fixed_deposit_rates_1,investment_banks_fixed_deposit_rates_1_1,investment_banks_fixed_deposit_rates_2,average_lending_rate_on_outstanding_loans
1980-01-01,Annual,,6.125,6.229166666666667,6.541666666666667,6.791666666666667,7.5,,,,,,5.333333333333333,,,,7.75,,10.13,,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-01,Annual,,9.458333333333334,9.6775,9.666666666666666,9.729166666666666,9.9375,,,,,,6.333333333333333,,,,8.5,,11.89,,0.0,0.0,0.0,0.0,0.0,0.0
1982-01-01,Annual,,8.916666666666666,9.75,9.9375,10.031666666666666,10.48,,,,,,6.583333333333333,,,,8.5,,12.395,,0.0,0.0,0.0,0.0,0.0,0.0
1983-01-01,Annual,,7.5,8.020833333333334,8.291666666666666,8.375,8.75,,,,,,6.25,,,,11.020833333333334,,11.775,,0.0,0.0,0.0,0.0,0.0,0.0
1984-01-01,Annual,,9.166666666666666,9.5,9.504166666666666,9.531666666666666,9.615,,,,,,6.5,,,,11.354166666666666,,12.21,,0.0,0.0,0.0,0.0,0.0,11.775
1985-01-01,Annual,,8.448333333333332,8.8125,9.041666666666666,9.25,9.291666666666666,,,,,,6.666666666666667,,,,11.541666666666666,,12.5525,,0.0,0.0,0.0,0.0,0.0,11.925
1986-01-01,Annual,,7.041666666666667,7.083333333333333,7.166666666666667,7.416666666666667,7.416666666666667,,,,,,6.0,,,,10.6875,,12.229999999999999,,0.0,0.0,0.0,0.0,0.0,12.199999999999998
1987-01-01,Annual,,2.5625,3.0,3.9691666666666667,4.3125,4.5,,,,,,4.041666666666667,,,,8.1875,,10.3625,,0.0,0.0,0.0,0.0,0.0,6.766666666666667
1988-01-01,Annual,,2.7191666666666663,3.2916666666666665,3.573333333333333,3.8333333333333335,4.24,,,,,,3.5,,,,7.25,,9.3,,0.0,0.0,0.0,0.0,0.0,6.558333333333333
1989-01-01,Annual,,4.474166666666668,4.5616666666666665,4.773333333333333,4.979166666666667,5.202500000000001,,,,,,3.4666666666666672,,,,6.995833333333333,,8.895833333333334,,4.8740000000000006,5.040000000000001,5.2299999999999995,5.450000000000001,5.738,7.878333333333333
1990-01-01,Annual,,5.553333333333334,5.720833333333332,5.996666666666667,6.005,6.214166666666666,,,,,,3.424166666666667,,,,7.156666666666666,,8.785833333333334,,6.1925,6.32,6.472499999999999,6.510833333333333,6.385000000000001,8.641666666666666
1991-01-01,Annual,,6.941666666666667,7.110833333333335,7.267499999999999,7.3450000000000015,7.483333333333333,,,,,,3.299166666666667,,,,8.024166666666666,,9.347500000000002,,7.255833333333334,7.403333333333333,7.548333333333333,7.675000000000002,7.636666666666667,10.039166666666668
1992-01-01,Annual,,7.8450000000000015,7.934999999999999,7.969166666666667,7.983333333333333,8.031666666666666,,,,,,3.349166666666667,,,,9.214999999999998,,10.161666666666667,,8.030833333333334,8.048333333333334,8.108333333333333,8.166666666666666,8.242500000000001,10.767499999999998
1993-01-01,Annual,,7.0133333333333345,7.025833333333334,6.981666666666665,6.959166666666667,6.954166666666668,,,,,,4.2075000000000005,,,,8.852500000000001,,10.030833333333332,,7.161666666666668,7.151666666666667,7.2200000000000015,7.365833333333334,7.5391666666666675,10.136666666666667
1994-01-01,Annual,,4.741666666666666,4.892499999999999,5.090833333333333,5.238333333333334,5.463333333333334,,,,,,3.6683333333333334,,,,7.290833333333334,,8.764166666666664,,4.883333333333333,4.939166666666666,5.1691666666666665,5.529166666666666,6.4958333333333345,8.159166666666668
1995-01-01,Annual,,5.786666666666666,5.933333333333334,6.142500000000001,6.2825,6.502499999999999,,,,,,3.611666666666667,,,,7.440833333333333,,8.729999999999999,,5.8975,5.966666666666666,6.064166666666668,6.091666666666666,6.185,8.8725
1996-01-01,Annual,,7.0200000000000005,7.085,7.1191666666666675,7.139999999999998,7.180000000000001,,,,,,3.871666666666666,,,,8.8925,,9.943333333333333,,7.167500000000001,7.201666666666665,7.199166666666668,7.2058333333333335,7.241818181818183,10.6775
1997-01-01,Annual,,7.73,7.776666666666667,7.7966666666666695,7.805833333333333,7.827500000000001,,,,,,4.176666666666667,,,,9.531666666666668,,10.627500000000001,,8.176666666666668,8.160833333333333,8.092500000000001,7.754999999999999,8.097500000000002,11.806666666666665
