date,frequency,interest_rates_banking_institutions,fixed_rates_period_in_months,fixed_rates_period_in_months_1,commercial_banks_fixed_rates_period_in_months,commercial_banks_fixed_deposit_rates,commercial_banks_fixed_deposit_rates_1,weighted_average_fixed_rates_period_in_months,weighted_average_fixed_rates_period_in_months_1,commercial_banks_weighted_average_fixed_rates_period_in_months,commercial_banks_weighted_avg_fixed_deposit_rates,commercial_banks_weighted_avg_fixed_deposit_rates_1,savings_rate,weighted_average_savings_rate,base_rate2_br,weighted_average_br,base_lending_rate_blr,weighted_average_blr,average_lending_rate_alr_on_outstanding_loans,weighted_alr_on_outstanding_loans,investment_banks_fixed_rates_period_in_months,investment_banks_fixed_deposit_rates,investment_banks_fixed_deposit_rates_1,investment_banks_fixed_deposit_rates_1_1,investment_banks_fixed_deposit_rates_2,average_lending_rate_on_outstanding_loans
1997-01-01,Monthly,,7.16,7.22,7.24,7.24,7.26,,,,,,4.12,,,,9.19,,10.18,,7.31,7.31,7.32,7.43,7.3,10.7
1997-02-01,Monthly,,7.14,7.22,7.23,7.23,7.25,,,,,,4.14,,,,9.2,,10.13,,7.31,7.33,7.33,7.43,7.32,10.7
1997-03-01,Monthly,,7.2,7.24,7.24,7.24,7.25,,,,,,4.16,,,,9.24,,10.14,,7.29,7.29,7.33,7.32,7.32,10.6
1997-04-01,Monthly,,7.2,7.25,7.24,7.25,7.26,,,,,,4.15,,,,9.25,,10.46,,7.32,7.38,7.36,7.41,7.37,10.7
1997-05-01,Monthly,,7.3,7.3,7.28,7.28,7.3,,,,,,4.17,,,,9.27,,10.43,,7.71,7.49,7.48,7.54,7.5,11.19
1997-06-01,Monthly,,7.54,7.43,7.37,7.36,7.38,,,,,,4.16,,,,9.5,,10.68,,7.47,7.41,7.11,7.52,7.45,11.22
1997-07-01,Monthly,,8.05,7.73,7.56,7.52,7.52,,,,,,4.14,,,,9.58,,10.85,,8.65,8.08,7.99,7.65,7.7,12.43
1997-08-01,Monthly,,7.46,7.54,7.56,7.56,7.56,,,,,,4.19,,,,9.61,,10.69,,7.45,7.69,7.74,7.62,7.66,11.49
1997-09-01,Monthly,,7.59,7.69,7.74,7.75,7.79,,,,,,4.19,,,,9.61,,10.68,,7.83,7.86,7.96,7.6,7.92,11.37
1997-10-01,Monthly,,8.39,8.56,8.71,8.74,8.77,,,,,,4.24,,,,9.53,,10.69,,8.77,8.65,9.01,8.02,8.12,11.88
