date,frequency,bank_interbank,corporate,banker_s_acceptance_bank_interbank,banker_s_acceptance_corporate,negotiable_instruments_of_deposit_interbank,negotiable_instruments_of_deposit_corporate,deposits_bank_interbank,deposits_corporate,commodity_murabahah_deposits_bank_interbank,commodity_murabahah_deposits_corporate,wakalah_deposits_bank_interbank,wakalah_deposits_corporate,other_bank_interbank,other_corporate,islamic_bankers_acceptance_bank_interbank,islamic_bankers_acceptance_corporate,islamic_negotiable_instruments_of_deposit_interbank,rm_million_equivalent_corporate
2012-01-01,Monthly,550520.7899999999,761707.6300000001,8718.77,365.16999999999996,13941.0,2636.0,89560.98000000001,164575.87699999998,8351.27,3421.1162249199997,400.0,20744.28,33437.171,754.5024597510399,1560.08,1653.0,3987.35,2587.21
2012-02-01,Monthly,344781.5399999999,605502.07,9784.111,261.08,17008.0,3586.7,65334.75,123250.92,14674.91,2274.90417492,889.0,28904.04,15245.71,984.2323401108,714.0,1308.0,3994.0,1406.75
2012-03-01,Monthly,338831.32000000007,758564.6290000001,8699.087,356.05,34466.3,3017.55,95578.51,145909.53999999998,3724.4,1715.9475595,1246.8,52004.95,12883.6,1129.4190134588,453.71000000000004,1271.0,3413.8900000000003,3047.56
2012-04-01,Monthly,283553.0800000001,676992.66,11593.712,299.28999999999996,11677.4,485.4,76956.32,147770.49,5448.76,1093.17114327,296.5,60208.62000000001,11619.0,920.2788830489001,1904.47,1321.0,3066.34,2479.24
2012-05-01,Monthly,382085.07,774687.2060000001,10992.0733502,289.90999999999997,13787.4,2747.2,103687.82,158284.02000000002,7043.8,1314.73379454,480.0,63048.89,10683.3,1072.9557005909999,1373.24,1421.0,7655.45,1856.46
2012-06-01,Monthly,396193.123,800389.0650000001,8178.44107587,783.61,36802.4,2635.15,126212.47,175014.51,8567.380000000001,996.3858590400001,612.78,80300.05,8498.31,859.392155879175,1040.39,1291.0,10025.96,2973.55
2012-07-01,Monthly,471162.04000000004,801712.6819999999,8764.201,597.14,21670.4,689.05,75943.13,174013.24,8210.69,1754.26655804,629.5699999999999,83025.15000000001,10970.43259642,1040.32484724078,1258.15,1340.0,7574.299999999999,1680.01
2012-08-01,Monthly,431945.9600000001,695766.5224274199,7468.799999999999,384.79999999999995,23133.4,804.25,76375.89,135862.06,5685.27364148,1349.9518163500002,2359.8199999999997,62216.017254210004,8479.11,864.7784324271,1021.38,1278.0,5761.59324323,1499.45
2012-09-01,Monthly,534430.90041944,742891.7043235298,10865.19428205,543.61,16997.4,2820.15,72592.34,134690.634,5672.684501780001,1130.6764267499998,1590.0,70514.17432431,9570.0,1752.17647653228,867.25,1270.0,6135.63581181,1975.41
2012-10-01,Monthly,425159.64472,917152.08737354,9367.643,413.69300000000004,20010.809999999998,2993.65,84154.37,149985.38999999998,7531.95293276,2320.3026250000003,1740.0,82481.83776984,10414.529999999999,1267.2587628195852,1540.27,1485.0,6652.98252705,1048.3400000000001
2012-11-01,Monthly,551369.72705594,730878.13411304,9342.058,359.44,18686.0,3995.35,64645.18,144427.67999999996,7206.4165736800005,1918.5198016999998,2100.0,72422.76396677,6251.67,991.0854952718,1341.99,1308.46,6973.2886491300005,2160.2200000000003
2012-12-01,Monthly,539371.94004172,707207.85110916,7534.031,435.812,23823.25,2862.25,93486.74,149036.15999999997,7015.84646192,1312.0860598599998,2320.0,70711.06001418999,10130.59,994.5516920599999,923.13,1699.0,7674.245399179999,598.11
2013-01-01,Monthly,424312.614,633545.829,12146.083,515.8910000000001,15334.939999999999,3694.7,86450.42000000001,164510.57,9612.18,1548.81550857,1258.0900000000001,78115.03,5586.83,1235.0,1416.15,1462.0,5182.15,3200.2799999999997
2013-02-01,Monthly,310547.089,570298.524,9911.347,397.51200000000006,16699.64,2560.35,59826.51,134272.13,5770.41,966.6168550799999,1730.0,81034.38,4202.18,1332.0,851.5899999999999,1018.0,6095.1900000000005,785.46
2013-03-01,Monthly,347116.132,636480.8319999999,8352.432,365.209,22722.36,3376.0,91771.03,129724.33000000002,5582.43,1429.05,1300.0,99424.51999999999,3311.0,1652.55,1112.71,1345.0,6968.26,318.3
2013-04-01,Monthly,325818.444,598479.105,11218.95,344.633,16876.06,2717.75,105728.38,103585.87,9873.369999999999,1199.5346,940.0,100146.64,2271.67,13485.67,1028.3899999999999,1145.0,6891.49,3709.31
2013-05-01,Monthly,349066.31299999997,635960.937,7708.8859999999995,573.722,22635.356,2616.3,83378.28,90361.79,8081.45,1033.5700000000002,560.0,99255.59,165.16,28608.75,271.04999999999995,1185.0,11182.529999999999,913.31
2013-06-01,Monthly,313313.915,571566.7019999999,7196.886,143.744,22050.866,2534.55,95528.9,88152.64,5898.469999999999,939.27,11754.0,94077.41,3899.7200000000003,23660.34,493.0,1288.0,9061.01,1849.31
2013-07-01,Monthly,424429.69800000003,709717.5700000001,7479.142,186.764,16421.767,2355.95,121920.23,102143.8,8219.98,1695.59,2840.98,89949.08,1532.87,26535.32,289.77000000000004,1110.0,7820.639999999999,2132.18
2013-08-01,Monthly,377952.015,634238.6669999999,6407.832,192.16899999999998,20334.28,2319.2,112049.65,96511.57999999999,5881.98,3990.16,1100.0,94935.16,4296.2,22567.05,622.0699999999999,1304.97,7405.68,1237.31
2013-09-01,Monthly,406474.017,630093.466,4992.889999999999,182.773,24975.739999999998,3546.51,97975.79000000001,96380.65,8018.92,7395.6900000000005,4250.0,104340.48999999999,3107.09,19485.01,473.98,1087.0,8989.02,1536.31
2013-10-01,Monthly,417052.86,630936.643,6877.534,219.68200000000002,17771.717,3075.33,103296.68,115672.25,5881.45,8312.76,1000.0,95705.39,3417.0,18880.12,0.0,1528.0,5684.26,904.12
2013-11-01,Monthly,342796.23,545712.158,4316.624,231.754,23512.753,3013.42,97297.38999999998,110629.48,7179.82,6855.36,380.0,82194.39000000001,1775.0,15503.03,0.0,1356.0,8163.57,624.69
2013-12-01,Monthly,413016.54000000004,615490.326,4380.591,206.697,29705.506999999998,2570.33,114805.16,152194.04,8249.57,1501.62,280.0,105847.57999999999,3884.73,17058.82,117.01,1710.0,5773.49,611.31
2014-01-01,Monthly,363074.24,589326.039,7197.466,227.11,19638.076,3126.2299999999996,90500.35999999999,139167.68,9729.01,1168.0,1290.0,100104.82,2415.0,18755.1,0.0,1438.0,5119.3,1417.08
