date,frequency,usd_rm_spot,usd_rm_swap,bank_of_interbank_transactions_in_the_foreign_exchange_market_usd_rm_total,usd_sgd_spot,usd_sgd_swap,bank_of_interbank_transactions_in_the_foreign_exchange_market_usd_sgd_total,usd_jpy_spot,usd_jpy_swap,bank_of_interbank_transactions_in_the_foreign_exchange_market_usd_jpy_total,gbp_usd_spot,gbp_usd_swap,bank_of_interbank_transactions_in_the_foreign_exchange_market_gbp_usd_total,usd_spot,usd_swap,bank_of_interbank_transactions_in_the_foreign_exchange_market_usd_total,usd_spot_1,usd_swap_1,bank_of_interbank_transactions_in_the_foreign_exchange_market_rm_million_total
1993-01-01,Annual,150072.9,108137.6,258210.5,14293.9,1708.2,16002.1,74213.1,0.0,74213.1,3098.9,0.0,3098.9,91333.0,0.0,91333.0,1384.7,0.0,1384.7
1994-01-01,Annual,234940.9,121518.3,356459.2,14776.1,1167.6,15943.7,81191.2,44.2,81235.4,5021.0,0.0,5021.0,108069.6,0.0,108069.6,778.4,0.0,778.4
1995-01-01,Annual,260893.4,309003.1,569896.5,13446.2,2551.7,15997.9,60294.9,0.0,60294.9,2398.2,0.0,2398.2,70364.7,0.0,70364.7,119.8,0.0,119.8
1996-01-01,Annual,288823.8,397669.7,686493.5,10782.3,2491.3,13273.6,52404.7,0.0,52404.7,224.1,0.0,224.1,48523.5,0.0,48523.5,141.9,0.0,141.9
1997-01-01,Annual,297015.6,917559.3,1214574.9,12514.5,1461.7,13976.2,31993.7,0.2,31993.9,149.9,204.5,354.4,57242.5,12.5,57255.0,54.5,0.0,54.5
1998-01-01,Annual,238765.1,464716.9,703482.0,12636.4,2093.9,14730.3,29365.2,104.6,29469.8,358.3,16.6,374.9,153927.9,106.8,154034.7,75.8,0.0,75.8
1999-01-01,Annual,61458.4,162821.3,224279.7,64877.0,2411.1,67288.1,35062.4,12.7,35075.1,1021.9,115.2,1137.1,27134.7,26.3,27161.0,4.0,0.0,4.0
1999-01-01,Monthly,4477.6,13764.0,18241.6,2885.5,48.8,2934.3,3321.2,0.2,3321.4,30.2,0.0,30.2,2290.2,8.8,2299.0,0.0,0.0,0.0
1999-02-01,Monthly,5311.0,9422.8,14733.8,4598.7,117.9,4716.6,2014.9,0.0,2014.9,4.9,0.0,4.9,2115.0,0.0,2115.0,0.0,0.0,0.0
1999-03-01,Monthly,5310.8,20252.5,25563.3,7684.1,62.1,7746.2,3084.8,0.0,3084.8,12.1,7.4,19.5,2084.2,8.3,2092.5,0.0,0.0,0.0
1999-04-01,Monthly,5805.0,17199.9,23004.9,5642.4,147.2,5789.6,4962.8,0.0,4962.8,67.3,22.5,89.8,2328.9,1.2,2330.1,0.0,0.0,0.0
1999-05-01,Monthly,6148.1,14938.3,21086.4,5412.9,108.0,5520.9,4950.3,0.0,4950.3,110.3,0.0,110.3,3487.8,0.0,3487.8,0.0,0.0,0.0
