date,frequency,labour_market_indicators_for_the_financial_services_sector,total_number_of_employees,number_of_job_vacancies,new_job_created,new_hires_and_recalls,labour_market_indicators_for_the_financial_services_sector_separations_total,quits_and_resignation_except_retirement,layoffs_and_discharges,other_separations
2016-01-01,Annual,,164463,5227,6624,,,,,
2016-01-01,Quarterly,,164435,4268,1554,,,,,
2016-01-01,Monthly,,164350,3886,544,,,,,
2016-02-01,Monthly,,164099,4213,518,,,,,
2016-03-01,Monthly,,164435,4268,492,,,,,
2016-04-01,Quarterly,,163569,4379,1421,6794.0,6538.0,5369.0,504.0,665.0
2016-04-01,Monthly,,164074,4363,488,2151.0,2190.0,1786.0,191.0,213.0
2016-05-01,Monthly,,163781,4292,503,2058.0,2206.0,1845.0,157.0,204.0
2016-06-01,Monthly,,163569,4379,430,2585.0,2142.0,1738.0,156.0,248.0
2016-07-01,Quarterly,,164079,5467,1994,7729.0,6561.0,5514.0,406.0,641.0
2016-07-01,Monthly,,163732,4723,662,2840.0,2319.0,1973.0,126.0,220.0
2016-08-01,Monthly,,163888,5685,733,2407.0,2146.0,1754.0,167.0,225.0
2016-09-01,Monthly,,164079,5467,599,2482.0,2096.0,1787.0,113.0,196.0
2016-10-01,Quarterly,,164463,5227,1655,7160.0,6284.0,5341.0,446.0,497.0
2016-10-01,Monthly,,164518,5461,603,2522.0,2024.0,1727.0,125.0,172.0
2016-11-01,Monthly,,165062,5132,558,2652.0,2104.0,1828.0,133.0,143.0
2016-12-01,Monthly,,164463,5227,494,1986.0,2156.0,1786.0,188.0,182.0
2017-01-01,Annual,,164884,5609,7200,27165.0,25702.0,20092.0,1938.0,3672.0
2017-01-01,Quarterly,,165318,6030,2309,6347.0,5608.0,4723.0,351.0,534.0
2017-01-01,Monthly,,165119,5873,855,2148.0,1872.0,1549.0,165.0,158.0
2017-02-01,Monthly,,165209,5671,724,1990.0,1716.0,1456.0,86.0,174.0
2017-03-01,Monthly,,165318,6030,730,2209.0,2020.0,1718.0,100.0,202.0
2017-04-01,Quarterly,,165144,5892,1745,6936.0,6925.0,5489.0,421.0,1015.0
2017-04-01,Monthly,,165257,5936,546,2304.0,2158.0,1776.0,167.0,215.0
2017-05-01,Monthly,,165640,6061,767,2521.0,2529.0,1946.0,152.0,431.0
2017-06-01,Monthly,,165144,5892,432,2111.0,2238.0,1767.0,102.0,369.0
2017-07-01,Quarterly,,165053,5857,1976,7208.0,6752.0,5253.0,391.0,1108.0
2017-07-01,Monthly,,165063,6205,927,2319.0,2258.0,1881.0,149.0,228.0
2017-08-01,Monthly,,164982,6280,648,2457.0,2319.0,1727.0,134.0,458.0
2017-09-01,Monthly,,165053,5857,401,2432.0,2175.0,1645.0,108.0,422.0
2017-10-01,Quarterly,,164884,5609,1170,6674.0,6417.0,4627.0,775.0,1015.0
2017-10-01,Monthly,,165035,5999,488,2299.0,2116.0,1521.0,254.0,341.0
2017-11-01,Monthly,,165328,5789,383,2562.0,2154.0,1507.0,249.0,398.0
2017-12-01,Monthly,,164884,5609,299,1813.0,2147.0,1599.0,272.0,276.0
2018-01-01,Annual,,165888,6090,4953,26286.0,24949.0,18620.0,2885.0,3444.0
2018-01-01,Quarterly,,164216,5836,1458,6282.0,6419.0,4379.0,1101.0,939.0
2018-01-01,Monthly,,164681,5672,560,2272.0,2193.0,1503.0,291.0,399.0
2018-02-01,Monthly,,164141,5921,469,1903.0,2264.0,1344.0,637.0,283.0
2018-03-01,Monthly,,164216,5836,429,2107.0,1962.0,1532.0,173.0,257.0
2018-04-01,Quarterly,,165628,6099,1323,6883.0,6461.0,5027.0,639.0,795.0
2018-04-01,Monthly,,165653,6011,356,2383.0,2266.0,1632.0,363.0,271.0
2018-05-01,Monthly,,165718,6449,620,2208.0,2043.0,1634.0,135.0,274.0
2018-06-01,Monthly,,165628,6099,347,2292.0,2152.0,1761.0,141.0,250.0
2018-07-01,Quarterly,,165477,6219,1128,6740.0,6552.0,4939.0,805.0,808.0
2018-07-01,Monthly,,165419,6140,428,2348.0,2558.0,1744.0,516.0,298.0
2018-08-01,Monthly,,165382,6257,383,2117.0,2120.0,1722.0,127.0,271.0
