date,frequency,life_direct_insurers,paid_up_capital,premium_share_premium_account,reserves,retained_profit_loss,shareholders_equity_total,assets_revaluation_reserves,other_liabilities,total_liabilities,property_plant_and_equipment,loans,malaysian_government_papers_guaranteed_loans,corporate_debt_securities,other_investments,investments_total,investment_properties,cash_and_deposits,other_assets,foreign_assets,total_assets
2009-01-01,Semi-annual,53202.4,1426.0,16.0,5.3,512.3,1959.6,2027.5,5765.6,62955.0,790.2,5272.8,10077.6,34752.3,1548.4,46378.3,839.7,7091.9,1133.4,1448.8,62955.0
2009-01-01,Semi-annual,3260.7,3599.3,620.4,302.4,1305.7,5827.8,111.8,8091.6,17485.2,578.1,121.0,2524.8,5045.7,378.0,7948.5,119.8,6437.7,2239.8,40.4,17485.2
2009-01-01,Semi-annual,50179.1,1084.1,42.5,64.8,2337.4,3528.8,499.6,8048.4,62128.3,937.4,6738.3,9202.5,32621.5,1085.5,42909.5,1742.1,6851.1,1766.8,1183.1,62128.3
2009-01-01,Semi-annual,53202.4,1426.0,16.0,5.3,512.3,1959.6,2027.5,5765.6,62955.0,790.2,5272.8,10077.6,34752.3,1548.4,46378.3,839.7,7091.9,1133.4,1448.8,62955.0
2009-01-01,Semi-annual,3336.0,3599.3,620.4,302.4,1305.7,5827.8,125.0,8279.4,17927.3,578.1,121.0,2524.8,5046.3,378.0,7949.2,119.8,6502.5,2241.4,415.4,17927.3
2009-01-01,Semi-annual,50182.3,1084.1,42.5,64.8,2337.4,3528.8,499.7,8094.7,62233.6,937.5,6738.3,9207.2,32621.5,1085.5,42914.3,1742.1,6942.5,1775.9,1183.1,62233.6
2009-01-01,Semi-annual,556.6,301.0,500.0,-0.1,142.5,943.4,14.4,989.3,2476.9,99.9,9.0,170.4,900.8,64.3,1135.5,56.7,875.7,299.8,0.3,2476.9
2009-07-01,Semi-annual,55138.1,1426.0,16.0,29.7,1180.3,2652.0,3137.1,6252.5,67179.8,799.5,5426.6,10308.7,38688.5,1356.3,50353.6,894.9,6588.5,1161.0,1955.8,67179.8
2009-07-01,Semi-annual,3219.1,3430.3,620.4,284.4,2096.2,6431.3,92.5,7813.4,17472.2,553.2,103.5,2606.6,4997.9,864.8,8469.2,124.4,6182.1,1990.9,48.8,17472.2
2009-07-01,Semi-annual,53062.7,1084.1,42.5,81.6,3187.6,4395.8,1229.1,7558.8,66187.4,1003.9,6275.9,9536.6,36760.3,1263.5,47560.4,1730.9,6604.6,1567.0,1444.6,66187.4
2009-07-01,Semi-annual,55138.1,1426.0,16.0,29.7,1180.3,2652.0,3137.1,6252.5,67179.8,799.5,5426.6,10308.7,38688.5,1356.3,50353.6,894.9,6588.5,1161.0,1955.8,67179.8
2009-07-01,Semi-annual,3243.2,3430.3,620.4,284.4,2096.2,6431.3,92.5,7879.3,17664.5,553.2,103.5,2606.6,5011.3,864.8,8482.6,124.4,6251.4,1992.3,157.1,17664.5
2009-07-01,Semi-annual,53123.0,1084.1,42.5,81.6,3187.6,4395.8,1230.5,7725.9,66531.6,1003.9,6275.9,9541.4,36761.1,1263.5,47566.0,1730.9,6614.6,1573.0,1767.2,66531.6
2009-07-01,Semi-annual,574.9,801.0,0.0,0.6,163.7,965.3,16.9,1029.1,2630.8,96.6,8.3,193.0,917.5,94.4,1204.9,83.4,895.6,324.5,17.5,2630.8
2010-01-01,Semi-annual,57672.0,1429.6,16.0,39.4,722.5,2207.5,3447.7,6404.1,69731.3,787.1,5347.8,10127.3,41774.3,1382.9,53284.5,894.8,6129.8,1170.7,2116.6,69731.3
2010-01-01,Semi-annual,3421.3,3483.1,692.0,272.1,2095.3,6542.5,95.1,8348.9,18815.4,549.5,96.8,2538.3,4658.3,2094.6,9291.2,112.7,6540.7,2180.3,44.2,18815.4
2010-01-01,Semi-annual,55273.6,1084.1,42.5,92.7,3015.9,4235.2,1757.6,8304.2,69473.7,993.6,5929.0,10410.7,38930.2,1530.1,50871.0,1691.2,6635.3,1838.7,1514.9,69473.7
2010-01-01,Semi-annual,57672.0,1429.6,16.0,39.4,722.5,2207.5,3447.7,6404.1,69731.3,787.1,5347.8,10127.3,41774.3,1382.9,53284.5,894.8,6129.8,1170.7,2116.6,69731.3
2010-01-01,Semi-annual,3447.7,3483.1,692.0,272.1,2095.3,6542.5,110.2,8407.5,18997.0,549.5,96.8,2538.3,4672.7,2094.6,9305.6,112.7,6605.9,2181.6,144.9,18997.0
2010-01-01,Semi-annual,55320.7,1084.1,42.5,92.7,3015.9,4235.2,1750.5,8463.9,69793.8,993.6,5929.0,10415.6,38931.0,1530.1,50876.6,1691.2,6646.9,1838.8,1817.6,69793.8
2010-01-01,Semi-annual,410.4,801.0,0.0,19.7,234.4,1055.0,1.0,1290.8,2787.8,94.5,7.3,205.0,1070.2,101.5,1376.7,83.4,849.5,368.6,7.8,2787.8
2010-07-01,Semi-annual,59297.7,1605.6,16.0,48.8,1249.1,2919.5,5054.8,7754.1,75026.2,863.8,5788.8,11343.7,45095.2,1388.5,57827.4,1100.8,4952.9,1544.4,2948.1,75026.2
2010-07-01,Semi-annual,3464.4,3644.3,1320.7,334.1,2674.4,7973.5,130.3,8899.4,20633.7,564.4,92.2,2700.5,5107.5,2338.0,10145.9,116.8,6818.1,2834.6,61.6,20633.7
