date,frequency,life_insurance_companies_total_capital_available,life_insurance_companies_total_capital_required,life_insurance_companies_capital_adequacy_ratio,am_general_insurance_companies_total_capital_available,am_general_insurance_companies_total_capital_required,am_general_insurance_companies_capital_adequacy_ratio,total_capital_available,total_capital_required,composite2_insurance_companies_capital_adequacy_ratio,total_capital_available_1,total_capital_required_1,rm_million_capital_adequacy_ratio
2009-01-01,Semi-annual,6118.7,2653.6,230.6,7050.0,4015.1,175.6,15017.0,6604.5,227.4,28185.7,13273.2,212.4
2009-07-01,Semi-annual,8448.7,3327.6,253.9,7500.6,3894.3,192.6,16640.3,7217.7,230.5,32589.5,14439.5,225.7
2010-01-01,Semi-annual,9577.6,3960.9,241.8,7629.5,3801.0,200.7,17318.8,7768.3,222.9,59569.1,21742.3,262.2
2010-07-01,Semi-annual,8460.0,3495.8,242.0,8639.9,4162.1,207.6,16563.8,7269.1,227.9,33663.7,14927.0,225.5
2011-01-01,Semi-annual,8316.0,3633.4,228.9,9191.2,4220.2,217.8,16676.6,7473.9,223.1,34183.8,15327.5,223.0
2011-07-01,Semi-annual,8296.1,3658.0,226.8,9579.8,4333.5,221.1,18475.1,8422.5,219.4,36351.0,16414.0,221.0
2012-01-01,Semi-annual,8523.1,3844.2,221.7,10035.3,4485.8,223.7,18521.1,8783.1,210.9,37079.5,17113.2,216.7
2012-07-01,Semi-annual,11085.3,4575.8,242.3,10580.7,4643.9,227.8,19292.7,9204.7,209.6,40958.7,18424.4,222.3
2013-01-01,Semi-annual,12281.9,5011.4,245.1,10946.3,4796.7,228.2,23171.8,10409.4,222.6,46400.0,20217.4,229.5
2013-07-01,Semi-annual,13113.3,5022.6,261.1,11628.9,4955.0,234.7,14796.8,6100.0,242.6,39539.1,16077.7,245.9
2014-01-01,Semi-annual,13250.0,5119.9,258.8,12131.4,4646.7,261.1,14922.9,6443.8,231.6,40304.3,16210.3,248.6
2014-07-01,Semi-annual,13474.8,5184.4,259.9,12615.9,4609.9,273.7,23664.4,9956.0,237.7,49755.1,19750.4,251.9
2015-01-01,Semi-annual,12978.7,5574.1,232.8,12998.7,4939.0,263.2,22921.4,9944.1,230.5,48898.9,20457.2,239.0
2015-07-01,Semi-annual,35469.7,13541.5,261.9,13138.9,5108.8,257.2,22541.8,9629.6,234.1,71150.4,28280.0,251.6
2016-01-01,Semi-annual,14614.7,6304.3,231.8,13842.8,5361.4,258.2,23371.9,10401.0,224.7,51829.5,22066.7,234.9
2016-07-01,Semi-annual,35445.8,14440.2,245.5,14334.1,5415.7,264.7,24032.8,9879.1,243.3,73812.7,29735.0,248.2
2017-01-01,Semi-annual,15857.2,6725.5,235.8,14939.1,5672.9,263.3,26052.0,11443.9,227.7,56848.3,23842.3,238.4
2017-07-01,Semi-annual,42769.2,18589.9,230.1,15359.9,5724.0,268.3,21436.8,9441.8,227.0,79565.9,33755.7,235.7
2018-01-01,Semi-annual,61558.8,26166.5,230.6,17518.9,6523.8,268.5,,,,79077.7,32690.3,241.1
2018-07-01,Semi-annual,60834.3,25875.5,235.1,17878.2,6513.1,274.5,,,,78712.4,32388.6,243.0
2019-01-01,Semi-annual,63270.7,28250.7,224.0,18650.8,6712.0,277.9,,,,81921.5,34962.6,234.3
2019-07-01,Semi-annual,59779.6,27482.2,217.5,19209.5,6898.6,278.5,,,,78989.2,34380.7,229.7
2020-01-01,Semi-annual,57510.8,27224.3,211.2,19791.0,6968.2,284.0,,,,77301.8,34192.5,226.1
2020-07-01,Semi-annual,58701.9,28814.5,203.7,20154.4,7159.2,281.5,,,,78856.3,35973.7,219.2
2021-01-01,Quarterly,58685.2,28518.9,205.8,19736.8,7344.0,268.7,,,,78422.0,35862.9,218.7
2021-04-01,Quarterly,58583.5,28254.7,207.3,20031.0,7375.3,271.6,,,,78614.5,35630.0,220.6
2021-07-01,Quarterly,59315.1,28060.6,211.4,20099.7,7463.8,269.3,,,,79414.8,35524.4,223.5
2021-10-01,Quarterly,57993.9,27535.0,210.6,19848.7,7633.7,260.0,,,,77842.6,35168.7,221.3
2022-01-01,Quarterly,58794.1,27248.5,215.8,20200.8,7875.3,256.5,,,,78994.9,35123.8,224.9
2022-04-01,Quarterly,54700.4,25383.8,215.5,19725.5,7904.7,249.5,,,,74425.9,33288.5,223.6
2022-07-01,Quarterly,53625.8,24888.4,215.5,19805.6,8049.2,246.1,,,,73431.5,32937.6,222.9
2022-10-01,Quarterly,55705.3,25904.9,215.0,20885.2,8083.6,258.4,,,,76590.5,33988.4,225.3
2023-01-01,Quarterly,57861.1,26801.3,215.9,21513.7,8273.7,260.0,,,,79374.9,35075.0,226.3
2023-04-01,Quarterly,56690.7,26620.2,213.0,21149.0,8312.7,254.4,,,,77839.6,34932.9,222.8
2023-07-01,Quarterly,57663.6,26503.9,217.6,21220.7,8254.0,257.1,,,,78884.3,34757.8,227.0
2023-10-01,Quarterly,56541.5,27161.8,208.2,21900.3,8329.8,262.9,,,,78441.7,35491.6,221.0
2024-01-01,Quarterly,60716.0,27698.7,219.2,22547.7,8553.0,263.6,,,,83263.7,36251.7,229.7
2024-04-01,Quarterly,61019.0,27859.6,219.0,22084.1,8720.2,253.3,,,,83103.1,36579.7,227.2
2024-07-01,Quarterly,62201.4,28315.7,219.7,22626.7,8806.3,256.9,,,,84828.1,37122.0,228.5
2024-10-01,Quarterly,60923.1,28431.0,214.3,22697.5,8800.0,257.9,,,,83620.7,37231.0,224.6
2025-01-01,Quarterly,60067.6,27695.9,216.9,23274.4,8974.1,259.4,,,,83342.0,36669.9,227.3
2025-04-01,Quarterly,59997.8,28464.2,210.8,23279.3,9176.2,253.7,,,,83277.1,37640.5,221.2
2025-07-01,Quarterly,62505.4,29136.1,214.5,23757.0,9222.3,257.6,,,,86262.4,38358.4,224.9
2025-10-01,Quarterly,62184.6,29267.2,212.5,24348.6,9265.5,262.8,,,,86533.2,38532.7,224.6
