date,frequency,takaful_family_direct_takaful_operators,paid_up_capital,premium_share_premium_account,reserves,retained_profit_loss,shareholders_equity_total,assets_revaluation_reserves,other_liabilities,total_liabilities,cash_and_deposits,government_islamic_papers_malaysian_government_guaranteed_financing,islam_islamic_private_debt_securities_and_equities,other_investments,investments_total,investment_properties,financing,property_plant_and_equipment,other_assets,foreign_assets,total_assets
2009-01-01,Semi-annual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-01,Semi-annual,9740.2,916.6,45.3,0.0,343.5,1305.5,0.0,1728.4,12774.1,3585.4,1224.0,6091.2,686.3,8001.5,314.6,98.5,87.1,653.5,33.5,12774.1
2009-01-01,Semi-annual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-01,Semi-annual,9740.7,916.6,45.3,0.0,343.5,1305.5,0.0,1727.9,12774.1,3585.4,1224.0,6091.2,686.3,8001.5,314.6,98.5,87.1,653.5,33.5,12774.1
2009-07-01,Semi-annual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-07-01,Semi-annual,10554.8,916.6,45.3,0.0,371.6,1333.5,0.0,1750.4,13638.7,3924.7,1366.1,6675.1,648.1,8689.4,323.4,100.3,86.3,480.1,34.5,13638.7
2009-07-01,Semi-annual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-07-01,Semi-annual,10555.7,916.6,45.3,0.0,371.6,1333.5,0.0,1749.9,13639.1,3924.7,1366.1,6675.1,648.1,8689.4,323.4,100.3,86.3,480.5,34.5,13639.1
2010-01-01,Semi-annual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-01,Semi-annual,11444.6,916.6,45.3,0.6,429.8,1392.3,14.7,2136.2,14987.8,3949.2,1550.5,7453.7,751.0,9755.2,345.9,105.2,98.1,713.2,21.0,14987.8
2010-01-01,Semi-annual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-01,Semi-annual,11444.9,916.6,45.3,0.6,429.8,1392.3,14.7,2135.9,14987.9,3949.2,1550.5,7453.7,751.0,9755.2,345.9,105.2,98.1,713.2,21.0,14987.9
2010-07-01,Semi-annual,12.0,100.0,0.0,0.0,-4.9,95.1,0.0,7.1,114.2,95.8,4.0,1.9,12.0,17.9,0.0,0.0,0.4,0.1,0.0,114.2
2010-07-01,Semi-annual,12121.8,916.6,78.3,5.7,431.7,1432.3,50.7,2555.2,16160.0,3479.3,2396.5,8204.4,716.9,11317.8,349.8,96.4,93.6,801.7,21.3,16160.0
2010-07-01,Semi-annual,12.0,100.0,0.0,0.0,-4.9,95.1,0.0,7.1,114.2,95.8,4.0,1.9,12.0,17.9,0.0,0.0,0.4,0.1,0.0,114.2
