date,frequency,takaful_family_takaful_operators_total_capital_available,takaful_family_takaful_operators_total_capital_required,takaful_family_takaful_operators_capital_adequacy_ratio,takaful_am_general_takaful_operators_total_capital_available,takaful_am_general_takaful_operators_total_capital_required,takaful_am_general_takaful_operators_capital_adequacy_ratio,total_capital_available,total_capital_required,takaful_composite2_takaful_operators_capital_adequacy_ratio,consolidated_industry_total_capital_available,consolidated_industry_total_capital_required,rm_million_capital_adequacy_ratio
2013-01-01,Semi-annual,,,,,,,4386.521236288537,2779.3082156715254,157.82780806945092,4921.537620222678,2922.680204680936,168.39124623831205
2013-07-01,Semi-annual,,,,,,,4846.696792293343,2685.953443363436,180.44604623616095,5336.230133311794,2842.062553803998,187.7590669554209
2014-01-01,Semi-annual,,,,,,,5281.634283348839,2895.741986265346,182.39312440127276,5801.2400115541295,3042.2475652840644,190.6892811010418
2014-07-01,Semi-annual,,,,,,,5507.13907099314,2984.3032121128886,184.53684761790953,5960.128620165778,3133.8453613962115,190.1857919852938
2015-01-01,Semi-annual,,,,,,,5967.4234073346925,3274.178645464857,182.25711097347462,6424.391363089567,3425.9599286813673,187.52091375342732
2015-07-01,Semi-annual,,,,,,,5965.054654239957,3202.9000248725324,186.23917724304715,6416.273278786182,3348.4040092681125,191.62183718053302
2016-01-01,Semi-annual,,,,,,,6433.772430816948,3522.7352033445945,182.63570945407776,6881.7433562993465,3668.6855148710792,187.580628767554
2016-07-01,Semi-annual,,,,,,,6811.787247473331,3392.2989216565466,200.80150378218912,7288.92570533462,3536.2234787579027,206.12174963260105
2017-01-01,Semi-annual,,,,,,,7176.675276987322,3478.269176573485,206.32892144526932,7645.043334076206,3618.9557401397456,211.24998157012533
2017-07-01,Semi-annual,,,,,,,7049.799188029352,3390.5961708395034,207.92211259661272,7509.670643380687,3513.2986776851926,213.74984970900863
2018-01-01,Semi-annual,4856.256473939613,2233.9141034307013,217.3877888358235,1759.1611630588338,779.24355537235,225.75241731941495,2222.576135485734,872.0095851059873,254.87978268215866,8837.99377248418,3885.1672439090385,227.4803944756799
2018-07-01,Semi-annual,6947.549898654126,2922.80241345324,237.701661483361,2723.2918451201363,927.2953395781371,293.68117458231467,,,,9670.841743774263,3850.0977530313776,251.1843169737682
2019-01-01,Semi-annual,7493.913130652576,3735.147393514577,200.63232695085694,2817.2359133112736,1131.9820857408195,248.87636905203752,,,,10311.14904396385,4867.129479255396,211.85277868427104
2019-07-01,Semi-annual,7885.521803541931,3848.8147437724347,204.88182280794578,3113.92520957085,1148.6457806862186,271.095342178556,,,,10999.447013112782,4997.460524458653,220.10072834550886
2020-01-01,Semi-annual,8067.80957928435,3654.5623233305632,220.75993964529795,3166.7767445176974,1021.8155957189748,309.9166579356694,,,,11234.586323802047,4676.377919049538,240.24119774488733
2020-07-01,Semi-annual,8398.48524808858,3887.6095226109583,216.03211946162926,3306.949942539587,1158.1552953661785,285.53596877472427,,,,11705.435190628166,5045.764817977137,231.98535034617237
