date,frequency,business_within_malaysia,amount_due_from_clients_intermediaries_reinsurers,malaysia_government_papers_and_guaranteed_loans,corporate_debt_and_securities,others,investments_total,investment_properties,loans,property_plant_and_equipment,other_assets,foreign_assets,rm_million_total
2009-01-01,Semi-annual,7453.8,1606.5,4200.0,6810.4,504.5,11514.9,204.4,177.8,746.1,716.1,75.0,22494.5
2009-01-01,Semi-annual,7891.9,1690.6,4641.0,6887.7,504.5,12033.2,204.4,177.8,746.2,782.0,539.1,24065.1
2009-07-01,Semi-annual,7158.1,1359.6,4393.6,6921.2,1031.5,12346.2,233.9,179.2,792.1,665.2,79.2,22813.4
2009-07-01,Semi-annual,7508.1,1500.3,4858.1,7012.0,1031.5,12901.5,233.9,179.2,792.1,751.2,621.8,24488.2
2010-01-01,Semi-annual,8074.4,1858.0,4738.2,6680.8,1810.1,13229.1,217.8,122.2,721.0,794.3,564.1,25581.0
2010-01-01,Semi-annual,7686.9,1720.3,4294.7,6589.0,1810.1,12693.7,217.8,122.2,721.0,719.4,61.1,23942.4
2010-07-01,Semi-annual,7713.3,1574.5,4481.6,6881.1,2112.0,13474.8,222.1,115.6,719.5,833.0,80.1,24732.9
2010-07-01,Semi-annual,8181.1,1718.6,4941.0,6973.4,2112.0,14026.5,222.1,115.6,719.5,931.4,611.3,26526.1
2011-01-01,Semi-annual,7779.7,2088.2,4701.7,6824.3,2507.2,14033.2,213.3,99.8,728.5,971.1,73.4,25987.2
2011-01-01,Semi-annual,8276.5,2262.6,5182.6,6917.5,2507.2,14607.3,213.3,99.8,728.5,1055.9,620.1,27864.1
2011-07-01,Semi-annual,7511.6,1928.0,5174.8,6852.2,2800.4,14827.5,174.8,90.2,715.6,1079.4,59.0,26386.1
2011-07-01,Semi-annual,8029.8,2080.5,6239.0,6955.1,2800.4,15994.4,174.8,90.2,715.6,1182.7,638.4,28906.6
2012-01-01,Semi-annual,7665.7,2167.3,5400.3,6458.1,3467.4,15325.7,167.8,108.5,749.2,1081.2,56.1,27321.4
2012-01-01,Semi-annual,8137.0,2562.7,6377.6,6558.4,3467.4,16403.4,167.8,108.5,749.2,1195.7,665.1,29989.4
2012-07-01,Semi-annual,7109.2,2102.8,5591.2,6960.4,4325.5,16877.1,146.0,101.3,688.2,1105.8,49.1,28179.6
2012-07-01,Semi-annual,7715.4,2421.3,6561.2,7066.0,4325.9,17953.1,146.0,101.3,688.2,1264.7,706.4,30996.5
2013-01-01,Semi-annual,7252.0,2468.4,5528.1,7050.3,4959.1,17537.5,149.7,91.7,720.9,1400.9,33.3,29654.5
