date,frequency,business_within_malaysia,premium_gross_direct_premiums,premium_net_premiums,retention_ratio
2009-01-01,Semi-annual,5100.7,5948.2,4669.4,91.5
2009-01-01,Semi-annual,5460.7,6055.0,4983.2,91.3
2009-07-01,Semi-annual,10184.1,11531.2,9376.9,92.1
2009-07-01,Semi-annual,10985.0,11751.5,10097.8,91.9
2010-01-01,Semi-annual,5946.2,6646.2,5442.8,91.5
2010-01-01,Semi-annual,5575.4,6547.5,5110.8,91.7
2010-07-01,Semi-annual,10981.1,12584.7,10127.9,92.2
2010-07-01,Semi-annual,11811.9,12768.3,10889.8,92.2
2011-01-01,Semi-annual,5995.3,7092.2,5523.8,92.1
2011-01-01,Semi-annual,6426.6,7189.3,5918.8,92.1
2011-07-01,Semi-annual,11733.4,13604.9,10861.7,92.6
2011-07-01,Semi-annual,12692.4,13794.3,11651.9,91.8
2012-01-01,Semi-annual,6443.4,7663.1,5909.8,91.7
2012-01-01,Semi-annual,7058.5,7759.4,6456.7,91.5
2012-07-01,Semi-annual,12792.8,14692.2,11790.3,92.2
2012-07-01,Semi-annual,14119.8,14873.7,12940.6,91.6
2013-01-01,Semi-annual,7038.6,8123.4,6531.4,92.8
2013-01-01,Semi-annual,7804.0,8214.9,7134.9,91.4
2013-07-01,Semi-annual,15528.8,15911.0,14316.2,92.2
2013-07-01,Semi-annual,13833.7,15725.2,12930.7,93.5
2014-01-01,Semi-annual,7519.6,8647.4,7056.3,93.8
2014-01-01,Semi-annual,8518.0,8753.9,7849.6,92.2
2014-07-01,Semi-annual,16824.1,16896.0,15396.7,91.5
2014-07-01,Semi-annual,14737.2,16677.7,13690.9,92.9
2015-01-01,Semi-annual,8894.5,8979.4,8178.1,91.9
2015-01-01,Semi-annual,7770.0,8887.2,7244.5,93.2
2015-07-01,Semi-annual,17271.1,17225.9,15831.6,91.7
2015-07-01,Semi-annual,14977.2,17088.5,13935.5,93.0
2016-01-01,Semi-annual,8887.2,9162.5,8129.2,91.5
2016-01-01,Semi-annual,7830.6,9120.3,7232.2,92.4
2016-07-01,Semi-annual,17672.4,17321.4,16167.9,91.5
2016-07-01,Semi-annual,15228.2,17246.6,14052.9,92.3
2017-01-01,Semi-annual,7949.2,8954.7,7249.6,91.2
2017-01-01,Semi-annual,9076.7,8989.8,8183.6,90.2
2017-07-01,Semi-annual,15513.4,17233.5,14153.9,91.2
2017-07-01,Semi-annual,17957.8,17299.8,16249.3,90.5
2018-01-01,Semi-annual,9130.0,9071.4,8310.3,91.0
2018-01-01,Semi-annual,8064.4,9038.2,7450.6,92.4
2018-07-01,Semi-annual,15847.6,17551.5,14623.1,92.3
2018-07-01,Semi-annual,17968.4,17626.8,16421.0,91.4
2019-01-01,Semi-annual,7861.7,8915.4,7360.9,93.6
2019-01-01,Semi-annual,9035.8,8964.3,8375.2,92.7
2019-07-01,Semi-annual,17899.7,17510.7,16598.9,92.7
2019-07-01,Semi-annual,15465.2,17414.1,14457.8,93.5
2020-01-01,Semi-annual,9236.2,8651.6,8515.6,92.2
2020-01-01,Semi-annual,7518.5,8597.8,6962.0,92.6
2020-07-01,Semi-annual,18649.6,17342.1,17233.1,92.4
2020-07-01,Semi-annual,15409.1,17243.5,14273.1,92.6
2021-01-01,Semi-annual,10250.9,8951.3,9446.1,92.1
2021-01-01,Semi-annual,7837.4,8895.7,7142.8,91.1
2021-07-01,Semi-annual,20631.7,17767.2,18880.2,91.5
2021-07-01,Semi-annual,15683.4,17663.1,14287.0,91.1
2022-01-01,Semi-annual,11739.5,9865.8,8275.3,70.5
2022-01-01,Semi-annual,8524.2,9808.9,7697.2,90.3
2022-07-01,Semi-annual,23524.6,19547.5,16797.1,71.4
2022-07-01,Semi-annual,17202.9,19428.8,15464.8,89.9
2023-01-01,Semi-annual,9105.878303,10526.886532,7996.895276,87.82124041088231
2023-01-01,Semi-annual,12089.198744,10598.564877,8788.227158,72.69486873447003
2023-07-01,Semi-annual,18206.225016,21030.594294,16139.85753,88.65021450529127
2023-07-01,Semi-annual,23944.875805,21168.914701,17663.217388,73.76616831026408
2024-01-01,Semi-annual,9845.619657,11594.493134,8446.158686,85.78595335027983
2024-01-01,Semi-annual,12801.197433,11668.777801,9208.712238,71.9363347545989
2024-07-01,Semi-annual,19622.565392,22501.781918,17046.459182,86.87171550438423
2024-07-01,Semi-annual,25043.603628,22641.787087,18477.64298,73.7818856042789
2025-01-01,Semi-annual,10402.134529,12086.326769,8853.669188,85.11396543966
2025-01-01,Semi-annual,12668.412254,12160.854945,9440.324983,74.51861207010575
2025-07-01,Semi-annual,20691.805979,23620.016987,17948.500051,86.7420662518092
2025-07-01,Semi-annual,25443.165125,23761.246346,19184.663669,75.40203262741669
