date,frequency,business_within_malaysia,premium_liabilities_premium_percentage_of_net_premium,claims_liabilities_rm_million,claims_liabilities_premium_percentage_of_net_premium,technical_reserves_rm_million,technical_reserves_premium_percentage_of_net_premium
2009-01-01,Semi-annual,4539.5,0.9722,8581.8,1.8379,13121.2,2.81
2009-01-01,Semi-annual,4818.9,0.967,9232.5,1.8527,14051.4,2.8198
2009-07-01,Semi-annual,4463.7,0.476,8501.8,0.9067,12965.4,1.3827
2009-07-01,Semi-annual,4789.2,0.4743,9226.2,0.9137,14015.4,1.388
2010-01-01,Semi-annual,4878.6,0.8964,9414.1,1.7297,14292.8,2.626
2010-01-01,Semi-annual,4632.7,0.9064,8613.9,1.6854,13246.6,2.5919
2010-07-01,Semi-annual,4678.4,0.4619,8902.4,0.879,13580.8,1.3409
2010-07-01,Semi-annual,4963.3,0.4558,9733.1,0.8938,14696.4,1.3496
2011-01-01,Semi-annual,5028.0,0.9102,8973.0,1.6244,14001.0,2.5347
2011-01-01,Semi-annual,5329.2,0.9004,9864.6,1.6667,15193.8,2.567
2011-07-01,Semi-annual,5029.4,0.463,9275.6,0.854,14305.1,1.317
2011-07-01,Semi-annual,5368.9,0.4608,10738.8,0.9216,16107.8,1.3824
2012-01-01,Semi-annual,5370.9,0.9088,9644.9,1.632,15015.8,2.5408
2012-01-01,Semi-annual,5760.3,0.8921,11094.7,1.7183,16855.0,2.6104
2012-07-01,Semi-annual,5475.1,0.4644,9922.5,0.8416,15397.5,1.3059
2012-07-01,Semi-annual,5875.5,0.454,11498.2,0.8885,17373.7,1.3426
2013-01-01,Semi-annual,5924.2,0.907,10377.3,1.5888,16301.4,2.4959
2013-01-01,Semi-annual,6368.1,0.8925,12042.7,1.6878,18410.8,2.5804
2013-07-01,Semi-annual,6368.1,0.4448,12455.1,0.87,18823.2,1.3148
2013-07-01,Semi-annual,5843.5,0.4519,10692.8,0.8269,16536.2,1.2788
2014-01-01,Semi-annual,6352.0,0.9002,11231.8,1.5917,17583.8,2.4919
2014-01-01,Semi-annual,6881.1,0.8766,12994.6,1.6554,19875.7,2.5321
2014-07-01,Semi-annual,6879.2,0.4468,13442.0,0.873,20321.2,1.3198
2014-07-01,Semi-annual,6230.2,0.4551,11593.7,0.8468,17823.9,1.3019
2015-01-01,Semi-annual,7187.8,0.8789,14227.9,1.7398,21415.7,2.6187
2015-01-01,Semi-annual,6552.2,0.9044,12477.7,1.7224,19029.9,2.6268
2015-07-01,Semi-annual,7087.7,0.4477,15086.5,0.9529,22174.2,1.4006
2015-07-01,Semi-annual,6392.1,0.4587,12911.7,0.9265,19303.9,1.3852
2016-01-01,Semi-annual,7325.6,0.9011,14889.4,1.8316,22215.0,2.7328
2016-01-01,Semi-annual,6626.9,0.9163,12703.0,1.7565,19329.9,2.6728
2016-07-01,Semi-annual,7204.8,0.4456,15130.3,0.9358,22335.2,1.3814
2016-07-01,Semi-annual,6389.3,0.4547,12585.8,0.8956,18975.2,1.3503
2017-01-01,Semi-annual,6647.7,0.917,12625.2,1.7415,19272.9,2.6585
2017-01-01,Semi-annual,7378.4,0.9016,15430.5,1.8855,22808.8,2.7871
2017-07-01,Semi-annual,6430.4,0.4543,12514.4,0.8842,18944.8,1.3385
2017-07-01,Semi-annual,7090.6,0.4364,15429.2,0.9495,22519.8,1.3859
2018-01-01,Semi-annual,7365.0,0.8863,15410.9,1.8544,22775.9,2.7407
2018-01-01,Semi-annual,6748.9,0.9058,12672.6,1.7009,19421.4,2.6067
2018-07-01,Semi-annual,6663.0,0.4512,12943.1,0.8765,19606.2,1.3277
2018-07-01,Semi-annual,7171.1,0.4329,15535.6,0.9378,22706.7,1.3707
2019-01-01,Semi-annual,6725.2,0.9136,13120.2,1.7824,19845.3,2.696
2019-01-01,Semi-annual,7263.1,0.8672,15703.3,1.875,22966.4,2.7422
2019-07-01,Semi-annual,7153.8,0.431,15795.2,0.9516,22949.0,1.3826
2019-07-01,Semi-annual,6593.4,0.456,13055.8,0.903,19649.2,1.3591
2020-01-01,Semi-annual,7274.2,0.8542,16849.7,1.9787,24123.9,2.8329
2020-01-01,Semi-annual,6520.8,0.9366,13890.6,1.9952,20411.3,2.9318
2020-07-01,Semi-annual,7442.6,0.4319,16952.2,0.9837,24394.7,1.4156
2020-07-01,Semi-annual,6694.6,0.469,13984.8,0.9798,20679.4,1.4488
2021-01-01,Semi-annual,7660.7,0.811,17958.3,1.9011,25619.0,2.7121
2021-01-01,Semi-annual,6630.1,0.9282,14525.8,2.0336,21155.9,2.9619
2021-07-01,Semi-annual,7881.7,0.4175,19376.7,1.0263,27258.4,1.4438
2021-07-01,Semi-annual,6744.4,0.4721,15233.6,1.0663,21978.1,1.5383
2022-01-01,Semi-annual,7471.8,0.9029,18576.0,2.2448,26047.8,3.1477
2022-01-01,Semi-annual,7068.5,0.9183,15550.5,2.0203,22619.0,2.9386
2022-07-01,Semi-annual,7612.6,0.4532078076530632,18511.2,1.1020444087163577,26123.8,1.555252216369421
2022-07-01,Semi-annual,7193.4,0.4651451994516876,15687.5,1.0143997220555847,22880.8,1.4795449215072722
2023-01-01,Semi-annual,7512.2,0.9393909992225838,16234.9,2.030145056635102,23747.1,2.9695360558576858
2023-01-01,Semi-annual,7873.2,0.8958836910392024,19170.6,2.181392591058466,27043.8,3.0772762820976687
2023-07-01,Semi-annual,7693.8,0.47669671610787756,16356.5,1.0134251759408188,24050.4,1.4901218920486967
2023-07-01,Semi-annual,8077.0,0.4572753397400467,19221.3,1.0882084625227169,27298.2,1.5454838022627637
2024-01-01,Semi-annual,8086.7,0.9574447923177464,17055.3,2.019291411878169,25142.0,2.9767362041959156
2024-01-01,Semi-annual,8439.1,0.9164223263678445,19887.4,2.1596235319347157,28326.4,3.0760458583025603
2024-07-01,Semi-annual,8196.1,0.4808068241910627,17353.4,1.0180082564785153,25549.5,1.4988150806695781
2024-07-01,Semi-annual,8506.5,0.4603678105052336,19981.7,1.081398325513052,28488.2,1.5417661360182855
2025-01-01,Semi-annual,8523.6,0.9627217104014526,17989.3,2.0318428178209,26512.9,2.994564528222352
2025-01-01,Semi-annual,8811.1,0.9333463825521778,20554.8,2.177339899422401,29365.9,3.110686281974579
2025-07-01,Semi-annual,8715.9,0.485603984134284,18033.3,1.0047229986215631,26749.1,1.4903269827558472
2025-07-01,Semi-annual,9038.6,0.47113912831348265,20460.7,1.0665125772865067,29499.3,1.5376517055999894
