date,frequency,sijil_no_of_certificates_unit,sum_participated_rm_million,single,annual,total,business_in_force_sijil_no_of_certificates_unit,business_in_force_sum_participated_rm_million,contributions
2009-01-01,Semi-annual,304028.0,114193.3,799.1,269.0,1068.1,2383571.0,266318.7,1401.4
2009-01-01,Semi-annual,304029.0,115279.0,800.0,269.0,1069.0,2383572.0,267404.5,1401.4
2009-07-01,Semi-annual,673160.0,199898.7,1635.6,542.0,2177.6,2578603.0,325057.3,1519.4
2009-07-01,Semi-annual,673161.0,200980.1,1635.8,542.0,2177.8,2578604.0,326138.8,1519.4
2010-01-01,Semi-annual,512464.0,96983.7,1023.4,287.4,1310.7,2967958.0,306956.4,1670.4
2010-01-01,Semi-annual,512465.0,98069.7,1023.5,287.4,1310.9,2967959.0,308042.4,1670.4
2010-07-01,Semi-annual,906063.0,176005.9,2009.0,577.9,2586.9,3153874.0,344636.1,1811.8
2010-07-01,Semi-annual,906064.0,177024.8,2009.1,577.9,2587.1,3153875.0,345655.0,1811.8
2011-01-01,Semi-annual,467140.0,99364.6,1030.5,290.5,1321.0,3460300.0,373562.0,1934.8
2011-01-01,Semi-annual,467140.0,99364.6,1030.5,290.5,1321.0,3460300.0,373562.0,1934.8
2011-07-01,Semi-annual,884360.0,226384.7,2103.5,591.6,2695.1,3649328.0,401830.0,2138.7
2011-07-01,Semi-annual,884360.0,226384.7,2103.5,591.6,2695.1,3649328.0,401830.0,2138.7
2012-01-01,Semi-annual,407649.0,107317.1,1310.1,330.2,1640.2,3691281.0,415794.7,2194.1
2012-01-01,Semi-annual,407649.0,107317.1,1310.1,330.2,1640.2,3691281.0,415794.7,2194.1
2012-07-01,Semi-annual,884269.0,226968.3,2825.0,649.5,3474.5,3851734.0,441839.4,2357.2
2012-07-01,Semi-annual,884269.0,226968.3,2825.0,649.5,3474.5,3851734.0,441839.4,2357.2
2013-01-01,Semi-annual,491952.0,167093.3,1662.0,348.7,2010.8,4046585.0,451014.6,2507.7
2013-01-01,Semi-annual,491952.0,167093.3,1662.0,348.7,2010.8,4046585.0,451014.6,2507.7
2013-07-01,Semi-annual,836836.0,245563.6,2858.3,705.2,3563.5,4171066.0,494083.6,2655.5
2013-07-01,Semi-annual,836836.0,245563.6,2858.3,705.2,3563.5,4171066.0,494083.6,2655.5
2014-01-01,Semi-annual,314730.0,109880.7,1406.1,378.8,1785.0,4269067.0,532814.9,2932.9
2014-01-01,Semi-annual,314730.0,109880.7,1406.1,378.8,1785.0,4269067.0,532814.9,2932.9
2014-07-01,Semi-annual,632844.0,207209.6,2728.2,772.1,3500.3,4389883.0,575470.3,2990.4
2014-07-01,Semi-annual,632844.0,207209.6,2728.2,772.1,3500.3,4389883.0,575470.3,2990.4
2015-01-01,Semi-annual,335292.0,107754.7,1445.7,439.5,1885.2,4490108.0,584670.2,3165.5
2015-01-01,Semi-annual,335292.0,107754.7,1445.7,439.5,1885.2,4490108.0,584670.2,3165.5
2015-07-01,Semi-annual,660459.0,213239.1,2743.3,895.1,3638.4,4577388.0,613172.9,3369.6
2015-07-01,Semi-annual,660459.0,213239.1,2743.3,895.1,3638.4,4577388.0,613172.9,3369.6
2016-01-01,Semi-annual,358949.0,173258.2,1536.6,532.4,2069.0,4547148.0,626278.5,3603.6
2016-01-01,Semi-annual,358949.0,173258.2,1536.6,532.4,2069.0,4547148.0,626278.5,3603.6
2016-07-01,Semi-annual,695208.0,276555.6,2841.0,1110.1,3951.1,4630069.0,664512.2,3882.4
2016-07-01,Semi-annual,695208.0,276555.6,2841.0,1110.1,3951.1,4630069.0,664512.2,3882.4
2017-01-01,Semi-annual,337594.0,167025.9,1652.7,571.2,2223.9,4673757.0,694607.0,4079.5
2017-01-01,Semi-annual,337594.0,167025.9,1652.7,571.2,2223.9,4673757.0,694607.0,4079.5
2017-07-01,Semi-annual,668657.0,283096.3,3122.2,1223.4,4345.6,4736262.0,747437.4,4345.9
2017-07-01,Semi-annual,668657.0,283096.3,3122.2,1223.4,4345.6,4736262.0,747437.4,4345.9
