date,frequency,business_within_malaysia,malaysia_government_papers_guaranteed_loans,corporate_debt_securities,investments_others,investments_total,investment_properties,mortgages,policy,loans_others,loans_total,property_plant_and_equipment,other_assets,foreign_assets,rm_million_total
2009-01-01,Semi-annual,12117.3,18094.3,64585.5,2436.1,85115.9,2509.8,4020.1,7347.3,537.6,11905.0,1607.2,2116.0,2619.8,117990.9
2009-01-01,Semi-annual,12144.6,18115.2,64585.5,2436.1,85136.8,2509.8,4020.1,7347.3,537.6,11905.0,1607.2,2127.3,2619.8,118050.4
2009-07-01,Semi-annual,11528.0,18416.1,72205.0,2418.3,93039.5,2555.5,3737.6,7516.8,333.7,11588.1,1630.3,2097.3,3386.2,125824.8
2009-07-01,Semi-annual,11555.0,18440.9,72205.0,2418.3,93064.2,2555.5,3737.6,7516.8,333.7,11588.1,1630.3,2111.3,3386.2,125890.6
2010-01-01,Semi-annual,10956.8,18927.5,77230.1,2711.7,98869.3,2525.2,3264.6,7645.0,281.0,11190.7,1612.1,2239.8,3626.7,131020.4
2010-01-01,Semi-annual,10931.4,18898.5,77230.1,2711.7,98840.3,2525.2,3264.6,7645.0,281.0,11190.7,1612.1,2227.2,3626.7,130953.4
2010-07-01,Semi-annual,9167.8,20970.1,86050.5,2923.9,109944.5,2479.9,2888.4,7711.2,270.6,10870.2,1660.5,2593.7,4741.6,141458.3
2010-07-01,Semi-annual,9184.0,21015.4,86050.5,2923.9,109989.8,2479.9,2888.4,7711.2,270.6,10870.2,1660.5,2609.0,4741.6,141535.1
2011-01-01,Semi-annual,11812.4,20419.0,89301.9,2850.8,112571.6,2466.8,2894.9,7799.6,193.9,10888.4,1649.8,2672.0,5206.0,147267.0
2011-01-01,Semi-annual,11824.6,20471.2,89301.9,2850.8,112623.9,2466.8,2894.9,7799.6,193.9,10888.4,1649.8,2688.7,5206.0,147348.2
2011-07-01,Semi-annual,15344.3,24765.1,86808.1,2772.9,114346.0,2291.3,2833.3,7890.6,176.3,10900.2,1640.2,2639.5,4768.3,151929.8
2011-07-01,Semi-annual,15364.5,24826.3,86808.1,2772.9,114407.2,2291.3,2833.3,7890.6,176.3,10900.2,1640.2,2656.4,4768.3,152028.0
2012-01-01,Semi-annual,11299.5,25200.9,95252.7,2974.9,123428.5,2281.5,2809.4,7992.5,152.3,10954.2,1664.5,3157.9,5590.1,158376.4
2012-01-01,Semi-annual,11316.9,25268.5,95252.7,2974.9,123496.2,2281.5,2809.4,7992.5,152.3,10954.2,1664.5,3175.7,5590.1,158479.2
2012-07-01,Semi-annual,10308.3,24452.8,103894.4,5350.8,133698.1,2344.0,3317.1,8127.6,142.1,11586.9,1612.9,2985.9,4791.4,167327.5
2012-07-01,Semi-annual,10344.1,24520.1,103894.4,5350.8,133765.4,2344.0,3317.1,8127.6,142.1,11586.9,1612.9,3011.7,4791.4,167456.4
2013-01-01,Semi-annual,10305.4,23914.6,108764.6,6411.5,139090.7,2293.6,3531.5,8198.0,140.3,11869.9,1611.5,3201.8,5184.2,173557.0
2013-01-01,Semi-annual,10337.8,23984.8,108764.6,6411.5,139160.9,2293.6,3531.5,8198.0,140.3,11869.9,1611.5,3227.8,5184.2,173685.6
2013-07-01,Semi-annual,10460.1,24617.3,112610.3,5976.4,143204.0,2442.3,3663.7,8245.3,137.0,12046.0,1554.3,3222.8,5861.0,178790.5
2013-07-01,Semi-annual,10417.6,24537.3,112610.3,5976.4,143124.0,2442.3,3663.7,8245.3,137.0,12046.0,1554.3,3192.3,5861.0,178637.6
2014-01-01,Semi-annual,11644.3,23013.6,118215.0,5834.0,147062.6,2328.5,3757.5,8319.0,139.3,12215.8,1568.6,3376.1,6602.3,184798.0
2014-01-01,Semi-annual,11686.6,23097.9,118215.0,5834.0,147146.9,2328.5,3757.5,8319.0,139.3,12215.8,1568.6,3393.5,6602.3,184942.0
2014-07-01,Semi-annual,11249.0,22977.1,123204.6,6163.3,152345.0,2355.0,3887.9,8457.5,138.3,12483.7,1648.1,3588.6,6759.3,190428.8
2014-07-01,Semi-annual,11186.4,22893.3,123204.6,6163.3,152261.2,2355.0,3887.9,8457.5,138.3,12483.7,1648.1,3550.3,6759.3,190244.0
2015-01-01,Semi-annual,11078.7,22380.8,126862.2,6416.8,155659.7,2357.8,3968.3,8538.5,137.9,12644.7,1663.3,4255.0,8135.9,195795.1
2015-01-01,Semi-annual,11052.8,22344.0,126862.2,6416.8,155623.0,2357.8,3968.3,8538.5,137.9,12644.7,1663.3,4208.1,8048.6,195598.3
2015-07-01,Semi-annual,11424.0,22917.5,130043.0,6276.6,159237.0,2460.0,4133.6,8581.5,132.1,12847.2,1749.6,4209.9,8850.8,200778.6
2015-07-01,Semi-annual,11377.5,22881.1,130043.0,6276.6,159200.6,2460.0,4133.6,8581.5,132.1,12847.2,1749.6,4146.9,8739.4,200521.2
2016-01-01,Semi-annual,13002.2,22905.4,133571.2,5285.3,161762.0,2402.6,4388.0,8571.2,130.9,13090.1,1978.5,4540.1,8568.9,205344.4
2016-01-01,Semi-annual,12974.4,22869.0,133571.2,5275.3,161715.6,2402.6,4388.0,8571.2,130.9,13090.1,1978.5,4494.5,8444.8,205100.5
2016-07-01,Semi-annual,11228.7,24205.3,137978.1,5326.3,167509.7,2457.3,4393.0,8644.2,44.0,13081.3,2025.9,4535.7,9784.9,210623.3
2016-07-01,Semi-annual,11203.6,24169.2,137978.1,5311.8,167459.1,2457.3,4393.0,8644.2,44.0,13081.3,2025.9,4471.3,9636.9,210335.4
2017-01-01,Semi-annual,9684.4,22706.9,149206.6,6677.6,178591.1,2488.6,4393.5,8701.7,45.2,13140.3,2056.2,4318.7,10465.0,220744.3
2017-01-01,Semi-annual,9711.6,22743.0,149206.6,6691.5,178641.0,2488.6,4393.5,8701.7,45.2,13140.3,2056.2,4391.9,10624.5,221054.1
2017-07-01,Semi-annual,10135.8,23294.7,155311.0,7762.2,186367.9,2392.2,3451.6,8719.2,509.1,12679.9,2149.9,4164.0,10970.2,228860.0
2017-07-01,Semi-annual,10156.7,23331.6,155311.0,7780.1,186422.7,2392.2,3451.6,8719.2,509.1,12679.9,2149.9,4263.4,11135.5,229200.4
2018-01-01,Semi-annual,11530.4,24703.8,151614.3,7914.7,184232.9,2424.4,2957.1,8761.3,744.1,12462.4,2098.4,4936.6,10897.0,228582.1
2018-01-01,Semi-annual,11494.0,24667.1,151614.3,7894.4,184175.8,2424.4,2957.1,8761.3,744.1,12462.4,2098.4,4845.1,10714.6,228214.8
2018-07-01,Semi-annual,12008.9,27551.7,154895.9,8129.7,190577.3,3175.8,2978.6,8783.4,705.3,12467.3,2081.0,4372.7,10400.5,235083.5
2018-07-01,Semi-annual,12061.2,27581.6,154895.9,8150.9,190628.3,3175.8,2978.6,8783.4,705.3,12467.3,2081.0,4479.3,10596.7,235489.7
2019-01-01,Semi-annual,13655.6,24605.5,165089.6,9655.7,199350.9,3198.4,2947.7,8740.1,521.9,12209.7,2093.7,5130.8,12259.6,247898.7
2019-01-01,Semi-annual,13685.0,24668.5,165089.6,9677.2,199435.3,3198.4,2947.7,8740.1,521.9,12209.7,2093.7,5245.4,12464.6,248332.2
2019-07-01,Semi-annual,14781.3,25910.0,170487.1,7902.2,204299.3,3149.3,2981.8,8702.7,509.5,12194.0,2187.7,4825.1,13636.8,255073.4
2019-07-01,Semi-annual,14754.1,25842.0,170487.1,7880.7,204209.9,3149.3,2981.8,8702.7,509.5,12194.0,2187.7,4726.3,13534.5,254755.7
2020-01-01,Semi-annual,15001.1,26392.5,170314.1,7707.7,204414.3,3129.6,2840.2,8719.3,495.2,12054.7,2236.5,5732.1,14689.1,257257.4
2020-01-01,Semi-annual,14969.5,26322.4,170314.1,7686.0,204322.5,3129.6,2840.2,8719.3,495.2,12054.7,2236.5,5628.6,14552.1,256893.6
2020-07-01,Semi-annual,14709.7,30603.8,181558.7,8200.2,220362.8,3104.5,2643.6,8531.5,517.2,11692.3,2330.0,5336.7,16861.0,274396.9
2020-07-01,Semi-annual,14668.0,30533.4,181558.7,8178.3,220270.4,3104.5,2643.6,8531.5,517.2,11692.3,2330.0,5219.7,16704.9,273989.8
2021-01-01,Semi-annual,14689.2,32717.2,174881.1,8811.0,216409.4,3021.3,2541.9,8431.6,488.2,11461.7,2240.4,5773.6,18883.9,272479.6
2021-01-01,Semi-annual,14676.7,32646.1,174881.1,8789.0,216316.2,3021.3,2541.9,8431.6,488.2,11461.7,2240.4,5658.4,18683.6,272058.3
2021-07-01,Semi-annual,16416.8,34655.4,178798.9,10929.2,224383.6,3119.4,2417.5,8348.4,491.2,11257.1,2183.9,5504.2,18274.3,281139.3
2021-07-01,Semi-annual,16396.5,34585.7,178798.9,10909.4,224294.1,3119.4,2417.5,8348.4,491.2,11257.1,2183.9,5361.1,18069.7,280681.8
