date,frequency,bank_negara_malaysia_statement_of_capital_and_liabilities,paid_up_capital,reserves,currency_in_circulation,financial_institutions,federal_government,deposits_others,bank_negara_bills_and_bonds,allocation_of_special_drawing_rights,other_liabilities,total_liabilities
1975-01-01,Annual,,40,,2391.9,654.6,791.7,125.8,,183.6,456.3,4835.1
1976-01-01,Annual,,40,,2789.5,813.3,1924.2,164.9,,178.6,660.3,6833.7
1977-01-01,Annual,,100,,3297.6,869.1,2064.1,199.4,,174.1,706.8,7700.9
1978-01-01,Annual,,100,,3796.9,924.6,1703.0,219.0,,174.3,937.2,8241.9
1979-01-01,Annual,,100,,4361.8,1092.9,3385.8,197.9,,250.6,1064.3,10964.0
1980-01-01,Annual,,100,,5104.6,1406.0,2425.8,1206.6,,320.3,1733.1,12994.1
1981-01-01,Annual,,100,,5492.9,1633.4,1493.6,169.3,,363.1,1580.5,11702.4
1982-01-01,Annual,,100,,6130.0,2146.6,1962.3,224.7,,355.6,1864.4,13813.2
1983-01-01,Annual,,100,,6557.8,2154.8,2579.6,191.0,,340.5,1760.2,14859.8
1984-01-01,Annual,,100,,6561.4,2561.6,2891.8,159.6,30.0,331.2,2010.9,15927.2
1985-01-01,Annual,,100,,6773.4,2440.6,988.8,263.0,30.0,368.6,647.6,16524.9
1986-01-01,Annual,,100,,7146.1,2455.9,601.3,368.2,30.0,442.5,830.0,20339.4
1987-01-01,Annual,,100,,7965.4,2471.3,1053.2,51.6,810.0,491.5,1206.0,24190.2
1988-01-01,Annual,,100,,9037.5,3043.6,1112.3,57.3,810.0,507.6,1569.2,26481.7
1989-01-01,Annual,,100,,9903.8,9916.0,1067.9,79.5,1987.925394,496.6,1593.3,33891.2
1990-01-01,Annual,,100,,11223.9,9956.9,5233.4,53.6,5232.583065,533.7,1805.3,46146.8
1991-01-01,Annual,,100,,12069.8,10468.9,5988.9,78.9,8523.368039,541.7,1800.4,53082.8
1992-01-01,Annual,,100,,13173.7,27588.6,6244.4,6779.7,9839.675342,490.7,906.2,69431.7
1993-01-01,Annual,,100,,14649.0,56761.6,2911.6,13534.6,7160.9,509.0,1075.8,100299.5
