date,frequency,currency_by_denomination,currency_in_circulation,rm1,rm2,rm5,rm10,rm20,rm50,rm100,rm500,rm1000,notes_others,1_sen,5_sen,10_sen,20_sen,50_sen,rm1_coins,coins_total,others
1975-01-01,Annual,,2391.9,102.4,,46.7,551.9,,1041.8,337.0,,170.2,,1.2,11.8,40.4,38.9,33.1,5.4,3.7,7.4
1976-01-01,Annual,,2789.5,114.2,,50.6,590.1,,1183.8,459.6,,212.8,,1.3,13.3,46.1,45.0,38.7,7.5,3.9,22.6
1977-01-01,Annual,,3297.6,128.8,,55.8,649.9,,1327.8,672.7,,261.1,,1.5,15.0,51.7,51.2,44.3,9.6,4.0,24.2
1978-01-01,Annual,,3796.9,145.7,,59.2,676.7,,1774.1,618.1,,301.4,,1.7,16.8,57.0,57.7,49.7,10.3,4.2,24.3
1979-01-01,Annual,,4361.8,162.5,,66.1,767.8,,2003.0,743.8,,371.5,,1.9,18.7,63.8,65.3,56.1,11.7,4.3,25.3
1980-01-01,Annual,,5104.6,187.3,,76.6,773.9,,2515.9,851.8,,416.8,,2.2,21.1,77.0,73.8,64.9,13.1,4.5,25.7
1981-01-01,Annual,,5492.9,212.7,,85.4,769.4,,2471.0,1218.4,,399.4,,2.4,24.1,89.7,93.8,76.5,14.6,4.6,30.9
1982-01-01,Annual,,6130.0,217.8,,91.6,764.8,77.9,2565.3,1475.8,126.3,431.8,,2.6,25.9,98.2,104.6,84.8,16.3,5.3,41.0
1983-01-01,Annual,,6557.8,226.4,,79.4,735.5,200.6,2786.9,1301.6,365.6,462.2,,2.9,27.5,103.3,111.3,91.1,16.6,5.3,41.6
1984-01-01,Annual,,6561.4,215.3,,97.0,681.1,125.1,2494.3,1729.9,650.7,154.2,,3.3,28.7,105.0,114.9,96.3,16.9,5.3,43.4
1985-01-01,Annual,,6773.4,222.8,,95.2,683.6,106.7,2344.7,1968.6,673.5,257.1,,3.7,29.9,103.8,117.4,101.2,17.1,5.3,42.8
1986-01-01,Annual,,7146.1,245.0,,97.9,732.3,98.8,2487.3,2068.2,616.4,362.6,,4.1,30.7,100.5,118.7,104.3,18.3,5.2,55.8
1987-01-01,Annual,,7965.4,267.2,,103.7,821.6,92.1,2590.5,2318.7,831.1,476.0,,4.7,31.7,105.2,130.2,110.4,19.8,5.2,57.3
1988-01-01,Annual,,9037.5,297.4,,111.3,927.4,65.2,2984.1,2534.1,784.1,831.7,,5.3,33.3,112.1,147.7,121.1,20.2,5.2,57.3
1989-01-01,Annual,,9903.8,324.3,,118.5,991.4,62.0,3313.0,2603.5,840.1,1106.6,,5.9,35.2,117.7,161.7,128.3,28.8,7.1,59.7
1990-01-01,Annual,,11223.9,332.7,,146.2,1098.9,75.2,3767.2,2753.3,857.7,1548.8,,6.8,37.5,129.2,175.4,138.2,89.6,7.6,59.6
1991-01-01,Annual,,12069.8,336.7,,199.2,1200.9,62.2,4062.1,2842.2,821.6,1750.6,,7.7,40.0,140.8,189.1,146.9,202.4,7.8,59.6
1992-01-01,Annual,,13173.7,300.7,,246.5,1283.4,46.6,4590.5,2870.9,787.2,2081.4,,8.9,42.5,141.7,187.9,146.8,370.8,8.2,59.7
1993-01-01,Annual,,14649.0,233.5,,286.3,1349.3,153.4,5041.0,3049.3,789.4,2671.8,,9.9,45.2,140.4,180.3,142.6,488.7,8.4,59.5
1994-01-01,Annual,,17170.3,206.8,,338.2,1502.4,171.0,5914.1,3556.2,917.0,3352.6,,11.6,48.9,147.9,186.2,151.0,598.2,8.7,59.5
1995-01-01,Annual,,18913.2,193.8,,381.6,1577.3,127.2,6711.8,3853.2,1009.9,3703.0,,13.7,52.8,157.2,194.2,161.6,707.0,9.3,59.6
1996-01-01,Annual,,21065.6,174.0,275.2,393.2,1744.8,163.2,7601.4,4091.1,920.0,4354.3,,15.9,57.2,171.1,206.7,175.1,652.9,9.8,59.7
1997-01-01,Annual,,24532.4,163.8,443.2,454.8,1903.2,149.2,9091.6,4702.6,1052.8,5193.3,,17.6,61.0,181.0,226.0,186.4,636.4,9.8,59.7
1998-01-01,Annual,,20541.4,154.9,428.4,423.9,1822.4,86.1,9563.9,5078.6,344.8,1247.3,,19.2,64.7,196.6,232.3,200.8,608.0,9.8,59.7
1999-01-01,Annual,,30483.1,149.1,618.8,588.9,2478.7,80.9,15834.2,9079.6,92.4,81.1,,21.3,68.6,212.1,249.8,224.3,633.6,9.8,59.9
2000-01-01,Annual,,26709.1,396.8,538.6,597.1,2283.5,78.6,13187.7,7940.3,86.8,64.8,,23.6,72.5,225.5,264.3,247.5,629.3,9.8,62.4
2001-01-01,Annual,,25385.5,607.3,324.7,603.6,2266.4,76.4,12262.0,7618.4,83.3,53.5,,26.2,76.5,246.9,285.8,269.2,512.7,9.8,62.8
2002-01-01,Annual,,27137.4,763.3,240.4,615.6,2345.0,75.2,13328.2,8143.8,81.4,46.9,,29.2,80.8,266.6,308.0,295.2,444.5,10.2,63.1
2003-01-01,Annual,,29445.4,872.5,201.8,671.5,2454.9,74.4,14665.3,8854.9,80.1,42.2,,31.9,85.2,288.5,333.2,323.7,392.4,9.8,63.1
2004-01-01,Annual,,32353.9,938.4,179.4,806.1,2511.5,73.9,16569.9,9605.3,78.8,37.1,,34.4,90.0,311.9,359.6,354.5,330.1,9.8,63.2
2005-01-01,Annual,,34396.7,980.1,161.6,905.2,2576.8,73.5,18152.8,10102.0,77.6,33.6,,37.6,94.5,329.4,380.5,381.9,36.6,9.8,63.2
2006-01-01,Annual,,37896.1,1060.6,149.1,899.0,2766.3,73.2,20516.3,10871.9,77.0,31.6,,41.2,99.7,355.5,417.0,429.4,35.0,9.8,63.5
2007-01-01,Annual,,42192.4,1163.2,141.3,961.5,3075.3,73.0,23267.2,11808.3,76.2,29.5,,44.7,104.4,389.7,463.1,487.4,34.4,9.7,63.5
2008-01-01,Annual,,48042.8,1259.2,136.4,1050.1,3327.3,72.8,26711.1,13626.7,75.6,27.9,,44.1,111.3,428.1,515.3,549.3,34.0,9.7,63.9
2009-01-01,Annual,,51138.6,1316.1,133.1,1086.7,3544.9,72.7,28598.5,14409.6,75.3,27.0,,43.8,118.0,457.9,555.1,592.4,33.7,9.7,64.1
2010-01-01,Annual,,55787.8,1402.3,130.8,1153.4,3947.9,72.6,32308.2,14655.6,75.1,26.0,,43.6,126.0,493.8,602.5,642.6,33.4,9.7,64.3
2011-01-01,Annual,,61874.0,1579.5,129.4,1251.3,4370.2,73.4,35704.3,16511.8,75.0,25.7,,43.5,133.7,527.4,648.4,693.1,33.2,9.7,64.4
2012-01-01,Annual,,67124.4,1728.3,128.3,1390.9,4571.3,761.8,37659.4,18506.0,74.9,25.2,,43.4,142.3,557.2,689.3,738.9,33.0,9.7,64.5
2013-01-01,Annual,,73031.1,1859.6,127.2,1520.8,4396.6,1571.2,35277.0,25742.1,74.8,24.8,,43.4,151.5,593.9,743.5,797.3,32.9,9.7,64.8
2014-01-01,Annual,,77734.5,1905.5,126.5,1575.1,4418.3,1626.4,36376.0,29003.1,74.8,24.5,,43.4,160.3,631.3,799.3,862.5,32.7,9.7,65.1
2015-01-01,Annual,,88157.4,2033.2,126.3,1734.8,4890.9,2074.4,40571.4,33810.5,74.8,24.5,,43.3,173.1,677.0,867.9,947.6,32.7,9.7,65.3
2016-01-01,Annual,,97753.3,2214.7,126.0,1979.7,5248.2,2491.8,43407.0,39163.9,74.7,24.5,,43.3,187.0,718.9,930.9,1035.0,32.6,9.7,65.4
2017-01-01,Annual,,103585.2,2262.2,125.8,2014.2,5165.6,2815.3,44812.6,43075.9,74.7,24.4,0.0,43.3,198.5,758.9,987.4,1118.8,32.5,9.7,65.4
2018-01-01,Annual,,106348.4,2402.2,125.7,2177.8,5413.1,2915.7,45365.3,44434.1,74.7,24.4,7.8,43.3,211.3,798.7,1043.5,1203.0,32.4,9.7,65.7
2019-01-01,Annual,,114097.3,2579.1,125.5,2460.2,6098.4,3182.2,47424.3,48544.3,74.7,24.4,7.8,43.3,222.6,833.5,1093.0,1276.3,32.3,9.7,65.7
2020-01-01,Annual,,130424.2,2677.154022,125.325074,2517.5419375,6329.534185,3506.1364,56027.747425,55421.100725,74.70225,24.3795,7.80192,43.29494681,230.84055855000003,862.6250332999999,1134.6528816,1333.5466405,32.329219,9.716275,65.7426375
2021-01-01,Annual,,150064.6,2948.8807235,125.246878,2821.61233,6997.022465,3948.75171,70550.155125,58697.027275,74.70225,24.3795,7.80666,43.2941252,238.6338005,895.8302479,1184.7443256,1398.6281025,32.348698,9.71628,65.7833525
2022-01-01,Annual,,162074.5,3111.135887,125.174132,3049.7045,7770.010525,3938.52526,71074.59975,68864.2238,74.702,24.3715,7.80702,43.29348244,245.76001725,931.3816889,1236.7358571999998,1469.0536905,32.367846,9.71628,65.9042725
2023-01-01,Annual,,161815.9,3029.565142,125.116694,2966.715245,7449.423375,3960.22291,67668.02185,72345.3796,74.701,24.3715,7.80732,43.29118629,254.71008220000002,957.9298960000001,1276.3605588,1524.2105915000002,32.369445,9.71628,65.9474825
2024-01-01,Annual,,170719.8,3155.541517,125.072498,3168.7206475,7774.32942,4363.73578,69193.5498,78549.52965,74.7005,24.3695,7.80738,43.29014807,266.47627845,979.510949,1310.9293004,1574.2216795,32.3634,9.71628,65.9687825
2025-01-01,Annual,,177749.5,3245.5476715,125.003392,3338.4901725,8357.020215,4633.77883,69060.76385,84504.34095,74.7005,24.3685,7.80882,43.289488840000004,272.3426925,999.3316436,1340.6614418,1613.8764700000002,32.390563,9.716275,66.0816425
