date,frequency,currency_by_denomination,currency_in_circulation,rm1,rm2,rm5,rm10,rm20,rm50,rm100,rm500,rm1000,notes_others,1_sen,5_sen,10_sen,20_sen,50_sen,rm1_coins,coins_total,others
2000-01-01,Monthly,,26935.6,148.8,838.9,718.6,2548.1,80.7,12727.6,8195.9,91.5,78.8,,21.6,69.1,215.2,254.0,226.3,648.8,9.8,61.9
2000-02-01,Monthly,,23847.8,148.3,751.1,658.9,2285.2,80.4,10848.3,7408.1,91.1,77.3,,21.7,69.3,214.4,251.5,226.4,643.9,9.8,62.1
2000-03-01,Monthly,,22752.9,147.8,666.5,590.5,2093.8,80.1,10464.9,7050.7,90.5,75.6,,21.8,69.5,213.5,250.4,227.0,638.3,9.8,62.2
2000-04-01,Monthly,,22482.9,147.4,621.1,557.9,2030.4,80.0,10348.6,7044.3,89.9,74.2,,22.0,69.7,213.3,250.2,228.0,633.9,9.8,62.2
2000-05-01,Monthly,,22416.4,147.1,591.7,537.7,1997.5,79.6,10375.2,7030.7,89.5,72.3,,22.2,70.0,214.2,251.5,230.1,635.0,9.8,62.3
2000-06-01,Monthly,,22348.8,146.8,570.7,522.7,1983.8,79.4,10412.7,6974.1,89.1,71.0,,22.3,70.3,215.0,252.3,231.5,634.9,9.8,62.4
2000-07-01,Monthly,,22367.9,146.5,556.6,512.9,1989.7,79.1,10446.9,6972.7,88.6,69.7,,22.5,70.5,216.4,253.2,233.8,636.6,9.8,62.4
2000-08-01,Monthly,,22747.0,146.2,548.7,509.2,2012.5,79.1,10659.4,7119.0,88.3,68.6,,22.7,70.8,217.9,255.1,236.1,641.2,9.8,62.4
2000-09-01,Monthly,,22507.7,146.0,542.2,503.6,2001.4,79.0,10490.9,7065.4,87.8,67.5,,22.9,71.1,219.3,256.6,238.1,643.7,9.8,62.4
2000-10-01,Monthly,,22564.5,145.8,539.7,502.7,2017.8,78.9,10499.2,7099.2,87.5,66.4,,23.1,71.5,220.3,257.8,240.1,642.3,9.8,62.4
2000-11-01,Monthly,,22781.2,219.0,529.1,501.5,2011.8,78.7,10573.2,7186.0,87.1,65.5,,23.4,72.0,222.8,261.1,243.8,634.0,9.8,62.4
2000-12-01,Monthly,,26709.1,396.8,538.6,597.1,2283.5,78.6,13187.7,7940.3,86.8,64.8,,23.6,72.5,225.5,264.3,247.5,629.3,9.8,62.4
2001-01-01,Monthly,,27431.0,623.2,515.7,740.6,2616.2,78.4,12799.5,8376.3,86.4,63.7,,23.9,73.0,228.0,265.8,248.9,619.2,9.8,62.4
2001-02-01,Monthly,,24117.9,540.9,462.3,644.5,2270.6,78.2,10899.3,7557.5,86.1,62.3,,24.0,73.2,227.9,265.1,249.1,604.7,9.8,62.4
2001-03-01,Monthly,,23719.5,490.2,430.0,592.5,2148.1,78.0,10925.1,7404.4,85.6,60.7,,24.2,73.4,228.9,265.7,249.6,590.9,9.8,62.4
2001-04-01,Monthly,,23591.7,462.5,408.0,563.1,2101.7,77.7,10939.9,7402.8,85.2,59.1,,24.4,73.7,229.7,266.8,250.9,574.0,9.8,62.4
2001-05-01,Monthly,,23720.6,449.1,390.7,545.9,2081.0,77.4,11104.5,7444.5,84.9,58.2,,24.6,74.0,231.5,268.9,252.6,560.6,9.8,62.4
2001-06-01,Monthly,,23315.9,441.4,377.4,533.8,2068.7,77.3,10887.5,7307.8,84.7,57.2,,24.8,74.3,233.4,271.3,254.7,549.4,9.8,62.4
2001-07-01,Monthly,,23277.8,438.2,365.4,526.8,2066.1,77.0,10881.0,7308.1,84.4,56.6,,25.0,74.6,234.9,272.8,256.4,538.3,9.8,62.4
2001-08-01,Monthly,,24020.5,442.5,354.7,523.7,2107.8,76.8,11440.1,7460.3,84.2,56.1,,25.3,74.9,237.5,275.6,258.7,529.8,9.8,62.7
2001-09-01,Monthly,,23922.6,445.2,346.0,520.0,2098.2,76.7,11333.4,7489.3,83.9,55.1,,25.5,75.3,239.8,277.3,260.4,524.0,9.8,62.7
2001-10-01,Monthly,,23797.3,447.0,337.1,514.1,2085.0,76.5,11322.8,7402.0,83.7,54.6,,25.7,75.5,241.2,279.3,262.7,517.6,9.8,62.7
2001-11-01,Monthly,,24539.9,519.9,330.2,551.7,2173.1,76.4,11785.9,7482.6,83.5,54.2,,26.0,76.0,244.6,282.9,266.4,513.9,9.8,62.8
2001-12-01,Monthly,,25385.5,607.3,324.7,603.6,2266.4,76.4,12262.0,7618.4,83.3,53.5,,26.2,76.5,246.9,285.8,269.2,512.7,9.8,62.8
2002-01-01,Monthly,,27229.2,755.6,314.5,728.5,2587.2,76.3,13069.4,8069.6,83.1,52.9,,26.6,77.0,249.3,288.9,272.8,506.2,8.5,62.8
2002-02-01,Monthly,,26572.1,728.3,304.7,714.9,2544.1,76.2,12601.8,7979.5,83.0,52.4,,26.7,77.3,249.8,288.1,272.3,500.4,9.8,62.8
2002-03-01,Monthly,,25593.7,658.1,291.7,644.3,2321.2,76.0,12288.1,7703.2,82.8,51.8,,26.9,77.5,249.9,287.2,272.5,489.7,9.8,63.0
2002-04-01,Monthly,,25488.6,618.5,282.3,610.5,2249.1,76.0,12302.6,7741.1,82.7,51.3,,27.1,77.8,251.0,289.0,274.4,482.4,9.8,63.0
2002-05-01,Monthly,,25952.7,601.9,275.2,592.8,2233.6,75.8,12731.7,7834.8,82.5,50.9,,27.4,78.3,252.3,290.5,276.2,476.0,9.8,63.0
2002-06-01,Monthly,,25348.4,590.0,268.8,577.6,2201.5,75.7,12283.8,7748.4,82.3,50.4,,27.6,78.5,253.6,292.0,277.8,467.6,9.8,63.0
2002-07-01,Monthly,,25128.9,584.8,262.3,569.3,2197.9,75.7,12123.6,7713.3,82.1,49.9,,27.8,78.9,255.4,294.2,280.4,460.5,9.8,63.0
2002-08-01,Monthly,,25367.7,584.6,257.0,565.9,2205.1,75.5,12350.8,7724.4,82.0,49.2,,28.1,79.2,257.4,296.7,283.1,455.9,9.8,63.0
2002-09-01,Monthly,,25282.3,586.4,252.9,562.4,2199.7,75.5,12288.0,7711.6,81.9,48.9,,28.3,79.5,259.3,298.8,285.1,451.2,9.8,63.0
2002-10-01,Monthly,,25571.4,603.7,247.8,563.2,2210.4,75.3,12519.0,7739.3,81.6,48.2,,28.6,80.0,261.9,302.3,289.0,448.2,9.8,63.1
2002-11-01,Monthly,,27303.9,770.0,243.9,633.2,2413.4,75.3,13504.5,8043.9,81.5,47.3,,28.9,80.5,264.3,305.1,292.3,446.9,9.8,63.1
2002-12-01,Monthly,,27137.4,763.3,240.4,615.6,2345.0,75.2,13328.2,8143.8,81.4,46.9,,29.2,80.8,266.6,308.0,295.2,444.5,10.2,63.1
