date,frequency,reserve_money,currency_in_circulation,required_reserves,excess_reserves,deposits_of_the_private_sector,net_claims_on_government,claims_on_government,government_deposits,claims_on_private_sector,external_operations,other_influences
1975-01-01,Annual,3172.3,2239.0,614.2,180.8,138.3,-346.8,444.9,791.7,200.0,3747.2,-428.1
1976-01-01,Annual,3767.7,2627.7,698.1,255.2,186.7,-1599.7,324.5,1924.2,,6070.6,-703.2
1977-01-01,Annual,4366.1,3112.3,821.8,216.2,215.8,-1641.8,422.4,2064.2,305.1,6564.9,-862.1
1978-01-01,Annual,4940.5,3578.4,783.4,345.9,232.8,-1317.5,385.5,1703.0,256.1,7189.3,-1187.4
1979-01-01,Annual,5652.6,4094.2,1006.9,325.1,226.4,-2643.8,742.0,3385.8,669.2,8975.7,-1348.5
1980-01-01,Annual,6648.4,4757.9,1279.3,421.0,190.2,-745.0,1680.8,2425.8,-685.0,9983.6,-1905.2
1981-01-01,Annual,7295.8,5099.7,1517.1,462.2,216.8,-785.9,707.7,1493.6,718.2,9431.7,-2068.2
1982-01-01,Annual,8504.6,5727.0,1753.6,747.5,276.5,38.8,2001.1,1962.3,698.5,8976.4,-1209.1
1983-01-01,Annual,8903.0,6025.3,2081.2,600.1,196.4,945.0,3524.6,2579.6,999.1,9443.1,-2484.2
1984-01-01,Annual,9282.6,5974.4,2452.9,681.0,174.3,1916.8,4808.6,2891.8,975.6,9629.8,-3239.6
1985-01-01,Annual,9475.8,6199.7,2315.3,687.8,273.0,1479.1,2467.9,988.8,956.7,12456.8,-5416.8
1986-01-01,Annual,9947.0,6548.8,2290.8,732.8,374.6,1456.5,2057.8,601.3,989.7,16539.3,-9038.5
1987-01-01,Annual,10455.0,7329.8,2333.5,716.4,75.3,907.7,1961.0,1053.3,1123.1,19432.4,-11008.2
1988-01-01,Annual,11661.2,8338.7,2505.2,744.8,72.5,1051.9,2164.2,1112.3,2360.5,18328.3,-10079.5
1989-01-01,Annual,14993.4,9125.8,4874.4,896.3,96.9,461.2,1529.1,1067.9,3868.3,21659.9,-10996.0
1990-01-01,Annual,18501.3,10000.5,6911.2,1513.0,76.6,-2553.0,2680.4,5233.4,5483.7,27025.2,-11454.6
1991-01-01,Annual,22050.1,10973.1,9524.0,1451.6,101.4,-4377.8,1611.0,5988.8,6304.7,30452.3,-10329.1
1992-01-01,Annual,24745.0,12028.1,11286.0,1324.0,106.9,-5683.6,560.8,6244.4,4814.2,47195.7,-21581.3
1993-01-01,Annual,27564.2,13408.3,12689.7,1316.8,149.4,-3171.0,454.4,3625.4,7646.0,76435.2,-53346.0
1994-01-01,Annual,39445.2,15765.4,21883.4,1619.8,176.6,-6540.9,980.4,7521.3,8137.7,68172.8,-30324.4
1995-01-01,Annual,47330.8,17294.7,28083.2,1809.4,143.5,-6867.0,2155.4,9022.4,9256.4,63769.5,-18828.1
1996-01-01,Annual,64559.4,18819.5,43175.1,2463.9,100.9,-8283.8,3117.6,11401.4,8211.3,70014.6,-5382.7
1997-01-01,Monthly,82896.1,21158.7,57184.8,4552.6,,-6816.6,3728.7,10545.3,31533.5,59122.8,-943.6
1998-01-01,Monthly,88508.6,26337.7,58183.1,3987.8,,-4232.8,2401.2,6634.0,39817.9,56559.0,-3635.5
1998-02-01,Monthly,68118.1,21305.7,43406.7,3405.7,,-6497.8,2354.1,8851.9,21266.6,56707.0,-3357.7
1998-03-01,Monthly,64571.8,20302.2,41591.6,2678.0,,-6224.0,2135.8,8359.8,16797.6,57272.3,-3274.1
1998-04-01,Monthly,64148.7,20209.2,40948.1,2991.4,,-6249.8,2180.1,8429.9,17436.6,57327.5,-4365.6
1998-05-01,Monthly,63100.9,19968.9,40678.9,2453.1,,-8095.8,2178.0,10273.8,16236.1,57549.9,-2589.3
1998-06-01,Monthly,61637.7,19513.2,39419.4,2705.1,,-10331.5,2209.6,12541.1,16791.0,58185.3,-3007.1
1998-07-01,Monthly,54585.9,19494.5,32122.0,2969.4,,-11386.8,2144.4,13531.2,15749.7,57755.7,-7532.7
1998-08-01,Monthly,53811.3,19922.4,31248.1,2640.8,,-12460.5,1513.7,13974.2,16041.4,57855.7,-7625.3
1998-09-01,Monthly,36939.4,17838.4,16023.4,3077.6,,-13021.4,1206.4,14227.8,9961.8,81473.0,-41474.0
1998-10-01,Monthly,35303.6,17642.6,14967.1,2693.9,,-18848.2,1179.2,20027.4,9440.5,89235.5,-44524.2
1998-11-01,Monthly,34682.9,17522.9,14629.9,2530.1,,-19382.6,1074.9,20457.5,8386.2,90103.9,-44424.6
1998-12-01,Monthly,36177.7,17982.3,15154.2,3041.2,,-24208.9,1072.4,25281.3,7684.1,99424.4,-46721.9
1999-01-01,Monthly,37115.7,18607.9,15173.8,3334.0,,-22235.1,847.9,23083.0,7864.7,106214.8,-54728.7
1999-02-01,Monthly,37511.0,19445.9,14777.4,3287.7,,-22283.4,824.9,23108.3,7621.7,109023.9,-56851.2
1999-03-01,Monthly,35907.7,18122.5,14586.3,3198.9,,-21313.8,851.0,22164.8,7444.9,105266.3,-55489.7
1999-04-01,Monthly,35408.6,18029.1,14596.3,2783.2,,-22722.0,651.0,23373.0,7333.1,108672.1,-57874.6
1999-05-01,Monthly,35058.3,17979.9,14205.6,2872.8,,-22145.0,636.2,22781.2,7308.8,113144.7,-63250.2
1999-06-01,Monthly,34955.0,17570.4,14438.6,2946.0,,-25979.4,131.4,26110.8,7318.0,118293.5,-64677.1
1999-07-01,Monthly,35297.1,17856.4,14385.8,3054.9,,-22621.3,108.1,22729.4,7861.7,120378.4,-70321.7
1999-08-01,Monthly,35499.2,18186.9,14594.6,2717.7,,-24423.6,108.1,24531.7,8029.3,122874.5,-70981.0
1999-09-01,Monthly,34885.5,18043.8,13908.4,2933.3,,-21419.0,106.8,21525.8,8541.7,119254.5,-71491.7
1999-10-01,Monthly,35982.6,18633.9,14631.8,2716.9,,-24228.1,106.3,24334.4,8522.5,114789.3,-63101.1
1999-11-01,Monthly,37397.4,19775.9,14409.5,3212.0,,-22104.4,95.3,22199.7,8514.0,114572.5,-63584.7
1999-12-01,Monthly,45674.7,24000.8,14480.0,7193.9,,-18419.1,94.4,18513.5,8559.9,117243.4,-61709.5
2000-01-01,Monthly,42247.4,22287.6,14914.5,5045.3,,-17730.3,120.1,17850.4,8800.7,124862.3,-73685.3
2000-02-01,Monthly,39294.7,20434.3,14728.0,4132.4,,-17096.2,119.2,17215.4,8856.5,129824.0,-82289.6
2000-03-01,Monthly,37101.2,19816.0,14055.0,3230.2,,-21566.1,128.7,21694.8,8565.0,128864.0,-78761.7
2000-04-01,Monthly,36962.2,20005.9,14051.8,2904.5,,-23562.2,126.3,23688.5,9048.3,124106.1,-72630.0
2000-05-01,Monthly,37063.1,19473.6,14361.8,3227.7,,-23551.2,229.8,23781.0,9234.2,123612.0,-72231.9
2000-06-01,Monthly,36936.7,19627.6,14249.6,3059.5,,-25823.0,164.7,25987.7,9583.4,123375.7,-70199.4
2000-07-01,Monthly,37566.0,19487.3,14715.2,3363.5,,-23347.0,153.7,23500.7,9640.2,121563.6,-70290.8
2000-08-01,Monthly,37792.6,20102.7,14795.1,2894.8,,-19794.8,161.5,19956.3,9755.3,120980.7,-73148.6
2000-09-01,Monthly,37935.0,19771.9,15059.5,3103.6,,-24305.4,144.4,24449.8,9883.1,117770.7,-65413.4
2000-10-01,Monthly,38073.8,19526.0,15241.8,3306.0,,-17640.3,144.9,17785.2,9944.7,112272.3,-66502.9
2000-11-01,Monthly,37435.2,19796.4,14502.8,3136.0,,-19497.4,131.7,19629.1,9943.2,110303.5,-63314.1
2000-12-01,Monthly,41372.2,22052.3,14050.1,5269.8,,-17719.8,125.5,17845.3,9719.4,109066.8,-59694.2
2001-01-01,Monthly,42981.7,22857.9,15432.6,4691.2,,-10765.3,126.0,10891.3,9585.2,107736.6,-63574.8
2001-02-01,Monthly,39396.4,21036.4,15151.3,3208.7,,-7600.5,191.3,7791.8,9556.1,105817.5,-68376.7
2001-03-01,Monthly,39143.8,20748.2,15166.1,3229.5,,-15620.9,244.0,15864.9,9414.3,98950.1,-53599.7
2001-04-01,Monthly,38937.3,20544.0,15228.8,3164.5,,-12725.3,244.9,12970.2,9861.7,96435.4,-54634.5
2001-05-01,Monthly,38388.1,20489.6,14566.0,3332.5,,-13457.7,228.5,13686.2,9332.2,94555.2,-52041.6
2001-06-01,Monthly,38502.7,20547.2,14927.8,3027.7,,-17897.0,75.3,17972.3,9785.6,94929.9,-48315.8
2001-07-01,Monthly,38826.3,20228.1,15497.5,3100.7,,-21327.9,75.3,21403.2,8923.8,99586.4,-48356.0
2001-08-01,Monthly,39589.9,21138.5,15466.1,2985.3,,-21087.4,69.3,21156.7,9207.8,101443.4,-49973.9
2001-09-01,Monthly,39423.2,21143.8,15332.1,2947.3,,-23664.9,66.3,23731.2,9676.7,109141.0,-55729.6
2001-10-01,Monthly,38757.6,20837.5,14819.3,3100.8,,-19626.0,180.2,19806.2,9642.5,111147.7,-62406.6
2001-11-01,Monthly,39818.0,21306.8,15172.7,3338.5,,-18409.8,295.7,18705.5,9786.6,112903.3,-64462.1
2001-12-01,Monthly,40022.8,21960.1,14567.1,3495.6,,-24956.2,280.7,25236.9,9409.7,113585.4,-58016.1
2002-01-01,Monthly,42774.7,22386.6,15461.3,4926.8,,-18365.5,236.7,18602.2,8734.0,113911.336,-61505.136
2002-02-01,Monthly,41641.4,23072.7,14982.8,3585.9,,-15175.7,236.0,15411.7,8625.7,116058.659,-67867.25899999999
2002-03-01,Monthly,40941.7,22766.4,15164.6,3010.7,,-21116.7,237.9,21354.6,8593.3,120897.58699999998,-67432.487
2002-04-01,Monthly,40827.8,22302.2,15263.5,3262.1,,-13870.1,236.9,14107.0,8541.2,120900.51699999999,-74743.817
2002-05-01,Monthly,40997.1,22557.2,14986.9,3453.0,,-16614.3,236.9,16851.2,8513.8,120252.62,-71155.02
2002-06-01,Monthly,40933.5,22562.4,15323.4,3047.7,,-17413.5,236.9,17650.4,8362.2,124300.89,-74316.09
