date,frequency,statutory_reserve,rm_eligible_liabilities,ibs_statutory_reserve,ibs_rm_eligible_liabilities,inv_banks_statutory_reserve,inv_banks_rm_eligible_liabilities
2007-01-01,Monthly,17498.939,454616.088576,1468.127,38484.467712,603.257,12509.185024
2007-02-01,Monthly,17237.5,449266.54524,1539.533,39294.70046,630.46,18033.86821
2007-03-01,Monthly,18078.043,463273.04568,1670.992,39339.64496,662.152,19168.43927
2007-04-01,Monthly,18059.964,456588.42218,1656.606,41404.42802,657.813,18599.97276
2007-05-01,Monthly,18092.787,471387.0442,1589.147,41352.37228,707.83,17940.19369
2007-06-01,Monthly,18580.607,478122.92951,1633.077,41388.21596,657.035,16215.18322
2007-07-01,Monthly,18275.01,472896.91736,1649.581,42009.73065,648.507,15393.68996
2007-08-01,Monthly,19129.612,488633.25032,1643.838,41619.50948,644.211,15680.82034
2007-09-01,Monthly,18754.089,487244.14321,1711.983,42628.67947,648.854,15977.47708
2007-10-01,Monthly,17823.425,479831.28776,1664.915,42903.99843,622.419,15337.66183
2007-11-01,Monthly,19488.742,494173.48082,1701.301,43304.03728,638.406,15624.37476
2007-12-01,Monthly,19169.921,494019.38561,1737.256,43323.98151,645.368,15768.26083
2008-01-01,Monthly,18556.088,498383.88487,3241.492,44880.47302,637.809,15642.03758
2008-02-01,Monthly,17838.313,471773.48618,3955.557,64563.54099,652.509,15718.34051
2008-03-01,Monthly,17416.494,469280.14121,2599.177,66755.36759,608.833,15035.72651
2008-04-01,Monthly,18018.091,473629.61964,2700.919,66195.44339,616.037,14979.67327
2008-05-01,Monthly,19585.449,487018.43394,2719.311,68136.6111,467.874,11384.48369
2008-06-01,Monthly,19784.099,487326.168,2700.888,70074.94264,480.163,11891.24239
2008-07-01,Monthly,18553.216,486721.32994,2755.76,71410.38642,524.886,12916.86437
2008-08-01,Monthly,18853.144,483104.49549,3010.242,72424.45133,577.725,13318.92827
2008-09-01,Monthly,18158.909,472089.69976,3062.51,76722.79289,602.323,14751.05813
2008-10-01,Monthly,18737.302,480316.32956,3191.01,79924.37228,595.05,14661.07867
2008-11-01,Monthly,18576.86,484695.80786,3332.261,83994.36658,596.657,14901.62101
2008-12-01,Monthly,16269.313,486781.85154,3410.644,96107.45856,538.508,15084.38163
2009-01-01,Monthly,16124.899,493876.78411,3587.309,102182.73933,512.027,14641.27652
2009-02-01,Monthly,9219.564,499428.23486,2047.416,102244.93337,287.252,14207.88575
2009-03-01,Monthly,4939.136,489950.99393,1086.82,102880.61487,145.669,14353.40294
2009-04-01,Monthly,4751.601,490852.35869,1066.136,102934.0675,170.382,16594.59163
2009-05-01,Monthly,5301.516,499724.37426,1066.889,104559.49815,167.456,16504.80648
2009-06-01,Monthly,5308.207,497029.16935,1086.384,106995.85975,172.928,17188.11508
2009-07-01,Monthly,3128.511,501167.33921,792.391,108548.45988,182.019,17452.55456
2009-08-01,Monthly,3027.372,501685.71675,779.0,113880.41355,188.754,18502.44332
2009-09-01,Monthly,3034.04,507990.69208,775.27,116964.64555,190.101,18692.68944
2009-10-01,Monthly,3066.77,513008.45227,773.634,119291.05221,194.321,18685.56884
2009-11-01,Monthly,3193.184,516838.91775,802.773,119503.60019,198.495,19418.93068
2009-12-01,Monthly,2751.195,518627.66487,863.973,124737.03,205.234,20187.19459
2010-01-01,Monthly,3167.741,518559.20821,937.638,127907.13761,200.645,19272.7722
2010-02-01,Monthly,3424.209,525478.10501,803.955,128459.20576,196.694,19102.80171
2010-03-01,Monthly,3325.307,524238.53884,819.912,131545.75469,206.129,20045.46517
2010-04-01,Monthly,3322.783,537110.72286,859.999,136115.6557,205.726,19716.99745
2010-05-01,Monthly,3650.73,543588.12162,873.888,137441.13179,201.195,19744.16002
2010-06-01,Monthly,3349.775,548455.6955,945.974,141700.20527,198.604,19494.72251
2010-07-01,Monthly,3319.764,549317.36047,946.812,146321.84114,218.326,20677.15689
2010-08-01,Monthly,3338.545,553788.96426,966.21,149138.12777,216.825,21106.05038
2010-09-01,Monthly,3887.721,560179.52257,994.415,152017.88262,220.97,21457.62195
2010-10-01,Monthly,3580.682,562197.26413,1044.09,151864.01006,227.98,22407.14182
2010-11-01,Monthly,3505.276,578926.05882,1036.863,154516.41006,247.553,24369.90276
2010-12-01,Monthly,4144.671,588189.52307,1069.296,156514.13687,269.943,25724.20261
2011-01-01,Monthly,3615.436,585940.73591,1076.811,159781.57832,252.789,24699.76445
2011-02-01,Monthly,3797.114,598435.9046,1110.644,158975.08855,242.069,23363.33738
2011-03-01,Monthly,4708.223,601105.11738,1235.951,161415.26523,247.243,22116.38339
2011-04-01,Monthly,9631.101,604129.84974,2805.42,164136.46088,448.792,21340.87948
2011-05-01,Monthly,15189.757,627357.99895,4345.755,168796.59388,670.743,22068.47488
2011-06-01,Monthly,15143.139,630428.01137,4016.741,168393.72095,752.339,24874.90345
2011-07-01,Monthly,22624.464,640831.06461,5845.417,171106.97939,1006.036,24819.3357
2011-08-01,Monthly,22854.073,657857.53144,5771.258,176234.93551,1060.388,25498.40945
2011-09-01,Monthly,22041.219,647477.71299,5989.363,181483.48649,1080.199,26605.91413
2011-10-01,Monthly,22341.19,646749.45387,6108.669,185525.87135,1041.277,25883.04742
2011-11-01,Monthly,22286.238,642851.84906,5911.673,187256.56348,1011.144,24988.99946
2011-12-01,Monthly,25517.741,648951.51501,7826.679,189866.28448,1002.749,24584.2663
2012-01-01,Monthly,25519.647,654525.65132,8125.777,196964.02789,960.507,23916.40777
2012-02-01,Monthly,26553.357,668870.88124,8418.762,204668.93596,977.735,24219.17438
2012-03-01,Monthly,26402.143,670148.68999,8451.158,207231.5752,941.218,22805.29245
2012-04-01,Monthly,26531.413,679692.23394,8450.077,209944.03506,967.657,22870.66615
2012-05-01,Monthly,27235.682,696583.69036,8437.138,208868.9063,950.913,23433.16461
2012-06-01,Monthly,27787.606,703400.73603,8534.546,211154.21447,883.754,21901.27474
2012-07-01,Monthly,27091.928,706780.34018,8478.827,214595.13769,845.855,21026.15029
2012-08-01,Monthly,27899.582,714664.93913,8719.54,216293.42905,834.6,20421.45021
2012-09-01,Monthly,28425.814,716007.80517,8934.767,220970.64642,829.085,20245.72058
2012-10-01,Monthly,28653.831,723615.80768,9002.38,223259.89974,838.266,20691.35208
2012-11-01,Monthly,28971.802,732872.30986,9081.073,228296.95294,883.315,21278.79855
2012-12-01,Monthly,28384.919,733924.19032,9205.792,231865.03988,893.663,21770.89762
2013-01-01,Monthly,28691.665016,739387.62129,9354.00618,233861.73071,859.970511,21402.39121
2013-02-01,Monthly,28961.882016,748732.18917887,10005.655081,238577.135968,830.523611,20578.177644
2013-03-01,Monthly,29821.155016,750341.405523688,9805.897081,243532.935525,794.04449,19600.2182888692
2013-04-01,Monthly,29233.439016,755830.853694457,9763.234081,245473.103711919,834.470861,19945.304610245
2013-05-01,Monthly,29734.589016,770521.943245653,10001.923081,246562.936222,809.579861,20040.932762
2013-06-01,Monthly,30737.552206,778643.101522327,10181.744081,250966.483847,810.419861,20010.636439
2013-07-01,Monthly,30111.194016,774563.339889232,9990.740581,253682.09993,831.963861,20619.74978686
2013-08-01,Monthly,30264.352976,772804.438852875,10455.520581,258599.126338,852.865861,20896.542246
2013-09-01,Monthly,30236.347976,775637.18521525,10679.401581,262683.454948,863.310861,21199.2522809494
2013-10-01,Monthly,30243.741824,783685.655346667,10756.698997,267916.836213,878.333861,21619.628121
2013-11-01,Monthly,30900.196824,796877.308332938,11110.325565,272135.277021,897.206861,22084.16977
2013-12-01,Monthly,30458.791324,791336.2388382,11225.904531,276234.687242,936.992861,22347.919804
2014-01-01,Monthly,31398.145979,793396.810716312,11524.472531,282519.292548986,933.550861,23098.5437399425
2014-02-01,Monthly,31755.896979,809738.397154875,11676.833531,285336.834725,921.161861,22734.606935
2014-03-01,Monthly,31777.361679,812933.798416615,11579.772531,286832.609407835,920.321861,22934.090905
2014-04-01,Monthly,31694.262306,811172.069108563,11685.572531,289566.720848611,907.674861,22228.215214
2014-05-01,Monthly,32000.559526,820441.8137482,11788.997531,290686.407801,941.429861,23015.4054087333
2014-06-01,Monthly,32594.643163,820672.048903813,11813.245531,292073.622624,914.152861,22680.031127
2014-07-01,Monthly,31697.105163,820023.7664548,11824.986031,297519.522320733,920.364861,22762.766519
2014-08-01,Monthly,32971.764136,824610.268012,12177.458031,300507.471489,901.496861,22306.862805
2014-09-01,Monthly,33101.252163,820890.914705,12481.593031,306553.180998,903.118861,22718.829021
2014-10-01,Monthly,32663.272489,824202.583133,12657.670031,310617.597255,889.901861,21903.279512
2014-11-01,Monthly,33033.302489,830987.332203,12974.823031,317979.164834,877.377861,21683.144559
2014-12-01,Monthly,32651.328549,828501.565137,13011.115031,324874.530342,869.586861,21404.035092
2015-01-01,Monthly,34589.063436,846721.656687,13628.727031,334315.577441,874.92092,21302.083305
2015-02-01,Monthly,34127.862615,855029.523211,13592.368031,336350.150861,843.48992,20807.854619
2015-03-01,Monthly,33767.502071,858233.956364,14245.304031,344131.892589,863.76492,21651.385883
2015-04-01,Monthly,34084.23707,849555.816905,14388.803031,348848.954968,858.786948,21302.642162
2015-05-01,Monthly,34097.58307,847377.820627,14121.405031,351421.657945,842.884948,20955.504182
2015-06-01,Monthly,33408.26507,842680.179202,14024.705031,354253.051615,879.665948,21599.902294
2015-07-01,Monthly,33557.74407,839155.954729,14251.347031,356827.092616,883.057948,21641.53504
2015-08-01,Monthly,34568.86207,850820.076984,14055.686031,344035.785473,877.055948,21173.83139
2015-09-01,Monthly,34233.71207,854126.392911,13671.468031,345859.279367,869.668948,21428.135238
2015-10-01,Monthly,34487.050043,866448.775716,13841.667031,348202.391284,924.648948,22991.524433
2015-11-01,Monthly,33727.967043,863575.750709,13903.590031,351094.462453,873.024948,21585.297655
2015-12-01,Monthly,34128.934043,867176.488801,13731.859652,343835.878938,868.549548,21521.760744
2016-01-01,Monthly,35076.573043,863760.507739,13929.021652,341107.3912,850.123748,21240.280778
2016-02-01,Monthly,29780.638043,860360.808214,11373.921652,336212.130319,741.413748,21006.797931
2016-03-01,Monthly,28920.504043,864601.702848,11862.955402,334920.176969,696.890748,19886.723839
2016-04-01,Monthly,30936.218043,870672.569746,11721.552402,333358.464772,693.979748,20055.790812
2016-05-01,Monthly,28699.195043,868923.426825,11720.062402,333637.390793,707.689257,20014.638993
2016-06-01,Monthly,29238.708243,865387.448754,12034.989402,332030.791192,733.774182,20688.192098
2016-07-01,Monthly,30698.124243,868851.059223,11904.467402,332408.358871,769.290182,21684.009844
2016-08-01,Monthly,30192.435243,870215.335649,11842.967402,333132.483316,754.399969,21579.68423
2016-09-01,Monthly,29950.161444,871759.640058,12028.249213,335504.747768,730.923182,21188.367376
2016-10-01,Monthly,29578.883958,868496.4235,11994.972598,340842.517163,720.023182,20470.846636
2016-11-01,Monthly,30117.265216,870498.330029,12091.887021,306360.219624,711.086182,20095.819536
2016-12-01,Monthly,29781.505063,881958.405829,12421.721405,344779.871007,764.968182,21331.265107
2017-01-01,Monthly,29262.684975,883634.52335,12449.427919,351858.529391,771.909182,21671.41978
2017-02-01,Monthly,26808.255749,885934.305667,11740.6942,352347.881426,788.993182,22139.771188
2017-03-01,Monthly,26962.86985,874670.646986,11718.221423,352522.864472,784.809182,22239.446773
2017-04-01,Monthly,27616.69094,862813.132396,11972.6391,359608.290141,810.276482,22616.409159
2017-05-01,Monthly,25752.245577,849458.613091,12033.728243,362995.800818,808.115482,23189.068472
2017-06-01,Monthly,26707.925964,854823.231036,11923.673593,361648.628301,849.733286,23410.486908
2017-07-01,Monthly,27316.885056,860963.66721,11828.651362,368483.032248,831.743482,24007.312183
2017-08-01,Monthly,27745.143082,854613.837381,12404.796371,374111.704833,836.689898,23560.900932
2017-09-01,Monthly,28039.253357,861470.523223,12691.927325,376644.920863,780.650604,22285.361239
2017-10-01,Monthly,27897.147285,880004.159032,12212.603239,376178.378919,799.87938,22351.767653
2017-11-01,Monthly,27790.300358,884821.656219,12484.738923,379553.910334,826.308722,23266.035318
2017-12-01,Monthly,29326.46804,895384.877234,13087.365329,385684.651333,833.079757,23855.408255
2018-01-01,Monthly,30268.585563,900048.847959,13571.168287,392264.014619,821.633801,23621.181972
2018-02-01,Monthly,31165.088334,914837.102045,14395.843403,397335.067874,818.847648,23216.247421
2018-03-01,Monthly,31655.965366,923905.858746,15199.467602,400649.991484,777.727997,22019.281656
2018-04-01,Monthly,32305.139165,930916.913304,15138.877109,407014.581247,765.850837,21845.548079
2018-05-01,Monthly,31982.80137,935745.34685,16865.380517,441046.145509,811.801818,22408.166073
2018-06-01,Monthly,32455.788809,927157.120396,16626.844557,445276.232263,832.531237,21893.965863
2018-07-01,Monthly,31865.690106,926430.779939,16680.257255,450896.633785,823.27104,23374.692029
2018-08-01,Monthly,32558.983826,927982.975174,16404.399444,455405.389684,817.09287,23153.194803
2018-09-01,Monthly,32731.362928,921224.561321,16232.760056,459372.679211,807.709453,23023.698157
2018-10-01,Monthly,32497.720822,921380.696444,15786.303973,462267.401424,820.243075,23094.656047
2018-11-01,Monthly,32640.203198,919474.441751,16570.874879,467091.052365,836.906882,23044.665117
2018-12-01,Monthly,31224.570262,926009.072728,16469.459234,471515.394079,863.296599,24020.848681
2019-01-01,Monthly,32609.284204,934589.476337,16922.707084,476011.007922,872.155564,24578.768147
2019-02-01,Monthly,32528.739896,937952.026091,17172.072296,482599.810789,879.881732,24935.282183
2019-03-01,Monthly,32934.923458,929048.639811,17387.769077,486649.612108,876.442319,24757.275822
2019-04-01,Monthly,32971.605583,945341.175832,17509.723097,489357.190712,839.779068,23881.093226
2019-05-01,Monthly,33745.137165,950698.103625,17471.411354,496335.435859,821.527252,23034.914331
2019-06-01,Monthly,33568.262322,944916.481574,17739.724778,498663.516797,799.889063,22776.623744
2019-07-01,Monthly,32498.942608,952980.052533,17906.863259,503394.069231,797.621411,22806.763531
2019-08-01,Monthly,33711.928962,951168.205687,18013.041516,509413.098322,798.866303,22632.845544
2019-09-01,Monthly,32275.48164,943816.506096,18493.049881,514713.716607,743.729848,21171.936159
2019-10-01,Monthly,32910.130881,945550.320136,19629.039232,525987.421791,711.915966,20491.010264
2019-11-01,Monthly,27773.434701,941624.156098,16112.512265,524897.026594,616.510007,20553.767309
2019-12-01,Monthly,27954.826083,944607.794441,15943.333674,526352.179577,627.081234,20492.092977
2020-01-01,Monthly,28141.136931,958533.353131,15623.155109,520124.768045,630.456202,20686.968761
2020-02-01,Monthly,28550.800667,963196.613998,15956.026658,521882.039584,593.227012,19569.228878
2020-03-01,Monthly,10788.154444,960154.689382,6386.299901,527729.085694,478.673371,20338.302512
2020-04-01,Monthly,10275.890335,953175.108398,5437.189261,521197.456215,405.074403,19978.80445
2020-05-01,Monthly,2240.380172,938005.822315,947.981828,513927.393575,176.747258,19494.028343
2020-06-01,Monthly,1431.742504,935963.553346,690.280247,509610.362304,185.162665,18986.937499
2020-07-01,Monthly,1330.618719,936542.614937,641.468573,514994.34383,190.884251,18807.516296
2020-08-01,Monthly,1583.963225,941405.090213,910.863202,527381.499742,202.323019,18894.916583
2020-09-01,Monthly,1760.808142,942584.613054,828.426372,534346.793019,199.04471,19196.008212
2020-10-01,Monthly,1826.139736,950944.228573,831.584117,530778.634709,197.47592,19095.499895
2020-11-01,Monthly,1908.653525,951031.85077,981.312749,531563.034817,206.656932,19351.216377
2020-12-01,Monthly,1729.97037,944693.770757,700.135827,535343.05944,220.790359,19224.606267
2021-01-01,Monthly,1691.482,944806.358102,729.479289,531128.109364,219.916538,19844.969195
2021-02-01,Monthly,2031.592028,945604.517683,990.432497,535598.853744,213.218667,19964.417577
2021-03-01,Monthly,1921.180806,940134.156548,817.490332,535560.887922,216.828734,20635.956157
2021-04-01,Monthly,1582.887348,936922.084106,841.056307,537846.644633,232.540383,21833.161532
2021-05-01,Monthly,1765.966456,932817.112714,775.176799,539249.73654,219.873741,21639.488526
2021-06-01,Monthly,2008.795499,931007.737873,709.463702,537701.358751,208.653584,21058.099407
2021-07-01,Monthly,1607.684699,929841.166517,861.664333,538253.276013,210.248377,20606.532875
2021-08-01,Monthly,1688.371776,930022.314426,811.861065,536309.805346,208.76116,21349.540266
2021-09-01,Monthly,1554.183612,929701.13418,780.848456,536647.155293,207.863975,21598.89486
2021-10-01,Monthly,1671.173071,939754.195482,854.414655,539779.429513,204.191266,21678.341949
2021-11-01,Monthly,2022.478435,942175.338969,704.647364,544122.952602,208.510858,21856.767681
2021-12-01,Monthly,1757.551411,952723.392402,811.960947,548307.178295,199.051962,22098.926769
2022-01-01,Monthly,1673.529354,958004.827953,1046.559128,554865.983685,194.528627,21709.424532
2022-02-01,Monthly,1807.127349,952644.88867,921.274537,560060.169523,192.256291,21316.351259
2022-03-01,Monthly,1675.798969,948688.043723,953.338135,561931.679417,198.757259,21531.613808
2022-04-01,Monthly,2089.818945,953110.558642,1112.793486,565942.372567,196.024141,21394.707382
2022-05-01,Monthly,1680.439828,956140.66154,761.428696,566235.191172,201.316482,21753.254601
2022-06-01,Monthly,2124.342552,947976.010489,890.010349,574758.752599,207.320933,22946.456683
2022-07-01,Monthly,1962.279947,948639.367374,880.562572,577606.224476,217.439067,23345.405073
2022-08-01,Monthly,1802.229018,953499.807786,909.487851,589154.552742,205.308067,22451.419883
2022-09-01,Monthly,2394.606578,959419.783527,1489.648683,601768.884997,196.402746,22158.244151
2022-10-01,Monthly,3088.536468,965933.789084,1050.061003,614198.402656,201.154954,21919.055803
2022-11-01,Monthly,4915.246227,977221.339592,1688.830459,628473.580957,236.050497,24502.495226
2022-12-01,Monthly,20374.112912,980605.927422,13180.821443,629124.898043,501.174892,24932.804583
2023-01-01,Monthly,20384.820208,983250.538703,13189.503654,640904.886546,496.18979,24551.084606
2023-02-01,Monthly,20596.934697,1001845.50999,13202.03566,651311.76291,490.598206,24228.37677
2023-03-01,Monthly,20290.60649,998236.425525,13361.942828,655188.538876,492.748764,24076.294965
2023-04-01,Monthly,20995.100927,1013842.833917,13403.729731,656243.57945,500.922224,24704.98606
2023-05-01,Monthly,21535.164946,1034529.415851,13680.908621,662487.761108,490.329857,24361.528116
2023-06-01,Monthly,21173.796564,1035809.293345,13515.2207,660811.417856,494.879838,23843.764636
2023-07-01,Monthly,20844.494912,1035479.987632,13786.300935,671702.513839,501.54032,24676.152607
2023-08-01,Monthly,21049.136828,1029759.871225,14036.909257,673835.179332,524.959092,25732.088969
2023-09-01,Monthly,21537.775173,1032368.809066,14036.249241,679521.817603,565.91006,27035.065033
2023-10-01,Monthly,20808.638517,1034495.09528,14018.824956,689044.603658,579.218734,28374.437912
