date,frequency,year,date_change,parenthetical_row,commercial_banks_srr,commercial_banks_srr_alt,commercial_banks_liquidity_ratio,commercial_banks_liquidity_ratio_alt,finance_companies_srr,finance_companies_srr_alt,finance_companies_liquidity_ratio,finance_companies_liquidity_ratio_alt,merchant_banks_srr,merchant_banks_srr_alt,merchant_banks_liquidity_ratio,merchant_banks_liquidity_ratio_alt
1965-01-01,Event,1965,16 Feb. / 16 Feb.,False,3.5,,,,,,,,,,,
1969-01-01,Event,1969,16 Jul. / 16 July,False,5.0,,20.0,,,,,,,,,
1969-01-01,Event,1969,,True,,,10.0,,,,,,,,,
1972-01-01,Event,1972,16 Okt. / 16 Oct.,False,8.5,,20.0,,2.5,,,,,,,
1972-01-01,Event,1972,,True,,,10.0,,,,,,,,,
1973-01-01,Event,1973,16 Ogos / 16 Aug.,False,8.5,,25.0,,5.0,,10.0,,,,,
1973-01-01,Event,1973,,True,,,12.5,,,,5.0,,,,,
1974-01-01,Event,1974,16 Jan. / 16 Jan.,False,10.0,,25.0,,7.0,,10.0,,,,,
1974-01-01,Event,1974,,True,,,12.5,,,,5.0,,,,,
1975-01-01,Event,1975,17 Feb. / 17 Feb.,False,8.5,,25.0,,5.5,,10.0,,1.5,,,
1975-01-01,Event,1975,,True,,,12.5,,,,5.0,,,,,
1976-01-01,Event,1976,16 Feb. / 16 Feb.,False,6.0,,25.0,,4.0,,10.0,,1.5,,,
1976-01-01,Event,1976,,True,,,12.5,,,,5.0,,,,,
1978-01-01,Event,1978,16 Dis. / 16 Dec.,False,5.0,,25.0,,2.5,,10.0,,1.5,,,
1978-01-01,Event,1978,,True,,,12.5,,,,5.0,,,,,
1979-01-01,Event,1979,1 Mac / 1 March,False,5.0,,20.0,,2.5,,10.0,,1.5,,10.0,
1979-01-01,Event,1979,,True,,,10.0,,,,5.0,,,,,
1985-01-01,Event,1985,15 Apr. / 15 Apr.,False,4.0,,18.5,,2.5,,10.0,,2.5,,10.0,
1985-01-01,Event,1985,,True,,,10.0,,,,5.0,,,,,
1986-01-01,Event,1986,15 Feb. / 15 Feb.,False,4.0,,17.0,,3.0,,10.0,,3.0,,10.0,
1986-01-01,Event,1986,,True,,,10.0,,,,5.0,,,,,
1986-01-01,Event,1986,15 Okt. / 15 Oct.,False,3.5,,17.0,,3.0,,10.0,,3.0,,10.0,
1986-01-01,Event,1986,,True,,,10.0,,,,5.0,,,,,
1989-01-01,Event,1989,2 Mei / 2 May,False,4.5,,17.0,,4.5,,10.0,,4.5,,10.0,12.5
1989-01-01,Event,1989,,True,,,5.0,,,,,,,,,
1989-01-01,Event,1989,1 Jan. 6 / 1 Jan. 6,False,3.5,,17.0,,3.0,,10.0,,3.0,,10.0,12.5
1989-01-01,Event,1989,,True,,,5.0,,,,,,,,,
1989-01-01,Event,1989,16 Okt. / 16 Oct.,False,5.5,,17.0,,5.5,,10.0,,5.5,,10.0,12.5
1989-01-01,Event,1989,,True,,,5.0,,,,,,,,,
1990-01-01,Event,1990,16 Jan. / 16 Jan.,False,6.5,,17.0,,6.5,,10.0,12.5,6.5,,10.0,12.5
1991-01-01,Event,1991,16 Ogs / 16 Aug.,False,7.5,,17.0,,7.5,,10.0,12.5,7.5,,10.0,12.5
1992-01-01,Event,1992,2 Mei / 2 May,False,8.5,,17.0,,8.5,,10.0,12.5,8.5,,10.0,12.5
1994-01-01,Event,1994,3 Jan. / 3 Jan.,False,9.5,,17.0,,9.5,,10.0,12.5,9.5,,10.0,12.5
1994-01-01,Event,1994,16 Mei / 16 May,False,10.5,,17.0,,10.5,,10.0,12.5,10.5,,10.0,12.5
1994-01-01,Event,1994,1 Jul. / 1 Jul.,False,11.5,,17.0,,11.5,,10.0,12.5,11.5,,10.0,12.5
1996-01-01,Event,1996,1 Feb. / 1 Feb.,False,12.5,,17.0,,12.5,,10.0,12.5,12.5,,10.0,12.5
1996-01-01,Event,1996,1 Jun / 1 Jun.,False,13.5,,17.0,,13.5,,10.0,12.5,13.5,,10.0,12.5
1998-01-01,Event,1998,16 Feb. / 16 Feb.,False,10.0,,17.0,,10.0,,10.0,12.5,10.0,,10.0,12.5
1998-01-01,Event,1998,1 Jul. / 1 Jul.,False,8.0,,17.0,,8.0,,10.0,12.5,8.0,,10.0,12.5
1998-01-01,Event,1998,1 Sep. / 1 Sep.,False,6.0,,17.0,,6.0,,10.0,12.5,6.0,,10.0,12.5
1998-01-01,Event,1998,16 Sep. / 16 Sep.,False,4.0,,15.0,,4.0,,10.0,12.5,4.0,,10.0,12.5
2008-01-01,Event,2008,24 Nov. / 24 Nov.,False,3.5,,,,,,,,3.5,,,
2009-01-01,Event,2009,1 Feb. / 1 Feb.,False,2.0,,,,,,,,2.0,,,
2009-01-01,Event,2009,1 Mac / 1 Mar.,False,1.0,,,,,,,,1.0,,,
2011-01-01,Event,2011,1 Apr. / 1 Apr.,False,2.0,,,,,,,,2.0,,,
2011-01-01,Event,2011,16 Mei / 16 May,False,3.0,,,,,,,,3.0,,,
2011-01-01,Event,2011,16 Jul. / 16 Jul.,False,4.0,,,,,,,,4.0,,,
2016-01-01,Event,2016,1 Feb. / 1 Feb.,False,3.5,,,,,,,,3.5,,,
2019-01-01,Event,2019,16 Nov. / 16 Nov.,False,3.0,,,,,,,,3.0,,,
2020-01-01,Event,2020,20 Mac. / 20 Mar.,False,2.0,,,,,,,,2.0,,,
2025-01-01,Event,2025,16 Mei / 16 May,False,1.0,,,,,,,,1.0,,,
