date,frequency,m3_total,transaction_balances,currency_in_circulation,demand_deposits,broad_quasi_money,savings_deposits,fixed_deposits,nids,repos,fx_deposits,other_deposits
2013-01-01,Monthly,1375858.01008556,297364.0767915599,59849.95233555999,237514.12445599996,1078493.933294,126010.998517,633600.244887,16299.390367999998,5823.233723,74020.87645599998,222739.18934300003
2013-02-01,Monthly,1379389.60038262,293936.17786862,61485.737180619995,232450.440688,1085453.422514,128800.08832400001,635668.229868,16079.909703000001,5002.555576,73108.753764,226793.88527900004
2013-03-01,Monthly,1392122.90439676,293425.41077076,60976.58071275999,232448.83005799996,1098697.4936260001,129017.77819700002,649061.102091,15443.917960999997,5002.555576,71155.00413100001,229017.13567000005
2013-04-01,Monthly,1399798.8603289898,291988.61126099,60879.73538499,231108.87587599998,1107810.249068,129863.29137400002,656798.0386349999,14754.562387,5063.190492,71503.75971299999,229827.406467
2013-05-01,Monthly,1414632.14155153,295027.31453052995,60414.822988529995,234612.49154199995,1119604.827021,128664.16344599999,662403.7105779999,15443.449424999999,5750.37753,77077.741995,230265.384047
2013-06-01,Monthly,1414539.8932502798,297947.35141928,60689.69330428,237257.65811499997,1116592.5418309998,130169.15797499995,669151.367075,16737.627274000002,5056.089648,77441.047261,218037.252598
2013-07-01,Monthly,1423236.87150865,303443.62043765,61907.813916650004,241535.806521,1119793.251071,132470.528595,670256.166923,16832.774040999997,5630.2292130000005,75547.08340599999,219056.468893
2013-08-01,Monthly,1425783.35896223,299491.50933323,62262.59246023,237228.91687299998,1126291.849629,132702.071925,674441.610735,16659.902205000002,4995.454732,77605.72175799999,219887.088274
2013-09-01,Monthly,1429486.85816048,309016.22918348,61394.41398548001,247621.815198,1120470.628977,132929.681704,677891.426647,17107.79128,6751.225059,72312.731887,213477.7724
2013-10-01,Monthly,1439106.53263515,308392.22188815,60992.713833149995,247399.50805499998,1130714.310747,129852.771219,688707.1256049998,17023.288706,7346.390401000001,74502.823731,213281.91108500003
2013-11-01,Monthly,1426601.04155837,311114.22126937,61953.400608370015,249160.82066099998,1115486.820289,129892.996279,676217.860748,15844.647132,1922.027891,75008.508104,216600.780135
2013-12-01,Monthly,1452317.1304026903,327163.97648368997,62710.24509969001,264453.731384,1125153.1539190002,131765.24381400002,680888.473919,14171.978398999998,2089.671597,80116.02537500001,216121.76081500007
2014-01-01,Monthly,1465999.82897352,331577.17832652,71106.64472852001,260470.533598,1134422.6506470002,135785.327774,684012.2242200001,13848.446596,420.169626,81487.72555700001,218868.756874
2014-02-01,Monthly,1462400.30099799,325516.78688199,66476.49820499001,259040.28867699997,1136883.514116,137590.258962,685100.748024,13949.013759,441.605453,85029.74204499999,214772.145873
2014-03-01,Monthly,1475936.9967622,326627.0935442,66170.42788919999,260456.66565500002,1149309.903218,136955.971712,691279.8747339998,12948.425046000002,49.713344,88368.07299100001,219707.84539100004
2014-04-01,Monthly,1486408.45282635,325108.0782873501,65371.082775350005,259736.99551200005,1161300.374539,137092.976831,699264.0534790001,12871.766222999999,515.427517,88989.51846,222566.63202899997
2014-05-01,Monthly,1495425.97312127,323720.75484327,65966.29139427001,257754.46344899997,1171705.2182780001,135260.36556,699518.7553930001,19096.422778999997,2789.18536,90728.33997000002,224312.14921600002
2014-06-01,Monthly,1496460.5251217,328740.9480817,65338.75138269999,263402.196699,1167719.5770400001,136128.235899,692795.5090090001,13477.337448000002,1146.39249,93295.023582,230877.07861199998
2014-07-01,Monthly,1506044.2106601,331368.4728151,68072.2108601,263296.261955,1174675.7378449999,136394.755469,693735.749031,13153.271963000003,2205.373948,97449.69669099999,231736.890743
2014-08-01,Monthly,1497171.2812732602,322396.90763026,66597.85487826,255799.05275200002,1174774.3736430001,134136.58483,700156.757717,15702.465072,1033.370012,90478.691771,233266.50424100005
2014-09-01,Monthly,1506485.3770338302,329957.28686983004,65483.28315183,264474.003718,1176528.0901640002,134290.67480500002,699226.0545710002,16001.756945,0.0,91865.61651499997,235143.98732800002
2014-10-01,Monthly,1519719.9870700599,327063.24117106,65736.63848406,261326.602687,1192656.745899,132410.24654999998,711784.5880120001,17356.133952,0.0,90141.16489699998,240964.612488
2014-11-01,Monthly,1530728.00946665,330354.52330465,66999.42958264999,263355.093722,1200373.486162,131721.43416900001,719456.926159,18263.203475000002,0.0,90625.37769300002,240306.54466600003
2014-12-01,Monthly,1557612.31459431,345913.88617631,68029.36469930998,277884.52147700003,1211698.428418,134931.368262,722997.333527,18177.314824999994,0.0,95513.085391,240079.32641299994
2015-01-01,Monthly,1557187.6932472503,345945.45038525003,71002.35941725,274943.090968,1211242.2428620001,137074.414281,725343.7960590001,17693.405121,0.0,96530.171654,234600.455747
2015-02-01,Monthly,1564038.1241608397,351123.72710384,74644.51570584,276479.211398,1212914.3970569998,139031.280948,733929.3325309999,17783.383775,0.0,99909.358971,222261.040832
2015-03-01,Monthly,1592558.6701514302,359734.03198443004,71947.74784142998,287786.284143,1232824.6381670001,138643.702239,741534.8043660001,16690.287168,0.0,111064.39284599999,224891.451548
2015-04-01,Monthly,1583131.69299332,351444.43639932,72520.49919932001,278923.9372,1231687.2565940002,139692.922353,746930.12021,14491.519363,0.0,108078.475789,222494.218879
2015-05-01,Monthly,1579862.42494391,351860.92907691,73435.83294991,278425.096127,1228001.495867,133983.988055,752281.6279160001,12547.108041,0.0,111958.302402,217230.469453
2015-06-01,Monthly,1584443.24096878,360145.36441978003,72783.04498378,287362.319436,1224297.876549,136936.81588,744352.155241,11199.344174,0.0,111056.94703800001,220752.61421600002
2015-07-01,Monthly,1570074.16046867,346557.49758167,74030.05018066999,272527.447401,1223516.662887,134986.290003,741162.892364,10081.967444,0.0,119338.14735599999,217947.36572
2015-08-01,Monthly,1571522.27279629,350854.50953428994,75272.32164929,275582.18788499996,1220667.763262,134708.04099,740872.692024,8886.777382,0.0,126583.873534,209616.37933199998
2015-09-01,Monthly,1593104.17218926,357315.47708126,74968.15417826,282347.322903,1235788.695108,136575.553946,741799.163644,8891.544592000002,0.0,135656.195079,212866.23784700004
2015-10-01,Monthly,1585169.9641837003,350561.3304797,75650.94001569999,274910.390464,1234608.6337040002,135331.498382,743590.520377,8393.788523,0.0,138411.41718800002,208881.40923400002
2015-11-01,Monthly,1592321.53120152,351362.34271952003,75564.64089952,275797.70182,1240959.188482,134484.40464999998,739849.2032499999,7821.714477,0.0,146517.28689699998,212286.57920799998
2015-12-01,Monthly,1603938.03518889,359630.22055589,76687.44724288999,282942.77331300004,1244307.814633,135590.665853,747072.549145,9254.980333,0.0,144823.208429,207566.410873
2016-01-01,Monthly,1597275.3067142998,362802.60228029994,81626.3434763,281176.2588039999,1234472.704434,136539.890149,739726.5354899999,8272.544126,0.0,135797.23871200002,214136.49595700004
2016-02-01,Monthly,1612464.26174521,366130.55525521,80303.65218021002,285826.903075,1246333.70649,139022.148403,749713.614187,7133.068278,0.0,138064.921908,212399.953714
2016-03-01,Monthly,1613189.9577113898,353249.51347038994,78724.51154439,274525.00192599994,1259940.4442409999,138981.586273,756295.0366379998,6736.343150000001,0.006822,134795.430553,223132.04080500003
2016-04-01,Monthly,1611143.3856797498,347745.44230174995,79792.81032675,267952.63197499997,1263397.9433779998,139180.576636,765751.6841949999,6696.660774000001,0.0,133521.267738,218247.754035
2016-05-01,Monthly,1620291.89768178,355578.92994078,79626.14533578,275952.784605,1264712.967741,138521.413335,768138.201763,6615.636165,0.0,137398.064001,214039.65247699997
2016-06-01,Monthly,1621162.4790724902,362992.9120034901,82918.03639049,280074.87561300007,1258169.567069,142166.97137999997,761374.836075,5136.427723,0.0,134777.71620199998,214713.615689
2016-07-01,Monthly,1607918.4765906301,353365.59834963,81358.62388363,272006.97446600004,1254552.878241,140105.75604700003,768063.8489369999,5685.3871229999995,0.0,130587.79878300002,210110.08735099997
2016-08-01,Monthly,1609689.42505733,354048.94906432997,80976.62125232999,273072.327812,1255640.475993,140991.108456,771312.573725,4793.908794,0.0,126587.069978,211955.81503999996
2016-09-01,Monthly,1629047.9033549302,357337.88114393,82336.36929993,275001.511844,1271710.022211,143722.598424,778851.6869630001,5095.310277,0.0,125880.36825700001,218160.05829
2016-10-01,Monthly,1638752.0719878802,359850.18301988003,82418.20566788,277431.977352,1278901.8889680002,142724.75641799998,771512.242103,5312.263901,0.0,134945.21494,224407.41160599998
2016-11-01,Monthly,1643004.4181548902,367244.96772889,82777.48314489,284467.484584,1275759.4504260002,144270.73979199998,767993.3678880001,6775.396846000001,0.0,136082.520475,220637.425425
2016-12-01,Monthly,1655224.991408,379852.56515199994,85479.587684,294372.97746799997,1275372.426256,145128.765913,773221.21187,8326.8089,0.0,137592.540226,211103.09934700004
2017-01-01,Monthly,1670516.2235230699,386241.24839306995,92373.36145907,293867.88693399995,1284274.97513,149212.68324900002,764168.8371209999,8195.116969,0.0,145898.270833,216800.06695799998
2017-02-01,Monthly,1675194.6709240999,385929.72036010004,88258.47349110001,297671.246869,1289264.9505639998,150940.59949999998,763089.271843,6801.1938629999995,0.0,143100.84571799997,225333.03963999997
2017-03-01,Monthly,1688301.1061160099,385569.57489601005,88429.84803701,297139.72685900005,1302731.5312199998,151903.484781,772667.1390249999,7529.222979999999,0.0,142257.15913000001,228374.525304
2017-04-01,Monthly,1685054.63737598,385684.67190398,89701.83345798,295982.838446,1299369.965472,150238.11863,781246.151765,7047.224076999999,0.0,144534.53184699998,216303.93915299996
2017-05-01,Monthly,1698856.22484555,390122.40375755006,88648.31199155001,301474.091766,1308733.821088,150063.46523200002,786044.253662,7074.777761,0.0,144394.689226,221156.635207
2017-06-01,Monthly,1693309.8436439498,396592.13795595,91621.29671895,304970.84123699996,1296717.705688,151814.80205099998,789878.850724,4995.332698,0.0,138713.030036,211315.69017899997
2017-07-01,Monthly,1688904.87805021,391424.77329521003,89729.31722521002,301695.45607,1297480.104755,150073.00452800002,794202.362753,5009.685296,0.0,138771.733762,209423.31841600002
2017-08-01,Monthly,1698970.3431681602,392059.89663116005,91801.66456116,300258.23207,1306910.4465370001,151099.30281,800992.517217,5205.287692000001,0.0,136084.259632,213529.07918599996
2017-09-01,Monthly,1715771.0848531197,396623.49323912,90626.67339911999,305996.81984,1319147.5916139998,150861.238741,809384.351557,5692.027376,0.0,140183.151082,213026.822858
2017-10-01,Monthly,1727341.8780788903,401675.32406789,89786.95467189,311888.369396,1325666.5540110003,150260.72998299997,817666.4240880003,7506.619037999999,0.0,142663.452734,207569.32816800004
2017-11-01,Monthly,1732984.3070308699,403571.4486678699,90831.91500186999,312739.5336659999,1329412.858363,150986.509806,823043.812435,6035.303014,0.0,140315.173818,209032.05929000003
2017-12-01,Monthly,1736444.68081854,421551.98014053993,92387.60623854,329164.37390199996,1314892.700678,150505.206681,823165.332708,8154.360085000001,0.0,133268.011819,199799.78938499998
2018-01-01,Monthly,1750433.71972017,420007.57421116997,93113.18297617,326894.391235,1330426.145509,152265.65229,835790.897049,6731.348035,0.0,132798.53732299997,202839.71081199998
2018-02-01,Monthly,1759285.5490387902,418374.71290279005,95843.66945479,322531.04344800004,1340910.8361360002,155151.388692,840508.0944670002,5388.621792999999,0.0,131536.361443,208326.369741
2018-03-01,Monthly,1791436.16468931,415740.92742331,95887.53471231,319853.392711,1375695.237266,155307.07319099997,850599.8062799999,5165.348261,0.0,138661.501025,225961.50850899995
2018-04-01,Monthly,1814046.8904720098,414554.79950401,97033.52222600998,317521.277278,1399492.0909679998,155893.039698,873524.752525,5460.0100139999995,0.0,136074.429311,228539.85941999996
2018-05-01,Monthly,1815985.66193231,415390.96098431,97242.48233130999,318148.478653,1400594.7009480002,156028.927625,871974.723781,5424.917716,0.0,139770.97825699998,227395.153569
2018-06-01,Monthly,1818539.26863052,415002.68797252,96673.58882252,318329.09915,1403536.580658,156474.476508,876259.1152250001,4493.103424,0.0,139499.592277,226810.29322400002
2018-07-01,Monthly,1823494.63892449,409684.74751249,93611.91347949,316072.83403300005,1413809.891412,155692.961672,882509.4586380001,5332.983439,0.0,136453.32852200003,233821.15914099998
2018-08-01,Monthly,1831254.0664328996,409246.61207489995,94104.19250189999,315142.41957299993,1422007.4543579996,155899.036718,894417.0897959999,5318.215895,0.0,136287.63994,230085.472009
2018-09-01,Monthly,1845007.23596249,412719.4052914899,93462.47848049,319256.9268109999,1432287.830671,155976.43625199998,901112.2701600001,5264.863246999999,0.0,143213.16480300002,226721.09620900004
2018-10-01,Monthly,1871644.7424249402,414282.01394394005,92430.64850493999,321851.3654390001,1457362.728481,156551.68717500003,908616.3427690001,5474.503225999999,0.0,151435.601318,235284.59399299993
2018-11-01,Monthly,1882099.7114003303,416920.76909633,92890.64499533,324030.12410099996,1465178.9423040003,157152.818854,914840.553308,7876.204293999999,0.0,152191.39018000002,233117.97566799997
2018-12-01,Monthly,1894517.21814177,425721.6769507701,94296.80764477,331424.86930600007,1468795.5411909998,157386.533962,920662.2322789999,11547.177786,0.0,151495.596247,227704.00091699997
2019-01-01,Monthly,1888709.0169753402,426003.71747134,100860.13947734,325143.577994,1462705.2995040002,162067.753764,925602.856865,9932.438271,0.0,144260.25933600002,220841.991268
2019-02-01,Monthly,1888563.96365019,420697.69163018995,97297.87305919,323399.81857099995,1467866.27202,162468.80690599998,930771.754853,10545.043705000002,0.0,144829.42405499998,219251.24250100003
2019-03-01,Monthly,1898874.0701035801,426108.06136358005,97073.59991758001,329034.46144600003,1472766.00874,161720.400345,935688.136666,9185.973293,0.0,140366.008185,225805.49025099998
2019-04-01,Monthly,1909451.74930052,423504.23207752,96510.26612352,326993.965954,1485947.517223,164219.73765700002,942415.165468,10428.322053000002,0.0,141738.315903,227145.976142
2019-05-01,Monthly,1917074.12862908,432477.15289108,100695.90413708,331781.248754,1484596.9757380001,166481.726913,935403.477847,11165.293452000002,0.0,144361.26176099997,227185.215765
2019-06-01,Monthly,1912073.7883280301,429623.15418003,98636.79900803,330986.355172,1482450.6341480003,164853.931364,939789.0386150001,10633.112991,0.0,142914.940204,224259.610974
2019-07-01,Monthly,1913308.4505295502,428064.4703565499,97218.21850355,330846.2518529999,1485243.9801730004,165834.463781,931678.9864150002,9926.131846999999,0.0,152688.39259500004,225116.00553499997
2019-08-01,Monthly,1908652.52297065,424914.27837365,98263.07731965,326651.201054,1483738.244597,167131.99888600002,936959.428831,8493.885966,0.0,145527.51571500002,225625.41519900004
2019-09-01,Monthly,1916354.0407856598,432919.9343906599,97829.48297966,335090.4514109999,1483434.106395,167115.612869,943236.3108319999,10791.510607000002,0.0,141155.712553,221134.95953399994
2019-10-01,Monthly,1934741.92143186,434232.69004686,98663.30742786,335569.38261900004,1500509.2313849998,167489.81319899997,946673.5686179998,10294.972287,0.0,151081.40167300001,224969.475608
2019-11-01,Monthly,1934899.6563546997,436848.22938669997,99939.4618217,336908.767565,1498051.426968,168329.389386,946120.4741099997,10335.900455000003,0.0,152058.918916,221206.74410100002
2019-12-01,Monthly,1961553.8701222101,450470.72515121,100158.75553121,350311.96962,1511083.144971,169974.81438999998,952127.49508,12670.589295000002,0.0,156726.79187599997,219583.45433
2020-01-01,Monthly,1961429.71595584,446975.48397484,104715.61678484,342259.86719,1514454.231981,172797.008814,958972.664652,12282.042201000002,0.0,154693.60993300003,215708.90638099995
2020-02-01,Monthly,1958708.05118211,441688.46893611,102504.80895411,339183.65998199995,1517019.5822460002,175413.361981,961200.553377,10495.646173000003,0.0,157921.559944,211988.46077100004
2020-03-01,Monthly,1968374.95385001,458376.50483601005,102828.93514901,355547.56968700007,1509998.449014,182362.412691,945180.9478099999,8153.899433,0.0,166665.458809,207635.73027099995
2020-04-01,Monthly,1994098.5670254603,462740.05483945995,107359.20766146001,355380.84717799997,1531358.5121860004,192707.22502100002,944799.0770330001,9711.127551,0.0,165938.974782,218202.10779900002
2020-05-01,Monthly,2006707.6205084599,475098.98822346,112495.08222346,362603.90599999996,1531608.6322849998,196447.03341999996,946478.3459859999,10384.959984000003,0.0,165357.512632,212940.78026299994
2020-06-01,Monthly,2019910.7950384598,483748.67649146,112066.66459946001,371682.011892,1536162.1185469998,199549.68444500002,946811.154767,9897.028861,0.0,162763.891507,217140.35896699998
2020-07-01,Monthly,2029667.9816957603,491969.33582176006,114894.14002876,377075.19579300005,1537698.6458740002,203253.545032,938617.740448,9454.213621000003,0.0,161958.943131,224414.203642
2020-08-01,Monthly,2031377.14542476,496824.65801876,114852.26362776,381972.394391,1534552.487406,202819.489561,939141.7389420001,8688.337607,0.0,169644.78275800002,214258.138538
2020-09-01,Monthly,2038661.56848101,508618.08896201,114550.14261101,394067.946351,1530043.4795189998,206825.43343099998,937490.177136,8073.153034000001,0.0,157104.81789299997,220549.89802499997
2020-10-01,Monthly,2036415.85328786,514323.93656986003,116471.34308985999,397852.59348000004,1522091.916718,210322.78496,927579.302783,7585.644374,0.0,152875.69257299998,223728.49202799998
2020-11-01,Monthly,2035491.71509327,520017.12245527003,116421.63812827,403595.48432700004,1515474.592638,211692.110113,927902.0119110001,7620.275414999999,0.0,152947.37165199997,215312.82354699992
2020-12-01,Monthly,2040993.8956126098,517570.94550560997,117687.02078761,399883.92471799994,1523422.9501069998,212340.65829,922461.643649,7448.30057,0.0,159902.18287299998,221270.164725
2021-01-01,Monthly,2045652.13719402,527814.58062302,122208.17056901997,405606.4100539999,1517837.556571,218820.028001,920081.880516,7051.28465,0.0,158133.13605899998,213751.22734499996
2021-02-01,Monthly,2058351.8305820203,533936.28631102,126190.10920702,407746.177104,1524415.5442710002,223178.04048,919339.1478190003,7291.915634999999,0.0,164737.872644,209868.56769299993
2021-03-01,Monthly,2088401.61568222,544134.2050342201,126188.64234122,417945.5626930001,1544267.410648,227865.21995300002,919150.7666689999,1628.030543,0.0,177913.373755,217710.01972799998
2021-04-01,Monthly,2078978.51204807,546237.11602407,127428.99355307,418808.122471,1532741.3960240001,229924.41262100002,916279.669742,2206.046165,0.0,171795.12292800003,212536.144568
2021-05-01,Monthly,2082749.62416402,547935.3116190201,129470.54607802,418464.76554100006,1534814.3125449999,230996.838181,914697.627898,2062.391921,0.011334,173875.021698,213182.42151300004
2021-06-01,Monthly,2087879.4582500698,544013.22394407,129105.62315507002,414907.60078900005,1543866.2343059997,235592.395093,913708.7747459998,2012.316465,0.0,174601.336065,217951.41193700003
2021-07-01,Monthly,2106362.07319396,547689.00575796,130947.13983495999,416741.86592300003,1558673.067436,236969.94696,919817.447477,1685.4887009999998,0.005485,185550.27223200005,214649.90658100002
2021-08-01,Monthly,2104909.82914361,548505.47595061,131729.40463460996,416776.0713160001,1556404.353193,237502.985276,910562.683966,1734.200039,0.00355,190514.653769,216089.826593
2021-09-01,Monthly,2133618.86653394,559772.1318259401,133492.21813694,426279.91368900007,1573846.734708,241620.05388700002,916422.4272319999,1735.4959700000002,0.0,185913.089254,228155.66836500002
2021-10-01,Monthly,2130024.12703354,556794.27740454,134659.95399354,422134.32341099996,1573229.8496290003,238942.018687,925574.6337800001,1726.990472,0.0,180612.640121,226373.56656900002
2021-11-01,Monthly,2162302.22965194,577642.55767294,134681.32276494,442961.234908,1584659.6719790003,240629.069725,928385.9726310002,1738.4314070000003,0.0,185716.658768,228189.53944800003
2021-12-01,Monthly,2171798.67048355,574090.6210015499,136520.67705354997,437569.9439479999,1597708.049482,243373.04262899997,932181.859282,1689.0182320000001,0.0,192666.73505,227797.39428900002
