date,frequency,m3_total,net_claims_on_gov_total,claims_on_gov,gov_deposits,claims_on_private_sector_total,loans,securities,net_foreign_assets_total,bnm,banking_system,other_influences
2013-01-01,Monthly,1375858.0100855597,61056.11101924996,110985.53023681998,49929.419217570015,1206306.48598756,1074110.96117156,132195.524816,513068.46619386994,422196.72547087003,90871.74072299992,-404573.05311512016
2013-02-01,Monthly,1379389.60038262,60773.715978960005,108970.81550115,48197.09952219,1212974.8796928502,1080131.1456258502,132843.734067,503323.46415824996,422659.68792324996,80663.77623499998,-397682.4594474402
2013-03-01,Monthly,1392122.9043967603,57605.874865809994,103061.13174172999,45455.25687591999,1224884.87763998,1090947.07133598,133937.806304,507187.73323805,424997.84772705,82189.88551099999,-397555.58134707983
2013-04-01,Monthly,1399798.86032899,55861.59897511999,105821.17486187999,49959.57588676,1229251.3480625895,1096758.7330075896,132492.615055,520758.6013893,426996.5504013,93762.05098799999,-406072.6880980195
2013-05-01,Monthly,1414632.14155153,57619.01292189998,101136.98892716998,43517.97600527,1239575.1053555498,1107121.75381855,132453.351537,527351.23168247,430520.68314847,96830.54853399997,-409913.2084083898
2013-06-01,Monthly,1414539.8932502798,59457.13419911,108660.06692204,49202.93272293,1253479.7386795299,1120338.4383395298,133141.30034000002,508473.49672898004,426338.04027998005,82135.45644899999,-406870.4763573402
2013-07-01,Monthly,1423236.8715086502,67929.78054833002,119266.67184392002,51336.89129559,1258222.3081563502,1126717.59361635,131504.71454000002,501946.70273685997,431834.76707485993,70111.93566200002,-404861.9199328898
2013-08-01,Monthly,1425783.3589622297,68406.18597728999,121662.33507531,53256.14909802,1265985.7854746499,1134965.21267765,131020.57279700002,494773.86027402,421669.04519801994,73104.81507600004,-403382.4727637299
2013-09-01,Monthly,1429486.85816048,74519.58391541,124827.13195265,50307.548037240005,1278014.3821980797,1145665.4909040798,132348.891294,510938.7605725501,437797.02961355005,73141.73095900004,-433985.86852556
2013-10-01,Monthly,1439106.5326351495,69228.75627305,123013.37413842001,53784.617865370004,1290980.19788684,1155066.82936984,135913.368517,516687.31224201,439488.69561101,77198.61663099998,-437789.7337667504
2013-11-01,Monthly,1426601.0415583698,59862.75910643001,122109.26252487,62246.50341844,1301626.6020665397,1162391.1214465396,139235.48062,509912.2291483799,437058.0873613799,72854.141787,-444800.5487629797
2013-12-01,Monthly,1452317.1304024002,70013.31229198,124014.27743863,54000.96514665,1321311.4541515298,1178907.96988353,142403.484268,514397.13295713,435062.58628565,79334.54667148,-453404.7689982398
2014-01-01,Monthly,1465999.82897352,74696.00852661999,130133.3894414,55437.38091478,1334521.1073372902,1190987.0570612901,143534.050276,519113.73003164,429137.51881616,89976.21121548001,-462331.0169220301
2014-02-01,Monthly,1462400.3009979904,75354.85648069001,132946.44023721002,57591.583756520005,1335616.01152816,1194293.05644416,141322.955084,520477.83044755005,420766.37886178005,99711.45158576999,-469048.3974584097
2014-03-01,Monthly,1475936.9967622,77004.76834284999,136269.96713299,59265.19879014,1345705.0566826444,1203504.7038543702,142200.3528282743,518624.21904103435,417775.97678028,100848.24226075434,-465397.04730432876
