date,frequency,m3,m2,m1,currency_in_circulation,demand_deposits,narrow_quasi_money,savings_deposits,fixed_deposits,nids,repos,fx_deposits,other_deposits,deposits_placed_other_banking_inst
2013-01-01,Monthly,1375858.01008556,1355381.19146356,297582.23925056,60071.48826855999,237510.750982,1057798.952213,126010.998517,619969.734995,20736.648408999998,5823.233723,73996.74743799999,211261.58913100004,20476.818621999817
2013-02-01,Monthly,1379389.60038262,1358466.7515996203,294329.32048262,61670.03473461999,232659.28574799997,1064137.4311170003,128800.088324,623243.3143670001,19550.616030999998,5002.555576,72880.341215,214660.51560400001,20922.848782999674
2013-03-01,Monthly,1392122.90439676,1373101.6441277603,293719.63085776,61175.159647759996,232544.47121000002,1079382.0132700002,129017.77819699999,636731.271358,20064.455315000003,5002.555576,71164.234408,217401.71841600008,19021.26026899973
2013-04-01,Monthly,1399798.8603289898,1382444.0618049903,292406.82690999,61196.841584990005,231209.985325,1090037.2348950002,129863.29137400001,644888.5444710001,19597.488321000004,5161.933091999999,71634.54429600001,218891.433341,17354.798523999518
2013-05-01,Monthly,1414632.14155153,1398166.29542853,295628.25399153,60710.720383529995,234917.53360799997,1102538.041437,128664.16344599999,649938.363237,22501.758149000005,5750.37753,77524.327632,218159.051443,16465.84612299991
2013-06-01,Monthly,1414539.8932502798,1400408.0024792799,298805.47405128,61047.036374280004,237758.43767699998,1101602.528428,130169.15797499997,657497.731514,24631.337987000003,5056.089648,77617.97695900002,206630.234345,14131.890770999948
2013-07-01,Monthly,1423236.87150865,1409696.34705265,304203.00236865,62179.662947649995,242023.33942099998,1105493.3446840001,132470.528595,659777.553854,24292.282992000004,5630.2292130000005,75450.86453,207871.88549999997,13540.524455999956
2013-08-01,Monthly,1425783.35896223,1410527.9906762303,299990.67179923004,62479.77698223,237510.89481700002,1110537.3188770001,132702.071925,664177.361789,23366.693194,4995.454732,77587.08081700002,207708.65641999998,15255.368285999633
2013-09-01,Monthly,1429486.85816048,1416222.28957948,309595.38641348,61641.545940480006,247953.840473,1106626.903166,132929.68170400002,668980.190893,23758.314074000005,6751.225059,72580.874944,201626.616492,13264.56858099997
2013-10-01,Monthly,1439106.53263515,1423582.63802715,309144.19273415,61286.94813414999,247857.2446,1114438.445293,129852.77121899999,677270.2990019999,23002.730499000005,7346.390401000001,74886.51011999999,202079.744052,15523.89460800006
2013-11-01,Monthly,1426601.04155837,1409659.13356137,311419.78464637004,62123.16458637001,249296.62006000002,1098239.348915,129892.99627899998,665720.6888310001,20621.87134,1922.027891,75079.845691,205001.91888300003,16941.90799700003
2013-12-01,Monthly,1452317.1304026903,1436451.8506596903,327596.00783269,62980.61101669,264615.39681600005,1108855.8428270002,131765.24381400002,671265.081507,18291.768924,2089.671597,80327.08787000002,205116.98911500003,15865.279742999934
2014-01-01,Monthly,1465999.82897352,1447905.21964452,331995.46641952003,71356.41177652,260639.054643,1115909.7532249999,135785.327774,672170.1949619999,17958.079057000003,420.169626,81436.60178900002,208139.380017,18094.609329000115
